Fri Aug 14 10:14:36 PDT 2015 --  MADURAR SUS CHINGADAS MADRES. pic.twitter.com/04vMldyHep
Sat Aug 08 06:11:29 PDT 2015 --  me cansé de esperar, algo que no iba a llegar de un futuro, que no tenía sentido porque no aceptaba, que ya te habías ido.
Mon Aug 10 20:24:47 PDT 2015 --  todo un buen alumno sabe que el primer día de clases únicamente sirvió para ver con quién vas a agarrar la peda el resto del semestre.
Thu Jul 30 09:06:56 PDT 2015 --  Cuando vas de fiesta y tomas una copita de más xD https://vine.co/v/eXqTQUiFQdd 
Mon Aug 03 11:16:39 PDT 2015 --  "I'm only buying one box so you all best agree on something or we leave the store right now and no one gets anything" pic.twitter.com/oJASLSgyHp
Fri Jul 10 11:43:16 PDT 2015 --  Cuando ves unas tetas por primera vez pic.twitter.com/iB542Crpff
Sun Mar 29 08:30:44 PDT 2015 --  MIRA AQUI, MIRA AQUI JAJAJA http://vine.co/v/OLqThYjEqAF 
Thu Jul 30 15:59:01 PDT 2015 --  Los dos videos de los enamorados de la UACH ajjajajajajajjajaja!! SIN CENSURA. http://facebook.com/iRafots/ 
Tue Jul 21 13:17:45 PDT 2015 --  El truco está en ser humilde y sencillo aunque tú sepas perfectamente que eres una verga.
Mon Jul 20 16:26:40 PDT 2015 --  JAJAJAJAJAJAA AMÉN. pic.twitter.com/aUFl2ESxQn
Sun Jul 19 19:35:08 PDT 2015 --  OH MY GOD pic.twitter.com/rpTVmENyBH
Sun Jul 19 19:20:26 PDT 2015 --  #NOERAPENAL. -Costa Rica.
Mon Nov 03 06:32:16 PST 2014 --  14 mil personas estan teniendo sexo ahora, 25 mil se estan besando, 50 mil se estan abrazando, y tu... bueno, tu estas en Twitter.
Tue Jul 14 23:51:21 PDT 2015 --  EL MEJOR PUTO INVENTO DEL PINCHE UNIVERSO QUIERO 1009283. pic.twitter.com/eI6rBnDbaQ
Sun Jul 12 09:21:42 PDT 2015 --  JAJAJAJA NO MAMEN pic.twitter.com/n8W41WjXtT
Mon Jul 06 19:05:12 PDT 2015 --  my new fav vine http://vine.co/v/e1vZMFtdODA 
Wed Jun 24 14:13:43 PDT 2015 --  Tantos pinches años viendo Dragon ball y hasta hoy me entero del apellido de Vegeta. pic.twitter.com/kI9bwtadBl
Wed Jan 28 18:23:39 PST 2015 --  I just unlocked the Graduate badge in Trivia Crack - http://www.triviacrack.com/en/landing  pic.twitter.com/W7erJBra6c
Sat Oct 18 13:27:41 PDT 2014 --  -Señor agente, no voy tan borracho -Muy bien, sople aquí http://vine.co/v/MeaMaPFluzZ 
