Sat Aug 29 08:18:43 PDT 2015 --  Can we all just take a second to remember I actually lit @mallison101 hair on fire last night
Fri Aug 28 10:35:43 PDT 2015 --  HAPPY BIRTHDAY TO A LONGHORN @amandalexander3 have a gr8 weekend!
Wed Aug 26 12:50:13 PDT 2015 --  My girlfriend says if this tweet gets 100k RTs, she'll let me dress up as a ninja turtle on our wedding day.
Tue Aug 25 17:40:50 PDT 2015 --  When @KyOcons6 wants to be you... #alumni pic.twitter.com/iJygqayOXa
Sun Aug 23 08:57:42 PDT 2015 --  Watch out fondy @amandalexander3 is #22 today pic.twitter.com/3I355rbnOV
Sun Aug 23 06:49:23 PDT 2015 --  Happy Birthday huge, @amandalexander3 #weneededthat pic.twitter.com/WJJC7NIfco
Tue Aug 18 17:08:04 PDT 2015 --  Every year it's the same thing... pic.twitter.com/SZB1FequpW
Sat Aug 15 13:01:42 PDT 2015 --  10 girls & a BYOB Spa in Chicago? I'm in heaven #E #NoMoreMullendore #CountdownToKriz @KyOcons6 @TheWizard00 @theycallmeED2 @__karenhansen
Fri Aug 14 17:32:48 PDT 2015 --  Shoutout to everyone who supported me when I saw Justin Bieber 5 years ago pic.twitter.com/ylOEsTZyqY
Thu Aug 13 20:14:56 PDT 2015 --  @amandalexander3 you're my idol.
Thu Aug 13 20:09:11 PDT 2015 --  I watched 2 whole seasons of Parks and Rec today... #NoShame
Wed Aug 12 07:40:20 PDT 2015 --  If anyone's wondering how @rian_lennon ended up, she made me a turkey taco dip and cheese sandwich before bed #Killed
Tue Aug 11 16:38:22 PDT 2015 --  If you're in Fondy come out for @rian_lennon 21st birthday 🏻 #WeAreAGoodTime
Tue Aug 11 09:25:12 PDT 2015 --  If u havent smiled today look at these photos of wild life workers dressing up as pandas 2 make baby pandas feel safe http://twitter.com/girlposts/status/606120780355780608/photo/1pic.twitter.com/3NK21M6smG 
Tue Aug 11 07:58:02 PDT 2015 --  Happy bday to my best friend @rian_lennon !!!! You are no longer Amanda Alexander 2 #21 pic.twitter.com/9ASGAmo2sr
Tue Aug 11 05:51:58 PDT 2015 --  @amandalexander3 https://twitter.com/worldstarfunny/status/630946838825291777 …
Mon Aug 10 18:49:29 PDT 2015 --  Who's ready to get rowdy this weekend? @KyOcons6 @amandalexander3 @SKOOBic14 @theycallmeED2 @__karenhansen @cassthompson18 #bachparty #yasss
Sun Aug 09 17:13:51 PDT 2015 --  My life in a vine https://vine.co/v/eHTquqeiHu6 
