Thu Aug 13 07:41:36 PDT 2015 --  ولا تؤجل فعل الصالحات إلى غدٍ ، لعل غداً يأتي وأنت فقيد ..!!
Thu Aug 13 20:17:43 PDT 2015 --  يوم اقول " ايه ايه تذكرت " ترا ما تذكرت بس ابيك تكمل السالفه وتفكني 🏽️ وليته فهم !!
Thu Aug 13 17:42:17 PDT 2015 --  ياااازينه عياااااار 🏻️ ياقلبي عليه مايبي يفشل نفسه قال امزح 🏻🏻🏻 pic.twitter.com/F0THegirbO
Thu Aug 13 20:20:54 PDT 2015 --  طفولتك ناقصة .. اذا ما دخلت الحمام وتروشت بشكل جماعي انت ومن يعز عليك 🏻️
Thu Aug 13 03:57:04 PDT 2015 --  #مباراة_السوبر طارق النوفل لافض فوه يتحدث عن مخرج المباراة وتعمده إظهار العوائل بشكل كبير! حسبناالله ونعم الوكيل https://www.youtube.com/watch?v=bQDKByzjRzg …
Thu Jul 09 13:42:22 PDT 2015 --  اليوم فقدت الأمه الأسلامية و العربية رمز من رموزها رجل لن يتكرر ابداً رحمك الله وأسكنك فسيح جناته pic.twitter.com/OLfDN8ax8T
Tue Apr 21 22:49:26 PDT 2015 --  الموهبة وحدها لا تكفي .. استمر دائما، فلا يوجد شئ في العالم يمكنه أن يحل محل الإصرار. راي كروك صباح الإصرار #صباح_الخير
Tue Apr 21 23:22:32 PDT 2015 --  #صباح_الضيافة " بداية جميلة ليوم جديدْ في جميع فروع #مجموعة_الضيافة #نوش_لاونج #بريك_تايم #كريز_لاونج pic.twitter.com/8SGGJ58joA
Tue Apr 21 23:15:33 PDT 2015 --  بتوفيق الله وحكمة القياده بلادنا ستبقى شامخة وحضنا للإسلام وللعرب #ارفع_راسك_انت_سعودي #انتهاء_عاصفة_الحزم pic.twitter.com/Im7exulrMW
Fri Apr 17 13:18:52 PDT 2015 --  #الهلال 3 × 0 الإتحاد ، ملخص المباراة كاملة http://cdn.top4top.net/d_cf4b7a7f181.mp4 … الف الف مبرووووووك
Fri Apr 17 05:11:40 PDT 2015 --  #الرياض_لايف pic.twitter.com/ZwFSXqLcUq
Wed Apr 15 08:54:55 PDT 2015 --  نونو #شي_حلو_بحرف_النون
Thu Apr 09 15:58:03 PDT 2015 --  وش رايك مانسوي فرح ونسافر بالفلوس #كلمه_لشريك_حياتك
Thu Apr 09 15:55:44 PDT 2015 --  لبى عينها وراح اسعدها واحبك مقدماً #كلمه_لشريك_حياتك
Mon Oct 13 14:25:34 PDT 2014 --  احبكم #سهرتنا_مع_رايفنا
Sat Oct 11 10:34:13 PDT 2014 --  الأشطر بين الشباب والشابات يكون من سيغيب عن عمله أو يخرج مبكراً أو يعطل عمل أحدهم ! فإن كنت لا تقبل مضره وتقصير فلا تقبله لغيرك واتقي الله .
Mon Oct 13 14:21:24 PDT 2014 --  البرلمان_البريطاني يعترف في اقتراع رمزي بدولة #فلسطين بأغلبية 274 صوتا مقابل 12،، pic.twitter.com/tKFVy0n7Om
Mon Oct 13 14:21:06 PDT 2014 --  #سهرتنا_مع_رايفنا pic.twitter.com/qzYO0b0C7m
Mon Jun 30 09:07:04 PDT 2014 --  #اكثر_واكثر_واكثر ابو عمعوم .. الشمرررري
Thu May 29 00:49:35 PDT 2014 --  لايوجد شخص مشغول طول اليوم ! المسألة تعتمد على الأولويات. فمن أحبك جعلك في قائمة أولوياته.. ومن لايهتم لأمرك يصبح دائما (مشغول عنك) #حقيقة"
Mon May 05 12:50:52 PDT 2014 --  قبله أمتنانْ لِحظِي الأنيقَ الذِي جمعنِيّ بكَ
Fri May 02 15:33:52 PDT 2014 --  قِمة الجنون أن تعيد قِرآءة محـآدثة بـ تلَهف و ڪأنَڪ أنت لَم تَڪن الطَرف الآخر فقط لِـ تستَرجع حِوآرڪ مع شخص تتلذذ بآلحديث معه مطوَلا
Sun May 04 13:30:00 PDT 2014 --  #كلمة_تمنحك_السعادة جبنالك معانا ^ عادي حتى لو سكينة مطبخ
Sun May 04 18:43:24 PDT 2014 --  ضع يدك على قلبك وقل اللـهُم اجعل ما نُريده في حياتنا قريبا لناظِرنا سعيدا لخواطرنا اللهُم اسعدنا سعادتين الدنيا بخيرها والجنة بفردوسها
