Fri Aug 28 14:17:56 PDT 2015 --  this is so me pic.twitter.com/zJLcMazciv
Thu Aug 27 22:36:50 PDT 2015 --  #BeautyBehindTheMadness thank you for the love and support ! XO
Fri Aug 28 00:35:09 PDT 2015 --  The weeknds new album is out and it's brilliant. I also feature on a song on there, check it out in the usual places x
Fri Aug 28 14:09:22 PDT 2015 --  Shadow heel #Mine pic.twitter.com/2dCDv950Xi
Fri Aug 28 02:00:44 PDT 2015 --  The Weeknd // Beauty Behind The Madness pic.twitter.com/FgduEIxbbS
Thu Aug 27 11:33:32 PDT 2015 --  "Find what you love and let it kill you." Charles Bukowski pic.twitter.com/VoVVcNJi0y
Fri Aug 28 02:00:12 PDT 2015 --  I miss talking to you for hours.
Fri Aug 28 01:11:02 PDT 2015 --  The expiration date on water bottles is for the bottle, not the water.
Fri Aug 28 01:06:14 PDT 2015 --  When he asks you what your favorite flower is pic.twitter.com/mNpJtL0BRP
Fri Aug 28 01:04:38 PDT 2015 --  Don't be afraid to do something just because you're scared of what people are going to say about you. People will judge you no matter what.
Wed Aug 19 15:47:02 PDT 2015 --  Would they ? pic.twitter.com/Tq2xanoj9G
Fri Aug 28 01:04:04 PDT 2015 --  You can predict how many women a man has slept with by how funny he is, according to a study.
Fri Aug 28 00:55:23 PDT 2015 --  Mood pic.twitter.com/6ZUfl9wLqO
Fri Aug 28 01:00:44 PDT 2015 --  do you ever get a weird crush on someone that’s not even attractive but you’re just attracted to them and you don’t know why
Fri Aug 28 01:00:38 PDT 2015 --  "teenage years are the best years of your life" you mean it gets worse
Fri Aug 28 01:00:10 PDT 2015 --  me: better check my phone for texts from friends me: *checks phone* me: better get some friends
Fri Aug 21 16:20:04 PDT 2015 --  "Best song ever It was the best song ever It was the best song ever." -One direction
Fri Aug 21 19:35:06 PDT 2015 --  Nothing can come between You & I - One direction
Wed Aug 26 18:11:15 PDT 2015 --  I'm a member of a species that think working 5 days a week for 50 years to pay off a debt created on a banks computer screen is freedom
Fri Aug 28 00:56:29 PDT 2015 --  Anuptaphobia describes a person who thinks and fears that they'll be forever alone.
Thu Aug 27 14:59:43 PDT 2015 --  EVERYONE KNOWS THAT IF U SEND THE LAST TEXT AT NIGHT, THE OTHER PERSON IS SUPPOSE TO START THE CONVO THE NEXT DAY. THATS HOW IT WORKS. DAMN.
Thu Aug 27 20:22:07 PDT 2015 --  ALBUM IS OUT : http://theweeknd.co/BeautyBehindTheMadness …
Thu Aug 27 14:37:15 PDT 2015 --  Rt if you like Nirvana pic.twitter.com/OsT3Bgdjkf
Thu Aug 27 13:50:11 PDT 2015 --  pic.twitter.com/xNokeUB3AK
Thu Aug 13 17:49:46 PDT 2015 --  Vampirevibes
Fri Aug 21 12:05:16 PDT 2015 --  Lightning in slow motion pic.twitter.com/D2bZ6fx34V
Sun Aug 23 16:32:03 PDT 2015 --  Robert Downey Jr. How is he even this adorable? pic.twitter.com/NBn5qDlTFe
Tue Aug 25 17:25:00 PDT 2015 --  We Johnny Depp pic.twitter.com/8XRM9zwskK
Tue Aug 25 21:06:16 PDT 2015 --  Gabriel Macht pic.twitter.com/RrcstJ2rD7
Wed Aug 26 15:46:03 PDT 2015 --  Colton pic.twitter.com/hmdCVM4cY1
Thu Aug 27 02:50:13 PDT 2015 --  "Be the bigger person" I can't, I'm only 5'3
Thu Aug 27 02:50:11 PDT 2015 --  do you ever need a five minute hug but only from like a specific person
Thu Aug 27 02:48:52 PDT 2015 --  Adorable pic.twitter.com/R7D8jopAjK
Wed Aug 26 22:10:34 PDT 2015 --  i hate when i feel like im wasting my time
Mon Apr 13 01:56:03 PDT 2015 --  Diy acne mask pic.twitter.com/h72cvD0F9q
Thu Aug 27 02:46:51 PDT 2015 --  Fewer than 10 people per year are killed by a shark, while 100 million sharks are killed each year by humans.
Tue Aug 18 07:48:28 PDT 2015 --  pic.twitter.com/B829Xg53zJ
Wed Aug 26 05:55:49 PDT 2015 --  just a fucked up teenager with a good taste in music
Tue Aug 18 23:51:00 PDT 2015 --  "Little girls with dreams become women with vision."
Thu Aug 27 02:44:12 PDT 2015 --  you are allowed to be angry and selfish to walk away from people who hurt you & don't owe anyone an explanation for taking care of yourself
Wed Aug 12 18:31:55 PDT 2015 --  pic.twitter.com/N1VBtUpFBK
Wed Aug 12 10:01:32 PDT 2015 --  I want to spend my honeymoon here! pic.twitter.com/QgfhXm64kg
Tue Jul 28 19:07:11 PDT 2015 --  it's cute as fuck when someone loves you regardless of how fucked up you are
Mon Aug 24 10:03:14 PDT 2015 --  This is what the Blue Pond of Japan looks like. pic.twitter.com/ue6q9DFuev
Wed Jul 29 10:08:02 PDT 2015 --  The Weeknd - The Hills pic.twitter.com/aY57i55ogY
Wed Aug 26 11:06:52 PDT 2015 --  Be weird. Be random. Be who you are. Because you never know who would love the person you hide.
