Thu Aug 13 21:15:34 PDT 2015 --  this my mom pic.twitter.com/JAcQ6NfSKF
Sun Jul 12 05:34:44 PDT 2015 --  Aye what's up. Don't like me noore?
Wed Jun 24 15:07:55 PDT 2015 --  Make my own money , smoke my own weed , handle my own problems
Sat Jun 13 05:30:30 PDT 2015 --  I hate getting flashbacks from things I don't want to remember.
Sat Jun 13 09:30:30 PDT 2015 --  I pay attention to the little things.
Sat Jun 13 03:30:21 PDT 2015 --  do you ever get in those really weird moods that you can't even explain what you're feeling it's like everythings mixed together all at once
Wed Jun 17 12:36:03 PDT 2015 --  Having a boyfriend or girlfriend who is also your best friend is the greatest thing in the world.
Sun Mar 01 20:29:30 PST 2015 --  Cancer pic.twitter.com/4W9SNzxq5s
Fri May 22 15:36:25 PDT 2015 --  Check out my photo of #ClumsyNinja for iPhone! Try it for FREE! http://nmgam.es/cn-tpht  pic.twitter.com/3m5s46TX8n
Wed Nov 12 11:26:44 PST 2014 --  Chillin watchin Spider-Man bored af...
Mon Nov 10 14:12:24 PST 2014 --  Video text me on #Glide! Download free and add me from http://chat.glide.me/njwblgq  come add me people lets see what state you in...
Mon Nov 10 00:02:16 PST 2014 --  Ever since i met you ... pic.twitter.com/m36cOFXqiM
Mon Nov 10 01:22:02 PST 2014 --  Still up... #vamplife #G3
Sun Nov 09 18:19:03 PST 2014 --  Aye back on Twitter watz up...
Wed Oct 16 17:25:17 PDT 2013 --  Just posted a photo http://instagram.com/p/fjF5bzBUdw/ 
Sat Oct 12 17:05:23 PDT 2013 --  Im really a amazin cook... http://instagram.com/p/fYwaz1hUQ6/ 
Sat Oct 12 14:47:45 PDT 2013 --  S/O 2 bre3bitches bre3bitches 4shows love. Thankz sexy nd my follow go follow tha beautiful… http://instagram.com/p/fYgM_PBUfq/ 
Sat Oct 12 07:32:41 PDT 2013 --  Ihop popped... http://instagram.com/p/fXu6EfhUSr/ 
Fri Oct 11 17:58:39 PDT 2013 --  Thiz Hw my day went... http://instagram.com/p/fWRuTGBUSc/ 
Fri Oct 11 17:52:12 PDT 2013 --  S/O 2 my young bul @hakeembrown_96 @hakeembrown_96 @hakeembrown_96 @hakeembrown_96 go follow nd like… http://instagram.com/p/fWQcn7BUQZ/ 
Wed Oct 09 20:42:51 PDT 2013 --  Just posted a photo http://instagram.com/p/fRa8GXhUWX/ 
Mon Oct 07 18:18:54 PDT 2013 --  Just posted a photo @ Mt. Zion http://instagram.com/p/fMA3cKhUZL/ 
Sun Oct 06 11:05:21 PDT 2013 --  Last nite at tha bday party... @ 2540 Lakewood Ave SW Atlanta GA http://instagram.com/p/fIqPZWBUQF/ 
Sun Oct 06 04:59:39 PDT 2013 --  Still at work... @ Cheetah Lounge http://instagram.com/p/fIAn43hUUN/ 
Sat Oct 05 17:20:59 PDT 2013 --  Big S/O big big big S/O 2 tha lovely devinedbeauty devinedbeauty devinedbeauty follow she follow back… http://instagram.com/p/fGv8gLBUf7/ 
Sat Oct 05 06:27:48 PDT 2013 --  Just posted a photo http://instagram.com/p/fFl43ehURL/ 
Sat Oct 05 05:36:07 PDT 2013 --  Still awake... http://instagram.com/p/fFf-rRBUY9/ 
Fri Oct 04 22:38:59 PDT 2013 --  S/O 2 @Xx_BryNesha follow @Xx_BryNesha she follow back nd @Xx_BryNesha will show love... Go check out… http://instagram.com/p/fEvz0khUb9/ 
Fri Oct 04 01:33:06 PDT 2013 --  One of my jobz gettin thiz chicken... @ Cheetah Lounge http://instagram.com/p/fCfU9ShUZo/ 
Thu Oct 03 03:38:45 PDT 2013 --  Bored at work... Who still up? http://instagram.com/p/fAI-p_hUZW/ 
