Sat Aug 22 11:00:35 PDT 2015 --  Ai eu to com a perna toda fodida que não consigo nem apoiar o notebook em cima dela
Sat Aug 22 10:59:28 PDT 2015 --  Hey yoo niggas
Wed Aug 19 17:51:35 PDT 2015 --  dxa só meu celular carregar um pouquinho que vou sair do note e deitar.. melhor do que ficar aguentando essa gente e eu mesma
Wed Aug 19 17:50:58 PDT 2015 --  em um ambiente de merda desses é impossível ser uma pessoa de bem com a vida
Wed Aug 19 17:44:03 PDT 2015 --  agr tenho que aguentar meus pais me tratando que nem uma retardada
Wed Aug 19 17:38:15 PDT 2015 --  Eu ouço gente falando de mim á quilômetros HUEHAUEHAU
Wed Aug 19 17:36:32 PDT 2015 --  Que sono véi
Wed Aug 19 17:35:05 PDT 2015 --  espero que esse troço de trabalhar me ajude um pouco com isso, porque senão fudeu!
Wed Aug 19 17:34:44 PDT 2015 --  e não é aquele insegura tipo cú doce sabe? antes fosse.. é aquele insegura que fode com a sua vida e com o seu psicológico
Wed Aug 19 17:33:36 PDT 2015 --  éah.. insegura
Wed Aug 19 17:33:29 PDT 2015 --  e adivinhem o que eu sou
Wed Aug 19 17:33:18 PDT 2015 --  Acho que a maior merda que pode acontecer com uma pessoa é ela ser insegura
Wed Aug 19 17:32:58 PDT 2015 --  to-na-bad
Wed Aug 19 15:17:58 PDT 2015 --  ahuehuahea Sério, esse meu trabalho promete viu
Tue Aug 18 15:15:05 PDT 2015 --  https://www.youtube.com/watch?v=I0MT8SwNa_U … in love com essa música, esse vídeo.. <3
Tue Aug 18 14:19:11 PDT 2015 --  https://www.youtube.com/watch?v=RLYlMq6MU2s … genteney to viciadona
Thu Jan 15 15:54:55 PST 2015 --  O verdadeiro TWITTER pic.twitter.com/trUGMXUyDX
Mon Aug 17 20:50:49 PDT 2015 --  Dsgraça viu quando mais quero me desligar n consigo
Mon Aug 17 20:50:05 PDT 2015 --  E aquele sono todo de 10 min atrás? Cadê?
Mon Aug 17 20:33:52 PDT 2015 --  Isso tá horripilante HUEHUH mas pelo menos eu to chorando de sono XD Agr eu tento dormir pic.twitter.com/6BumZDOEI4
Mon Aug 17 20:18:28 PDT 2015 --  Acho que daqui a pouco eu evoluo de humano pra zumbi pq krl eu to acordada desde as 5 sem tirar um cochilo que seja
Mon Aug 17 19:49:50 PDT 2015 --  Eu to me sentindo ridícula T.T
Mon Aug 17 19:45:18 PDT 2015 --  Affe o sinal de wifi da falsiane chega aqui
Mon Aug 17 19:40:25 PDT 2015 --  HAUHEUAHUEA Até que eu ainda tenho uma boa noção de como desenhar no painttool XD dps mostro como tá indo o deseinho
Mon Aug 17 19:07:03 PDT 2015 --  .... Legal.. primeiro preciso me acalmar.. Vamos ver se ainda sei usar o PaintTool
Mon Aug 17 19:01:03 PDT 2015 --  é, do jeito que eu to não vou dormir nem na puta que pariu
Mon Aug 17 19:00:16 PDT 2015 --  Vou dormir antes que eu seja mais imbecíl do que já fui.. isso se eu conseguir
Mon Aug 17 18:58:50 PDT 2015 --  TO-MAR-NO-CÚ
Mon Aug 17 18:58:36 PDT 2015 --  "aah olha só ela ta na tpm" , "aah que bonitinha olha que imagem frágil", "aah ela só quer atenção" , "aah ela é uma solitária"
Mon Aug 17 18:57:32 PDT 2015 --  Não completamente... eu odeio parcialmente ser mulher
Mon Aug 17 18:57:09 PDT 2015 --  EU ODEIO SER MULHER!
Mon Aug 17 18:56:49 PDT 2015 --  Porque puta que pariu viu
Mon Aug 17 18:56:15 PDT 2015 --  É nessas horas que os homens tem que agradecer por serem filhadaputamente sortudos e não passarem por essas merdas
Mon Aug 17 18:55:41 PDT 2015 --  E me livrar dessas porras de hormônios ou seja lá o que caralhos for
Mon Aug 17 18:55:14 PDT 2015 --  Nem jogar eu quero \o/ é em momentos assim que eu queria mais que tudo nesse mundo arrancar essa porra desse útero
Mon Aug 17 18:53:25 PDT 2015 --  Eu mendigando atenção, quem diria e-e já posso cavar meu tumulo
Mon Aug 17 18:47:39 PDT 2015 --  não paguem dizímo
Mon Aug 17 18:47:47 PDT 2015 --  Que merda viu \o/
Mon Aug 17 18:47:21 PDT 2015 --  O que eu mais queria nesse momento é me sedar por uma porra de uma semana inteira
Mon Aug 17 18:46:50 PDT 2015 --  Ah esqueci não tenho nenhuma matéria de exatas, sou de humanas HUEHAUHEUHAUEHA https://twitter.com/tuanalua/status/633453199274459136 …
Mon Aug 17 17:30:17 PDT 2015 --  "vc so tuita merda" pic.twitter.com/yPzyKmzkpg
Sun Aug 16 20:27:25 PDT 2015 --  Nha no ~ Nyaah que coisinha mais linda no final do vídeo https://www.youtube.com/watch?v=B8yLanw-Ghw …
Sun Aug 16 20:17:48 PDT 2015 --  Esses vines japoneses são pika
Sun Aug 16 20:06:26 PDT 2015 --  QUEEE NOOOJOOOO
Sun Aug 16 20:04:57 PDT 2015 --  Aí tu ta dando um rolê doido no youtube e quando vai ver para em um vídeo chamado "infecção bestial produzida por um pelo encravado"
Sun Aug 16 19:42:05 PDT 2015 --  Cosmic League não é tão legal quanto pareceu ser :/
Sun Aug 16 13:58:08 PDT 2015 --  L.E. Star Wars PS4 launches with Star Wars Battlefront, Disney Infinity 3.0 bundles on 11/17: http://bit.ly/1Ewa31V  pic.twitter.com/XomFVQEriy
Sun Aug 16 13:56:08 PDT 2015 --  Mds nem creio que arrumei esse bug de uma maneira tão tosca HUEHUAHUEHA Agr vou tentar jogar Cosmic League
Sun Aug 16 13:02:23 PDT 2015 --  CONSEGUII CARAAIIOOO
Sun Aug 16 12:57:03 PDT 2015 --  Vamos ver se agora deu certo
Sun Aug 16 12:56:43 PDT 2015 --  Affe que bunda de notebook viu
Sun Aug 16 12:48:32 PDT 2015 --  Agr eu ativei a inicialização no modo de reparo e vou tentar instalar o chrome offline
Sun Aug 16 12:24:51 PDT 2015 --  tanta gente sem cama no mundo e a gente usando duas, quando podemos deitar só na minha, reflita!
Sun Aug 16 11:59:01 PDT 2015 --  Nessa época de crise vou vender kit de protesto. Vai ter duas cartolinas, pincel atômico, tinta guache e camiseta falsificada do brasil.
Sun Aug 16 12:37:22 PDT 2015 --  Já atualizei driver até do anus do meu notebook
Sun Aug 16 11:25:12 PDT 2015 --  Agr usando meus conhecimentos dos confins da internet irei instalar o C++ x64 e x86
Sun Aug 16 10:43:13 PDT 2015 --  pic.twitter.com/D2wJo64eeP
Sun Aug 16 11:12:20 PDT 2015 --  Antigamente: "onde vc tá ?" "no terceiro paragrafo " "vou te esperar" Hoje: "onde vc tá ?" "nem to copiando" "nem eu""
Sun Aug 16 10:59:54 PDT 2015 --  é aquilo de: você só sabe a importancia de algo depois que perde
Sun Aug 16 10:59:21 PDT 2015 --  Sem o chrome minha produtividade cai em 100%
Sun Aug 16 10:58:32 PDT 2015 --  Mds nada da certo ;u;
Sun Aug 16 10:37:13 PDT 2015 --  Deveriam dar um feedback tipo "O programa exclui QUASE todos os arquivos bloqueados ou em execução" e não dizer que exclui TODOS
Sun Aug 16 10:36:29 PDT 2015 --  O unlocker não excluiu '-' caralho programa filho da puta propaganda enganosa!
Sun Aug 16 10:33:14 PDT 2015 --  Agora a tática é usar o unlocker pra excluir a pasta do chrome, se a tarefa continuar em execução depois disso encerrar ela pelo prompt
Sun Aug 16 10:30:33 PDT 2015 --  Tbm n consegui me livrar do problema pela chave de registro
Sun Aug 16 10:15:04 PDT 2015 --  vocês sabem que ta tendo maratona harry potter na tnt ne
Sun Aug 16 10:16:01 PDT 2015 --  Sobre eu tentando finalizar a tarefa pic.twitter.com/w1zrQ8CzTB
Sun Aug 16 10:13:06 PDT 2015 --  vou na pasta do arquivo e o desgraçado n quer excluir '-'
Sun Aug 16 10:12:44 PDT 2015 --  Lá fui eu tentar encerrar pelo prompt de novo a maldita não encerra e n dá pra reinstalar o chrome por causa dessa tarefa
Sun Aug 16 10:12:16 PDT 2015 --  Ai fui tentar pelo prompt não encerra tbm, desinstalei o chrome, reiniciei o note a porra da tarefa ainda tá lá
Sun Aug 16 10:11:42 PDT 2015 --  Primeiro n queria abrir, ai dps não tava conseguindo encerrar a tarefa pelo gerenciador
Sun Aug 16 10:11:18 PDT 2015 --  Aí eu tava falando esses dias que uso o chrome pra quase nada e o maldito buga caralhasticamente
Sat Aug 15 12:45:08 PDT 2015 --  Eu quando acordo de manha cedo e fico olhando pro nada sentado na cama . pic.twitter.com/TMSA9JURbj
Sat Aug 15 12:46:20 PDT 2015 --  esse sábado tá maravilhoso pra fugir das responsabilidades e ir dormir
Fri Aug 14 05:46:49 PDT 2015 --  Filhote de tubarão faz 'cara de tédio' ao ser capturado. http://glo.bo/1h9Iqa2  [ @BlogPageNFound] pic.twitter.com/qOwf0QqgHb
Sat Aug 15 10:38:54 PDT 2015 --  Também uso o navegador pra ver o Tumblr, apesar da minha atividade por lá ser 80% mobile
Sat Aug 15 10:36:09 PDT 2015 --  Pra não falar que eu não abro o chrome, eu abro ele pra baixar alguma coisa, e pra usar o youtube, só tbm
Sat Aug 15 10:35:30 PDT 2015 --  Meu computador anda tão marotinho que não preciso nem abrir o navegador pra usar o TT e o Wpp XD já faz uns dias que o chrome ta inutilizado
