Fri Aug 28 12:10:07 PDT 2015 --  Today is the day you make a fresh start.
Fri Aug 28 13:40:02 PDT 2015 --  ich laufe niemandem nach! Entweder du magst mich oder du verpisst dich 🏼
Fri Aug 28 15:20:03 PDT 2015 --  Sometimes you miss the memories more than the person.
Fri Aug 28 16:40:53 PDT 2015 --  "Heute gehe ich früh ins Bett" - Die wohl größte, dreckigste und häufigste Lüge auf der Welt.
Fri Aug 28 06:25:49 PDT 2015 --  L(i)ebe
Fri Aug 28 06:28:35 PDT 2015 --  Wo ist das Band, das uns verbunden hat? Du hast es zerschnitten. Nun ist es für immer zertrennt.
Fri Aug 28 10:36:04 PDT 2015 --  Ask yourself that every day. pic.twitter.com/JeowaIwl3w
Fri Aug 28 11:13:53 PDT 2015 --  Ich frag mich wann der Tag kommen wird und ich einfach sagen kann "haha ist mir doch egal".
Fri Aug 28 10:12:55 PDT 2015 --  es tut mir so unendlich leid das ich so viele fehler mache.
Thu Aug 27 11:34:38 PDT 2015 --  Habe auf Majoe´s Album einen geilen Track dazugesteuert mit Farid zusammen, seid gespannt! 01. Breiter als zwei... http://fb.me/4k1dwNiOs 
Thu Aug 27 11:39:38 PDT 2015 --  #schwarzerHumor pic.twitter.com/ojTJaarj0P
Thu Aug 27 11:45:10 PDT 2015 --  Irgendwie traurig pic.twitter.com/TWZJQnHreN
Thu Aug 27 11:50:43 PDT 2015 --  Habe @xeniashirizzle gefunden :D pic.twitter.com/YFvIcaCoz3
Thu Aug 27 10:45:22 PDT 2015 --  YouTube Deutschland ist genau wie ein Film wo die Story gleich bleibt und nur die Schauspieler wechseln. Überall gleiche Videos
Mon Aug 24 06:18:09 PDT 2015 --  Fühlt ihr euch im Sommer auch gestresst, weil ihr ständig das Gefühl habt, irgendwas Krasses machen zu müssen um keine Zeit zu verschwenden?
Thu Aug 27 06:18:28 PDT 2015 --  Selbst Hausaufgaben abzuschreiben ist zu viel Arbeit für mich.
Thu Aug 27 07:51:48 PDT 2015 --  Kraaaaank... Viele Städte der Tour sind kurz vorm Ausverkauf, hab euch diesbezüglich was zu sagen... Tickets... http://fb.me/7EFinre9P 
Thu Aug 27 08:40:38 PDT 2015 --  1. klässler Cousine bei den Hausaufgaben helfen pic.twitter.com/XXtqdNOuiD
Tue Aug 25 05:03:01 PDT 2015 --  Wenn es existieren würde, wäre das mein Lieblings-Emoji. pic.twitter.com/nJBGmpKxyK
Mon Aug 24 13:29:23 PDT 2015 --  Wie kann man jemandem, der einen doch angeblich so sehr liebt, so egal sein?
Mon Aug 24 13:50:53 PDT 2015 --  Manchmal muss man Menschen aufgeben. Nicht weil sie dir nicht wichtig sind,sondern weil du es Ihnen bist.
Mon Aug 24 12:18:13 PDT 2015 --  @xeniashirizzle @Alina2678 @_pxlxn_ wie schwul seh ich denn da bitte aus,seit wann bin ich ne ente
Mon Aug 24 12:16:12 PDT 2015 --  2014 @Alina2678 @leSumpex @_pxlxn_ pic.twitter.com/CAy6BYGkyz
Mon Aug 24 11:56:13 PDT 2015 --  Es heißt Freundschaft, weil man mit Freunden alles schafft. pic.twitter.com/w2KcWD6ZwW
Mon Aug 24 09:49:28 PDT 2015 --  Jemanden zu betrügen ist kein Unfall. Es war deine Wahl.
Mon Aug 24 11:30:47 PDT 2015 --  Man muss falsche Freunde kennen lernen, um zu wissen wer die Wahren und Wertvollen sind.
Mon Aug 24 04:02:46 PDT 2015 --  Manche Menschen strapazieren so Hart Nerven und MERKEN es noch nicht einmal
Mon Aug 24 05:20:38 PDT 2015 --  wtf? pic.twitter.com/GXEVTc7IV3
Mon Aug 24 06:02:50 PDT 2015 --  Ich liebe es an @_pxlxn_ dass man immer die grösste scheisse mit ihr machen kann. #Niewiederohnedich. pic.twitter.com/ABAMoacvpt
Mon Aug 24 05:59:58 PDT 2015 --  Irgendwao im nirgendwo mit sister @_pxlxn_ pic.twitter.com/wVga1hvkRp
Mon Aug 24 05:57:21 PDT 2015 --  Grade mal voll random mit @xeniashirizzle in Meerscheid gewesen. Läuft bei uns.
Mon Aug 24 05:11:01 PDT 2015 --  @_pxlxn_ & ich fahren nach Ohligs. random weil langweile.
Sun Aug 23 21:15:05 PDT 2015 --  "Bana seni seviyorum deme, hissettir."
Sun Aug 23 09:49:29 PDT 2015 --  Manchmal frage ich mich, wer in 10 Jahren immer noch an meiner Seite sein wird.
Sun Aug 23 10:21:56 PDT 2015 --  Ich schlafe zu wenig und denke zu viel.
Sun Aug 23 12:44:16 PDT 2015 --  Ich sterbe @Alina2678 pic.twitter.com/sn4CFJrqy9
Sun Aug 23 13:15:11 PDT 2015 --  "Öyle bir an geliyor ki, insanın içinde bir şeyler kırılıyor; ne enerji ne istek kalıyor."
Sun Aug 23 10:55:34 PDT 2015 --  "jungsgeile fotzenheit" - @_pxlxn_ |2015
Sun Aug 23 09:27:25 PDT 2015 --  Unutma.. pic.twitter.com/heB49tdjk6
Sun Aug 23 06:15:10 PDT 2015 --  "Bağışlamak kolay.. Asıl zor olan tekrardan güvenmek."
Sun Aug 23 08:22:13 PDT 2015 --  24/7 ich so. @ShirinDavid pic.twitter.com/uGGaEHcFEz
Sun Aug 23 08:45:10 PDT 2015 --  "Bir de yalan söylediğinde anlamadığımızı sanan komik insanlar var."
Sun Aug 23 06:28:29 PDT 2015 --  Wenn du mich brauchst, ruf mich an. Es ist mir egal, ob ich - schlafe - eigene Probleme hab - böse mit dir bin Ich werde für dich da sein.
Sun Aug 23 05:15:10 PDT 2015 --  "Yorma kendini, bırak hayatına eşlik etmek isteyenler seninle gelsin."
Sat Aug 22 22:15:04 PDT 2015 --  "Bir süre sonra anladım ki, vazgeçilmez olan sen değilsin; Vazgeçmeyi bilmeyen benim."
Sat Aug 22 14:57:10 PDT 2015 --  Ne olursan ol değil de sadece benim olcaksan gel..
Sat Aug 22 14:18:02 PDT 2015 --  Don't say maybe when you mean no.
Sat Aug 22 14:56:08 PDT 2015 --  Bazen (1) mesaj beklersin yaa ... Heh devam et işte , daha çok beklersin
Sat Aug 22 14:56:38 PDT 2015 --  Bir kez soğursun ve hiçbir şey eskisi gibi olmaz.
Sat Aug 22 13:25:35 PDT 2015 --  Xenia wenn du das liest: vergiss nicht Montag Haribo mit zubringen nh
Sat Aug 22 13:12:48 PDT 2015 --  Fuck off & smile. Das Leben ist viel zu kurz um traurig zu sein.
Sat Aug 22 13:10:36 PDT 2015 --  "ICH HAB ANGST" "WIESO BIST DU EIN BABY" DIE 4 JÄHRIGE HAT DER 6 JÄHRIGEN VOLL GEGEBEN HAHAHA
Sat Aug 22 13:06:24 PDT 2015 --  Hass' mich oder lieb' mich ich bleib' wie ich bin, scheiß' auf den Rest, mach mein eigenes Ding. @KCRebell45 pic.twitter.com/LtjkJjOrGc
Sat Aug 22 12:57:39 PDT 2015 --  Beste Stelle @ShirinDavid pic.twitter.com/6PPnqauk7F
Sat Aug 22 12:46:52 PDT 2015 --  Warum sollte ich MIR wegen DIR den Kopf zerbrechen? Zerbrech' du doch wegen MIR deinen Kopf.
Sat Aug 22 12:08:20 PDT 2015 --  Einkaufsliste für Übermschtung bei @_pxlxn_ : -Energiedrinks. -Chips -Süsigkeiten -Filme & Geld für leute anrufen :D
Sat Aug 22 11:58:09 PDT 2015 --  @_pxlxn_ und du such Türken ausm Telefonbuch
Sat Aug 22 11:14:03 PDT 2015 --  @verletzen 1. mal aus liebe. 2. mal aus hoffnug. 3. mal aus dummheit.
Sat Aug 22 09:45:56 PDT 2015 --  wahre Freundschaft @_pxlxn_ pic.twitter.com/tDRD3gY3mY
Sat Aug 22 09:42:14 PDT 2015 --  @_pxlxn_ Und du meine Sonne
Sat Aug 22 09:34:16 PDT 2015 --  Kleiner Schnapschuss in der Rebelllounge in Hamburg. Jetzt geht's direkt nach Mühlheim-Kärlich ins Nachtwerk.... http://fb.me/3TuBdPbJb 
Sat Aug 22 09:36:27 PDT 2015 --  @_pxlxn_ & du meine Unbiologische schwester
Sat Aug 22 09:20:31 PDT 2015 --  Pelin is Bae
Sat Aug 22 08:13:41 PDT 2015 --  Gülmesi hoşuna gidiyorsa ; ağlatmayacaksın.
Sat Aug 22 08:11:06 PDT 2015 --  Amazing things happen when you distance yourself from negativity.
Sat Aug 22 07:53:27 PDT 2015 --  Idk - I don't know Btw- by the way Idc - I don't care af - as fuck Hört auf mich danach zu fragen danke
