Fri Aug 28 05:50:01 PDT 2015 --  Expect nothing and accept everything and you will never be disappointed.
Fri Aug 14 14:44:07 PDT 2015 --  " @PiscesAreUs: #Pisces are rarely disruptive."
Fri Mar 13 13:21:01 PDT 2015 --  Life doesn't stop for anybody. People move on, they change and they let go, they grow and eventually they forget and pass on.
Tue Mar 10 23:50:03 PDT 2015 --  Trust before you love. Know before you judge. Commit before you promise. Forgive before you forget. Appreciate before you regret.
Sun Mar 08 16:00:52 PDT 2015 --  " @BestofPisces: #Pisces usually prefer to be alone."
Sun Oct 19 05:59:34 PDT 2014 --  Don't feel too proud because you have bread....remember someone owns the bakery
Tue Feb 17 07:21:18 PST 2015 --  " @InspowerMinds: Be thankful for what you have. You have no idea how many people would love to have what you've got."
Wed Apr 09 20:42:28 PDT 2014 --  #Pisces should not get drunk. That's when they make really poor choices.
Wed Jan 01 11:31:17 PST 2014 --  Don't give everything to a person that isn't giving you anything. #iHQ
Sun Dec 22 11:43:36 PST 2013 --  “ @PiscesAreUs: Leave it to a #Pisces to love you one day and not acknowledge your existence the next.”
Wed Dec 18 09:11:57 PST 2013 --  "@sincitynigeria: Marry someone who can cook. Love fades, hunger doesn't."
Sat Nov 30 15:24:37 PST 2013 --  " @PiscesAreUs: #Pisces men have a reputation of being players. But it's not an act! They really do fall in love -- often!"
Sat Nov 30 14:25:51 PST 2013 --  " @PiscesAreUs: A #Pisces born on March 8 is a fascinating combination of cynic and mystic."
Sat Nov 30 14:13:34 PST 2013 --  #Pisces have extreme of emotions and feel both good and bad intensively. When it rains it pours and when the sun its out it shines
Mon Nov 25 09:03:55 PST 2013 --  "@ComedianElennu: Life is too short to look back and thinking on the chances u could hv taken......""
Mon Nov 25 09:00:05 PST 2013 --  " @OmoBaba_: You have 'Freedom of Speech' but 'Freedom after Speech', that I cannot guarantee" - Idi Amin"
Sat Sep 14 05:58:11 PDT 2013 --  Naija girls have a funny way of asking if u have a girlfriend, they 'll be like 'don't allow ur GF to come and break my head oooooooh.
Sat Nov 02 05:55:02 PDT 2013 --  " @NaijaTuneZ:BBM on BlackBerry can never be the same with BBM on Android or Techno.It's like installing Obama's brain in Jonathan's head."
Thu Oct 31 00:36:40 PDT 2013 --  RT if you're the type of #Pisces to give without ever expecting to receive.
