Fri Aug 14 06:19:22 PDT 2015 --  నేనింతా ఒక పిడికెడు మట్టే కావచ్చు కాని కలమెత్తితే ఒక దేశపు జండా కున్నంత పొగరుంది."- శేషంద్ర
Tue Aug 11 19:55:29 PDT 2015 --  I urge all my fans and all the people who love watching movies to help kill piracy .
Sun May 31 09:19:54 PDT 2015 --  I usually don't do this but it's our superstar's birthday..4all the dubsmash fans..enjoy:) pic.twitter.com/OI7ed2qvZk
Fri Feb 20 20:56:06 PST 2015 --  Discover great free apps and get rewarded with gift cards! https://m.freemyapps.com/share/twitter/bc09ddc7 … via @freemyapps
Sat Feb 14 19:52:55 PST 2015 --  #BleedBlue #IndiaVSPakistan
Mon Jan 19 20:56:02 PST 2015 --  A dog holds onto a little boy as he tries to retrieve a ball in a river with his golf club. 1920s pic.twitter.com/shQiOwI2Jz
Wed Jan 14 23:27:42 PST 2015 --  . @deepikapadukone has put on the New Team India jersey and is already cheering them on. What about you? #BleedBlue pic.twitter.com/eUF8UVyQaq
Sat Jan 10 21:47:21 PST 2015 --  [PICS] Deepika Padukone at Umang Police show 2015 pic.twitter.com/CeLDUTkLPo
Sat Jan 10 22:10:39 PST 2015 --  Happy b'day rahul bhai. Have a great year ahead and wish you the best in life always. Legend forever.
Mon Dec 08 14:57:32 PST 2014 --  The great moments I spent here will forever be in my memory. Thank you New Delhi! Tremendous crowd support! Forever grateful
Sun Sep 28 00:50:04 PDT 2014 --  Good to see #NaMoInUS in NYC... proud to be indian
Sat Jun 14 04:04:32 PDT 2014 --  @satya_sai008 "I'm in the stadium in Brazil, this guy next to me is banging his girl celebrating the Netherlands LMFAO" - Brazil
Fri May 16 01:02:33 PDT 2014 --  Sought blessings from my Mother pic.twitter.com/OegXhartLx
Sat May 03 09:18:22 PDT 2014 --  Point your finger at me and I'll hang my coat on it.
Thu May 01 09:54:18 PDT 2014 --  pic.twitter.com/FHA2m6isZG
Tue Jul 09 23:26:10 PDT 2013 --  How cell phones have invaded and conquered everything in our lives pic.twitter.com/lkiQU8B6LR"
Sat May 18 03:20:44 PDT 2013 --  I love Dropbox because http://db.tt/fspkVuwK 
Sun Feb 17 09:20:23 PST 2013 --  Text me when you're bored and I'll ignore it like I'm busy.
Tue Dec 25 06:11:57 PST 2012 --  Google must be a woman, it knows everything.
Tue Nov 27 06:51:57 PST 2012 --  I go to your profile because I miss you, but then regret it because of what I see.
Tue Nov 13 10:49:02 PST 2012 --  Open Google maps, type: 47.110579 9.227568 & click the green arrow, select more, go to Street View. Go up 2 & left 2. R-T If you saw it.
Tue Oct 09 09:33:45 PDT 2012 --  The feminine version of 'dude' is 'dudine'.
Tue Oct 09 09:33:14 PDT 2012 --  Music makes the brain happy and hungry for more music.
Tue Oct 09 09:33:05 PDT 2012 --  Yawning doesn't mean you're sleepy. It means your body needs more oxygen.
Tue Oct 09 09:32:56 PDT 2012 --  You can send a letter to Santa in Canada with the postal code H0H 0H0.
Tue Oct 09 09:32:40 PDT 2012 --  The higher a man's I.Q., the more sexually faithful he tends to be.
Tue Oct 09 09:32:15 PDT 2012 --  In developing nations, up to 20% of girls drop out of school because they have no place to go to the bathroom.
Tue Oct 09 09:31:53 PDT 2012 --  Thinking too much often end up creating problems that were never there in the first place.
Tue Oct 09 09:31:43 PDT 2012 --  The more you talk about that person to others; the more you fall in love with that person.
Tue Oct 09 09:31:36 PDT 2012 --  An insecure person is more likely to hate someone that they don't even know.
Tue Oct 09 09:31:32 PDT 2012 --  Religious sites are more likely to harm your computer with viruses than porn sites.
Tue Oct 09 09:31:22 PDT 2012 --  75% people tries to fall back asleep in the morning just to finish their incomplete dream.
Tue Oct 09 08:38:53 PDT 2012 --  People who regularly help others tend to be significantly happier and are less likely to become depressed as they get older.
Tue Oct 09 08:38:03 PDT 2012 --  People with stronger friendships have the greater ability to communicate strictly through facial expressions.
Tue Oct 09 08:37:51 PDT 2012 --  Laziness and inactivity kills just as many people as smoking.
Tue Oct 09 08:37:40 PDT 2012 --  Positive emotions enhances the brain's ability to make good decisions.
Tue Oct 09 08:37:32 PDT 2012 --  The sound you hear when you put a seashell next to your ear is not the ocean, but blood flowing through your head.
Tue Oct 09 08:37:20 PDT 2012 --  You share your birthday with at least 9 million other people in the world.
Tue Oct 09 08:37:05 PDT 2012 --  2013 will be the first year not to contain a repeated digit since 1987.
Mon Oct 08 05:26:24 PDT 2012 --  8 out of every 10 atheists in United States celebrate Christmas every year.
Mon Oct 08 05:25:51 PDT 2012 --  At the age of 6, Iron Man star Robert Downey Jr. was already smoking marijuana.
Mon Oct 08 05:25:31 PDT 2012 --  "I've read and I agree to the terms and conditions." - said nobody, ever.
Mon Oct 08 05:25:18 PDT 2012 --  Myspace: Died a couple of years ago. Facebook: In the hospital. Twitter: At the strip club throwing ones at the big booty bitches.
Mon Oct 08 05:24:59 PDT 2012 --  The awkward moment when you’re in the car and accidently make eye contact with people in the car next to you.
Mon Oct 08 05:24:45 PDT 2012 --  On average, women cry between 30 and 64 times a year. Men cry up to six times a year.
Mon Oct 08 05:24:13 PDT 2012 --  That sad moment when you walk in a mall and you see sweet couples along the way. Inside you’re like: "ALL BY MYSELF!"
Mon Oct 08 05:23:37 PDT 2012 --  That expression inside when you got paired with the laziest fucker* in class.
Mon Oct 08 05:23:00 PDT 2012 --  Planning the conversation in your head before asking your parents for something big.
Mon Oct 08 05:22:21 PDT 2012 --  "Are you crying?!" "Nah no way! I'm just peeing from my eyes."
Mon Oct 08 05:22:02 PDT 2012 --  Some people in my school just need a hug. Around their necks. With my hands.
Mon Oct 08 05:21:49 PDT 2012 --  In life, the best moments are those that your camera always failed to capture.
Mon Oct 08 05:21:04 PDT 2012 --  Lazy rule: can't reach it, don't need it.
Mon Oct 08 05:20:40 PDT 2012 --  O.T.D = Obsessive Twitter Disorder.
Mon Oct 08 05:13:56 PDT 2012 --  Gallery: Hrithik Roshan, Priyanka Chopra, Amitabh Bahchan, Aishwarya Rai and Abhishek Bachchan spotted together. - http://www.filmfare.com/photos/airport-diaries-amitabh-aishwarya-hrithik-priyanka-kangna-spotted-together-1413.html …
Mon Oct 08 05:20:04 PDT 2012 --  If you brush your teeth using the hand that you don’t usually do, then your self control level will increase!
Mon Oct 08 05:19:22 PDT 2012 --  Stalking somebody with your friend and the person turns around and sees you.... “oh shit!, run bitch run!”.
Sun Oct 07 07:57:02 PDT 2012 --  That awkward moment when you've already said “what?” three times and still have no idea what the person said, so you just agree.
Sun Oct 07 07:56:37 PDT 2012 --  Multiple choice on a test: *A, B, C, or D?* “Well I haven’t chosen B for like 4 questions so I’ll choose that”
Sun Oct 07 07:56:25 PDT 2012 --  Don't worry, it’s just a bad day, not a bad life.
Sun Oct 07 07:56:09 PDT 2012 --  i am sexy nd i knw it,bt too lazy 2 show it
Sun Oct 07 07:54:58 PDT 2012 --  Say NO to drugs. Say YES to Twitter.
Sun Oct 07 07:54:29 PDT 2012 --  "I put that on my mama ; my dead auntie ; Grandaddy grave ; my life ; on god" = I'm telling the truth.
Sun Oct 07 07:49:45 PDT 2012 --  The largest pizza ever made in the world was able to feed nearly 100 people.
Sun Oct 07 07:49:34 PDT 2012 --  The ZIP in “ZIP code” means Zoning Improvement Plan.
Sun Oct 07 07:48:42 PDT 2012 --  Sneezing can stop all of the bodily functions, including the heartbeat.
Sun Oct 07 07:47:34 PDT 2012 --  If you smoke 20 cigarettes a day for a duration of three and a half years ten years are deducted from your life.
Sun Oct 07 07:47:22 PDT 2012 --  (-_-) (-_-) (-_-) (-_-) (-_-) (-_-) (-_-)(-_-) (-_-) (-_-) (0_o) (-_-)(-_-) (-_-) me and my asian army...don't mind stella... she's awkward.
Sun Oct 07 07:43:28 PDT 2012 --  Two blondes were driving to Disneyland. The sign said: "Disneyland Left", So they started crying and headed home.
Sun Oct 07 07:43:12 PDT 2012 --  That awkward moment when your walking down the stairs and think theres another step and you hulk stomp the ground.
Sun Oct 07 07:43:03 PDT 2012 --  I would rather cuddle then have sex. If you are good with grammar you will get it.
Sun Oct 07 06:36:32 PDT 2012 --  Once Andre the Giant, in a hotel bar drank 127 beers and wasn't moved until he woke up after he passed out in the lobby because of his size.
Sun Oct 07 05:54:55 PDT 2012 --  The longer the finger, the faster its nail will grow. Your middle fingernail grows the fastest.
Sun Oct 07 05:54:49 PDT 2012 --  90% of the people restart the whole song, if they just miss their favorite part of the song.
Sun Oct 07 05:54:44 PDT 2012 --  Smelling bananas or/and green apples (smelling, not eating) can help you lose weight.
Sun Oct 07 05:54:14 PDT 2012 --  Every day, 2,500 Americans try cocaine for the first time.
Sun Oct 07 05:53:44 PDT 2012 --  The Letter "L" is on the right side of the keyboard, And "R" is on the left side.
Sun Oct 07 05:53:21 PDT 2012 --  80% of people utilize silence as a way of expressing sadness, anger & or disappoitnment.
Sun Oct 07 05:53:12 PDT 2012 --  A single sneeze is capable of giving at least 150 a case of the common cold.
