Mon Aug 10 13:38:22 PDT 2015 --  Anybody that wants to leave, there is the muthafucking door, explore your exit
Mon Jun 29 09:09:25 PDT 2015 --  pic.twitter.com/M87KGvOouG
Wed Jul 01 15:20:03 PDT 2015 --  Hmmmmm pic.twitter.com/9PVgYkUjdo
Wed Jul 15 15:10:06 PDT 2015 --  Damn near the only time the MFers ain't whispering! #TruStory!!!!! pic.twitter.com/tXY0LlI6NE
Sun Jul 12 20:16:17 PDT 2015 --  Where do i sign up? pic.twitter.com/3gLmnTboeJ
Sat Jul 11 12:12:16 PDT 2015 --  "Black and blue. God vs. man. Day vs. night." Watch the exclusive Comic-Con trailer for #BatmanvSuperman. https://amp.twimg.com/v/1e5ce5c1-5150-4e8a-a8ba-9623909b30da …
Mon Jun 29 21:30:11 PDT 2015 --  When a woman no longer gets frustrated and upset with you, you can almost guarantee that she doesn't care anymore.
Tue Jun 30 21:30:09 PDT 2015 --  Don't hurt anyone. It only takes few seconds to hurt people you love, and it can take years to heal.
Wed Jul 01 09:30:20 PDT 2015 --  Accidentally text the wrong person? Immediately put your phone on airplane mode and once it fails to deliver, delete the message.
Sun Jun 21 11:28:16 PDT 2015 --  That's right! #cancer https://twitter.com/FantasyMinds/status/612503951712260096 …
Thu May 28 04:06:43 PDT 2015 --  First born children tend to have a higher I.Q. than their siblings.
Sat Jun 13 09:22:27 PDT 2015 --  Being able to instantly respond with sarcasm within seconds of a stupid question is a sign of a healthy brain.
Sun Jun 14 08:23:33 PDT 2015 --  People who swear a lot tend to be more honest, loyal and upfront with their friends.
Fri Jun 12 21:58:27 PDT 2015 --  Here's my take on #RachelDolezal your hair can't go from bone straight to Kinky curly. I want here from her hair dresser.
Sat Jun 06 22:53:15 PDT 2015 --  The Elemelons pic.twitter.com/HugJwZQSM9
Mon May 25 19:34:47 PDT 2015 --  Why do we say "daybreak" and "nightfall", but not "dayfall" and "nightbreak"? That shit's racist.
Sat May 16 00:12:12 PDT 2015 --  Everything is relationship goals with you ppl! Shutup pic.twitter.com/E1hDgSkYYX
Fri May 15 13:53:09 PDT 2015 --  I procastinate so much I'll probably put off death and never die.
Fri May 15 13:39:55 PDT 2015 --  That I Am.. pic.twitter.com/pShqZkVZlS
