Sat Aug 15 09:53:22 PDT 2015 --  [Video] BREAKING: Messi is missing since Spanish Super Cup!!! If found return to Camp Nou http://bit.ly/1N9BeHN  pic.twitter.com/iBROsRIXYk
Fri Aug 14 19:11:30 PDT 2015 --  Appreciate the people that go hard for you 🏼
Sat Aug 15 06:34:58 PDT 2015 --  Youre on a bike holding gallon...biscuit and 20naira...You finish with the biscuit and throw away the 20naira...What next?
Sat Aug 15 02:27:42 PDT 2015 --  This 80 Year Old Man Has Not Taken A Bath In 60 Years. Just Wait Til You See Him… Whoa. http://learnsomethingdaily.net/1972419-10179099 …
Thu Aug 13 20:45:27 PDT 2015 --  What a star looks like when it dies pic.twitter.com/VDMPcLAxRX
Fri Aug 14 02:13:03 PDT 2015 --  This is weird. pic.twitter.com/kP2WjdUj7n
Fri Aug 14 11:07:49 PDT 2015 --  pic.twitter.com/lgb4HeHrlo
Fri Aug 14 21:12:42 PDT 2015 --  This is what a Spiny Turtle looks like. pic.twitter.com/PMxTIwx50H
Sat Aug 15 02:11:02 PDT 2015 --  pic.twitter.com/q2UR3YrMxu Sunrise through a tree during an eclipse...Natures one help of a houdini
Fri Aug 14 14:30:02 PDT 2015 --  @Sir_LightSkinn If Clinton is elected, Bill will be the First Lord of the United States. The complementary term to "Lady" is "Lord".
Fri Aug 14 12:30:28 PDT 2015 --  If a woman became president, her husband would be called the "First Gentleman."
Fri Aug 14 07:26:52 PDT 2015 --  If your social networks ever been so idle you start to doubt your data connection...RETWEET!
Fri Aug 14 07:18:26 PDT 2015 --  There's two Ora's in the booth... First...that ora of Fear,Doubting your assets,and shortly after,Death,Cause you KNOW you just murdered it
Thu Aug 13 14:56:36 PDT 2015 --  Barber Fetty Wapped my hairline back to 1738... Annointing blind your one eye...
