Tue Aug 18 18:14:43 PDT 2015 --  Por si me stalkeas: me gustas más que Star Wars y Supernatural juntos.
Tue Aug 18 15:15:17 PDT 2015 --  Mi eterna debilidad, eso eres.
Mon Aug 17 11:09:38 PDT 2015 --  Acabo de despertar de uno de los sueños más largos y bonitos en mucho tiempo. Sólo puedo presumir que estaban ustedes ahí conmigo. Juntos
Mon Aug 17 07:36:16 PDT 2015 --  ¡Buenos días! Disfruten su Viernes.
Sun Aug 16 11:11:53 PDT 2015 --  "Sé alguien que valga la pena conocer".
Sun Aug 16 09:41:15 PDT 2015 --  Twitter pierde la diversión cuando alguien se toma en serio un tuit
Sat Aug 15 20:11:30 PDT 2015 --  Estoy extremadamente orgulloso de mis hermanos @jucaviapri @SoyRix y @ElJuanpaZurita http://youtu.be/S2Njg6oshJ4  #TrailerOficialCDE 🏻
Sat Aug 15 20:18:52 PDT 2015 --  Tu cuerpo será mío, te llevare a la cama, te haré sudar y temblar, y te dejaré sin fuerzas. Atte: La gripe.
Sat Aug 15 19:29:21 PDT 2015 --  Follow y DM a quien le de rt a mi siguiente tuit
Sat Aug 15 19:29:57 PDT 2015 --  TRAILER OFICIAL DE CAMINO DE ESTUPIDECES! #TrailerOficialCDE http://youtu.be/S2Njg6oshJ4 
Sat Aug 15 11:11:11 PDT 2015 --  oyes si te mando una foto con un papel que diga 10 days left what do you mean me subes a tu instagram eh ja gracias salu2 @justinbieber
Sat Aug 15 14:52:21 PDT 2015 --  Awww thanks, so do you. https://twitter.com/screamau/status/632664500550832129 …
Sat Aug 15 10:39:28 PDT 2015 --  Buenos dias, no te rias.
Sun Jan 11 07:38:48 PST 2015 --  Mi amigo @jucaviapri y yo, estamos disfrutando de una hermosa vista justo ahora pic.twitter.com/AB9ntBHqS3
Sat Aug 15 08:45:51 PDT 2015 --  Sentirse superior es ser inferior.
Sat Aug 15 06:28:03 PDT 2015 --  Como cuando abres la cámara frontal por accidente: pic.twitter.com/O9Dvz8SW76
Sat Aug 15 07:20:24 PDT 2015 --  Hay actitudes que duelen, cosas que confunden y orgullo que distancia.
Sat Aug 15 07:28:02 PDT 2015 --  Yo, cuando queda el ultimo pedazo de pizza. pic.twitter.com/okuKDM9ikp
Sat Aug 15 07:46:47 PDT 2015 --  Tengo una amiga que le dicen piñata... todos le quieren dar palo!
Fri Aug 14 20:34:11 PDT 2015 --  Buenas noches
Thu Aug 13 22:30:01 PDT 2015 --  Por fin después de tanto tiempo, estamos de regreso en @barezzitoarcos con el bello @sr_oso pic.twitter.com/NaQyzRfuEW
Fri Aug 14 09:46:52 PDT 2015 --  Buenos buenos buenos buenos buenos buenos buenos buenos buenos buenos buenos buenos buenos buenos! Buena rumba ayer.
Fri Aug 14 16:08:33 PDT 2015 --  Si quieres ser épico, brinca de un avión . #RompeLasReglas @HP x360 https://vine.co/v/epBapDWAXP9 
Fri Aug 14 17:12:45 PDT 2015 --  Un Argentino ofreció su casa en mercado libre para comprar un boleto para conocer a Justin Bieber, eso es un #Belieber de verdad, aprendan.
Fri Aug 14 18:57:57 PDT 2015 --  ( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°)
Fri Aug 14 13:14:04 PDT 2015 --  Ya quiero conocerlos
Fri Aug 14 12:40:20 PDT 2015 --  Trabaja como si no necesitaras dinero, ama como si nunca te hubieran herido y baila como si nadie te estaría mirando.
Fri Aug 14 12:28:01 PDT 2015 --  Hoy duermo sin ropa... *A 138 mosquitos les gusta esto*.
Fri Aug 14 07:55:45 PDT 2015 --  Todo en exceso es malo, excepto la vacaciones, eso no.
Fri Aug 14 10:10:43 PDT 2015 --  Entrar a la ducha y salir con un plan detallado de como solucionar todos tus problemas.
Fri Aug 14 10:21:30 PDT 2015 --  ¡Estamos con @ElJuanpaZurita en los preparativos de los #KCAMEXICO! ¿Qué le quieren preguntar? #JuanPaKCAMEXICO pic.twitter.com/r6Ug5k8J37
Fri Aug 14 10:28:01 PDT 2015 --  Típico : Empezar a hacer la tarea y de la nada aparecer frente a la computadora.
Fri Aug 14 10:47:25 PDT 2015 --  Hola Hola Hola Hola Hola Hola Hola Hola Hola
Fri Aug 14 10:55:06 PDT 2015 --  . @paula_faro20, ¡ @ElJuanpaZurita contestó a tu pregunta! ¡BOMBEEEROS! #KCAMEXICO pic.twitter.com/Im3GqRofFC
Fri Aug 14 11:12:56 PDT 2015 --  Ver una película de guerras y pensar: 'Yo si estoy ahí me hago el muerto".
Fri Aug 14 11:13:23 PDT 2015 --  La felicidad consiste en dormir sin tener que madrugar, comer sin engordar y aprobar sin estudiar.
Fri Aug 14 12:02:13 PDT 2015 --  Y ahí va el estúpido de Strappy a poner esta simple imagen que tanta gracia le causó. pic.twitter.com/l1udBTBVU3
Fri Aug 14 12:10:45 PDT 2015 --  Cuando apenas es viernes y ya estas destruido... pic.twitter.com/UAk6rhP2ns
Thu Aug 13 21:23:07 PDT 2015 --  La relación más estable que he tenido últimamente es con la hermosa Netflix.
