Thu Aug 27 13:26:35 PDT 2015 --  The book of negroes.must watch
Thu Aug 27 01:25:48 PDT 2015 --  Not to be racist or anything but gosh Chinese people can't drive. 2 different Chinese women almost hit into my car.. Maybe it's me.nope.
Tue Aug 25 23:57:52 PDT 2015 --  Rule #6 Pay close attention to people who don't clap when you win. pic.twitter.com/uBb61wXykB
Tue Aug 25 05:31:33 PDT 2015 --  You know your Barbour is a bad ass when you see him driving and handling an I phone 6.
Mon Aug 24 00:03:18 PDT 2015 --  Not everyone is gonna like you that's a fact, don't worry though it's not you it's the blessing of God upon you they hating on.
Sun Aug 23 11:28:47 PDT 2015 --  Rule #5 Pray hardest when it is hardest to pray. pic.twitter.com/6VYH4v9z5g
Sun Aug 23 11:22:59 PDT 2015 --  It took me half my life to realize that "be there or be square!" Is because you are not a-round..
Fri Aug 21 13:13:12 PDT 2015 --  I'm not an asshole; I'm just the only one who has the balls to say what everyone is thinking.
Fri Aug 21 02:58:29 PDT 2015 --  Just my luck I get to sit next to the girl whose feet smell like cheese cause she's never heard of foot powder. No offense. Hygiene though
Fri Aug 21 02:06:52 PDT 2015 --  That one guy who comes into the office at 11 and five minutes later he's already going for his tea break like it's all normal.
Thu Aug 20 23:35:54 PDT 2015 --  Rule #4 There are two rules for success....... 1. Never reveal everything you know. pic.twitter.com/vQNnAr6zpx
Thu Aug 20 07:36:56 PDT 2015 --  You know it's real when she eats the whole pizza by herself. #fatty nation pic.twitter.com/Q4246Eh6dQ
Wed Aug 19 04:16:19 PDT 2015 --  I think I may have a secret lover at chicken inn. I just bought another 2 pricer and guess what there's 3 pieces. . The saga continues.
Wed Aug 19 04:09:17 PDT 2015 --  Love the way zim people walking In The streets think just because they singing gospel the automatically sound like John legend.
Tue Aug 18 23:57:50 PDT 2015 --  Rule #2 Never let the influences of the modern world affect your morals, or who you are. pic.twitter.com/1eBed81Uh4
Tue Aug 18 23:21:44 PDT 2015 --  This is why I can't work for the govt, I'm about that grind and in the office at 7:50 but everyone else coming in like at 9..
Tue Aug 18 04:30:09 PDT 2015 --  New job and it sucks so bought a two piecer turns out they gave me 3 pieces. Gods way of saying it's all gonna be okay I guess.
Tue Aug 18 00:44:29 PDT 2015 --  Once met a geologist and he said "i live with hope just like I set my alarm in the morning and hope to see another sunrise" so much for zim.
Mon Aug 17 08:14:18 PDT 2015 --  Rule #1 Work hard in silence, let your success make the noise. pic.twitter.com/X4FkPIHAQZ
