Mon Jul 13 07:36:08 PDT 2015 --  Young savage pic.twitter.com/MrGooS2l23
Sat Aug 29 08:40:13 PDT 2015 --  zero fucks given pic.twitter.com/awkVxb4h9C
Fri Aug 28 14:18:18 PDT 2015 --  Nap so damn good I woke up and was wondering where the hell i was
Fri Aug 28 13:32:09 PDT 2015 --  First five U.S. men’s freestylers get draws for UWW Cadet Worlds in Bosnia-Herzogovina: http://www.teamusa.org/USA-Wrestling/Features/2015/August/28/First-five-US-freestylers-get-draws-for-UWW-Cadet-Worlds#.VeDFOW-J6Pw …
Fri Aug 28 09:17:51 PDT 2015 --  #ASICSWrestling @alliseeisgold is ready for the World Championships! #RT to support JB in the event of the year! https://twitter.com/USAWrestling/status/637292622936014848 …
Fri Aug 28 06:23:41 PDT 2015 --  Zabi knows how to start a convo pic.twitter.com/L7qXoLMRd5
Fri Aug 28 06:00:14 PDT 2015 --  Exciting news regarding the @ufc @USAWrestling and the World Championships! http://goo.gl/7zhLze  pic.twitter.com/Nno2Amr64q
Thu Aug 27 16:01:55 PDT 2015 --  Off to a great start tripping during the entrance
Thu Aug 27 12:35:09 PDT 2015 --  Seriously. pic.twitter.com/U7EvU8XAh0
Thu Aug 27 09:47:49 PDT 2015 --  We have a CADET WORLD CHAMPION!!! Ronna Heaton USA dec. Saki Igarishi JPN 4-0 in the 49kg gold medal match! #CadetWorlds
Thu Aug 27 09:25:01 PDT 2015 --  Ionia vs. Charlotte at 7pm Bulldogs student theme: BLUE OUT Spread the word! @IoniaFootball
Thu Aug 27 09:03:30 PDT 2015 --  Watch out Usain Bolt...there's a killer Segway on the loose (Vine via @tara_mulholland) https://vine.co/v/ejQd0iZdBBU 
Sun Jul 19 15:00:48 PDT 2015 --  Hair goals 🏼 pic.twitter.com/PopF8Fmeca
Wed Aug 26 21:00:51 PDT 2015 --  #MidnightSnack top @AVHSAthletics athlete ever? RT @Baybee_Marky FAV @Tyusjones06 http://bit.ly/1NBDqbl  pic.twitter.com/k7oSGgFJPV
Thu Aug 27 08:07:18 PDT 2015 --  I hope for that child's sake he got the name
Thu Aug 27 08:07:10 PDT 2015 --  remember that facebook page like "if i get 1000000 likes my wife will let me name our baby megatron"
Wed Aug 26 21:20:03 PDT 2015 --  When Fetty comes on http://vine.co/v/ewnErUaUBTr 
Thu Aug 27 05:37:25 PDT 2015 --  Sounds like Young @WardTristin @Cameron_Ross923 https://twitter.com/wowsopunny/status/636878448108118016 …
Wed Aug 26 17:00:09 PDT 2015 --  This kid is now at legend status pic.twitter.com/oPMwdur9hh
Tue Aug 25 12:27:32 PDT 2015 --  Greatest College Football Coach • ELITE 8 • RT ~ Jim Harbaugh Fav ~ Mark Dantonio pic.twitter.com/bs7LNL47gV
Wed Aug 26 16:34:54 PDT 2015 --  We are ready to role and bring home Gold on American soil! Thanks Jen for the awesome photos! @USAWrestling pic.twitter.com/YZNwJiXDn8
Wed Aug 26 11:39:36 PDT 2015 --  Real Life by The Weeknd
Wed Aug 26 08:39:51 PDT 2015 --  I already miss cross camp
Tue Aug 25 12:58:07 PDT 2015 --  Ionia XC got it done today walking out with a W in Chippewa Hills pic.twitter.com/64QVqy3Uzx
Mon Aug 24 09:55:10 PDT 2015 --  Idk what id do without Netflix
Sun Aug 23 08:55:01 PDT 2015 --  I Just Wanna Be: Remembered. Successful. A Legend. Elite. Feared. Breathtaking. Unstoppable. Unforgettable. Untouchable. A WINNER.
Mon Aug 24 09:47:43 PDT 2015 --  "Given our current situation I believe that our most promising presidential candidate is Deez Nuts" -My Government professor
Mon Aug 24 09:13:51 PDT 2015 --  I can't wait to race tomorrow
Sun Aug 23 16:30:49 PDT 2015 --  about to be at school like http://vine.co/v/epjW2HIEgP2 
Mon Jul 13 13:57:25 PDT 2015 --  Absolute pic.twitter.com/Xy7S9limnt
Mon Aug 10 11:16:16 PDT 2015 --  This shirt pic.twitter.com/mXJete0WJX
Sun Aug 23 12:21:05 PDT 2015 --  Greatest College Football Coach • ROUND OF 32 • RT ~ Jim Harbaugh Fav ~ David Shaw pic.twitter.com/iuvycJn6qN
Sat Aug 22 20:30:20 PDT 2015 --  Rise and grind. Got a 4 hour shift at McDonalds today. Let's get it!
Tue Aug 18 14:30:13 PDT 2015 --  "Rt for Ionia Fav for Lakewood Football rivalry Help get this matchup hype"
Sun Aug 23 06:30:35 PDT 2015 --  Hockey player* @dillon_braun https://twitter.com/wealilknowa/status/635443093442043904 …
Sat Aug 22 17:58:28 PDT 2015 --  "Logan, are you sure Cam isn't gay?" - @Cameron_Mahlich's mom
Sat Aug 22 16:47:20 PDT 2015 --  @Cameron_Mahlich when you show off your medal pic.twitter.com/iA1RjLH7Bu
Sat Aug 22 10:14:48 PDT 2015 --  Semi-finals
