Fri Feb 27 21:07:00 PST 2015 --  Whisky vending machines. I cannot stress this enough. pic.twitter.com/MudOJPgSx0
Mon Dec 08 18:59:07 PST 2014 --  An alleged bourbon shortage has some enthusiasts hoarding hundreds of bottles. http://trib.al/lIaMYxT  pic.twitter.com/ooT7HzTbRc
Tue Jul 08 15:18:44 PDT 2014 --  No Mississippi State-Hunt Brothers Pizza, but these are so awesome. RT @AUPPL: How about some SEC Soccer Concepts? pic.twitter.com/XzMegsvqD8
Tue Dec 24 10:55:21 PST 2013 --  Better watch out, Better not cry. Better not pout, I'm tellin' you why. You're 10 years old and have an iPhone, you little shit. Merica.
Thu Apr 25 18:36:57 PDT 2013 --  Honestly if you're a recruit at home.. You have to wonder to yourself why you wouldn't go to bama.. #factory #RollTide
Thu Apr 25 18:19:17 PDT 2013 --  JETS! JETS JETS! #RTR
Fri Apr 19 00:16:41 PDT 2013 --  If u are following all the Boston MIT stuff 2 nite this guy @akitz has pics and videos on his twitter
Sun Feb 03 17:47:36 PST 2013 --  I blame Anonymous. What's more red blooded American than the Super Bowl.
Sun Feb 03 15:29:59 PST 2013 --  RT @wesrucker247: Larry Allen dipping and throwing up the Westside = AWESOMESAUCE.
Sun Feb 03 09:53:09 PST 2013 --  As far as halftime goes, spare me the Beyonce and just put on Waylon's greatest hits for 30 minutes and I'll be happy. pic.twitter.com/0QniTLiV
Wed Jan 16 14:29:52 PST 2013 --  I don't have the patience to be lectured about "common sense" gun control from ppl who think the gov't doesn't have a spending problem.
Tue Dec 18 15:54:16 PST 2012 --  Bama beats tebow again. Even in the NFL Tebow can't get away from Bama! #RollTide
Wed Nov 28 17:08:38 PST 2012 --  RT @DRUDGE_REPORT CUT WHAT? http://drudge.tw/V413sK  /MM: every American should be forced to read this...
Sat Nov 24 09:20:32 PST 2012 --  Ahh bourbon and bama football. #whatelseyouneed.
Wed Nov 21 18:05:12 PST 2012 --  1hr on doomsday Fox? Nothing else today? No peace treaty? Really.. #usuallymyguys
Sun Nov 18 19:14:04 PST 2012 --  http://www.youtube.com/watch?v=esgiE5T4eWM&feature=youtu.be … http://fb.me/L13ATj8X 
Mon Oct 22 18:21:03 PDT 2012 --  Obama shooting eye darts at Romney. Maybe thats where the WMD's were all along.
Sat Oct 06 20:45:22 PDT 2012 --  If shirtless men in the stands today were lotto numbers I would retire Monday. #reallyguys
Sat Sep 08 19:28:45 PDT 2012 --  Enough with political reality. Let's talk football. Who the hell can beat Alabama?
Fri Aug 31 16:28:57 PDT 2012 --  Cmon herbstreit that suit is rough. #whosdressingherbie
Mon Aug 20 08:09:16 PDT 2012 --  It's 2012. Welcome. RT ‏ @AP_Sports Augusta National admitting its first female members: Condoleezza Rice, Darla Moore.
Sat Aug 04 18:10:23 PDT 2012 --  Happy Birthday Mr. President http://instagr.am/p/N7W2lAL2h5/ 
Sat Jul 21 18:37:35 PDT 2012 --  Stiff drink and Bama's on ESPNU whipping LSU again... Nice #Bama'sabeast
Sat May 26 16:02:02 PDT 2012 --  Life is good when you're 8 beers deep and the wife says, "It's about time you had a dirty martini". Can't argue that logic. #GoodWoman
Fri Feb 17 18:47:45 PST 2012 --  Think I'll smoke a Cuban and enjoy some friend recommended four roses #smooth
Sun Feb 12 18:16:07 PST 2012 --  A bad sign when you can't hear any of the rock songs up for a Grammy on any station in Tuscaloosa. #popstationsoverrated
Sun Feb 05 06:43:46 PST 2012 --  @TheLanceTaylor any picks on the SB? You were on fire yesterday. #flamingarrowthroughyourmanhood
Mon Jan 09 13:15:38 PST 2012 --  @JoeNBC Roll Tide!. Let's get 14 tonight. Any chance for a RT from one alumni to another.
Sat Dec 24 19:01:08 PST 2011 --  My Xmas wish to all! #theholidays pic.twitter.com/mnabfIVY
Sat Dec 03 21:34:54 PST 2011 --  @ChrisVernonShow who would vinnie Verno like to see? I'm thinking a baby game if LSU/OkState.
Sat Dec 03 21:21:59 PST 2011 --  30 point favorites!!! #getacluegundy
Sat Dec 03 20:41:24 PST 2011 --  Gundy 31 in 2 OTs against Iowa state, now you can score 36 against LSU. #im40imaman
Sat Nov 19 06:06:18 PST 2011 --  The pretty spoiled girl is always prom queen, sorry ok state. Roll Tide!!
Thu Jun 09 20:12:28 PDT 2011 --  @UACoachMurphy sad to see you go coach. Really enjoyed seeing you at the bank. Good luck and RTR!!
Sat Apr 30 19:51:24 PDT 2011 --  Maddox: Anyone able to clear debris can report to Tuscaloosa Department of Transportation before 7am tomorrow to help.
Wed Jan 06 04:20:10 PST 2010 --  You know when you miss power the most: 4am and it's 15 degrees outside. Let's go alabama power!
Fri Jul 31 22:42:55 PDT 2009 --  Wro
Fri Jul 31 22:41:58 PDT 2009 --  I wonder who had more beers yesterday . Oba
Fri Jul 31 20:44:48 PDT 2009 --  Hanging out at gnemis. Good boos good friends. Hard to beat
Tue Jul 21 18:50:04 PDT 2009 --  the tropics went down tonight by 15. No cinderella run in the tournament. no more bball until football is over. 44 days and counting
Mon Jul 13 18:48:27 PDT 2009 --  made my debut as a flint tropic tonight. Tough game to come back and play, the freaking lakers!
Sat Jul 11 21:50:56 PDT 2009 --  well i was wrong. brock is crazy big and strong. brock is the new tito in the UFC
Sat Jul 11 21:11:17 PDT 2009 --  look for mir to win this by submission.
Sat Jul 11 20:16:39 PDT 2009 --  alves = no chance. St-Pierre wins
Sat Jul 11 20:12:05 PDT 2009 --  Dan is the man! He just knocked Bisping back to England
