Fri Aug 28 18:35:56 PDT 2015 --  @Real_Liam_Payne happy birthday my beautiful dad
Fri Aug 28 12:37:07 PDT 2015 --  Thinking about my little friend Chloe tonight who is poorly ;( @ChloeBalloqui #SaveChloe #WeCanBeatThis pic.twitter.com/jJpbeINnXf
Thu Aug 27 18:13:14 PDT 2015 --  Think a little less, live a little more.
Fri Aug 28 07:59:35 PDT 2015 --  I smell cereal.
Fri Aug 28 07:26:11 PDT 2015 --  How can I annotate a book when I don't even understand it?
Thu Aug 27 17:56:58 PDT 2015 --  Don't avoid cameras during your years in school or on vacation/holiday. You might not want to now, but you'll appreciate it later.
Thu Aug 27 16:35:48 PDT 2015 --  Don't take anything or anyone for granted.
Wed Aug 26 15:49:39 PDT 2015 --  niall's kids https://vine.co/v/eprBaQW6hq1 
Thu Aug 27 09:16:38 PDT 2015 --  Getting to go to a fair in October as a field trip is so exciting!! Love law with everything in me!
Thu Aug 27 08:16:07 PDT 2015 --  A woman appreciates a man who can make her laugh. –Genie (Aladdin)
Thu Aug 27 08:16:23 PDT 2015 --  tbh my music taste is so hard to describe like it’s literally everything except for the songs i dont like
Thu Aug 27 07:44:22 PDT 2015 --  What a way to ruin a great day
Thu Aug 27 06:38:37 PDT 2015 --  Is it bad that the highlight of my day was sitting in the back of a police car? best day in law class
Thu Aug 27 04:40:03 PDT 2015 --  re-reading old messages puts you in the best mood for 10 seconds then slaps you back to reality and you realize how much changed
Thu Aug 27 04:30:25 PDT 2015 --  rt if ur a sassy ass bitch
Wed Aug 26 12:22:33 PDT 2015 --  Don't dwell on your mistakes. Learn from them.
Wed Aug 26 10:26:10 PDT 2015 --  @townsend_ht nothing but net
Wed Aug 26 10:26:53 PDT 2015 --  "Nothing but net"- @kmc_0 as she throws her empty raisin box into the trash can
Wed Aug 26 09:16:40 PDT 2015 --  Literally the only class I'm doing well and not stressing out in is chemistry.
Wed Aug 26 06:30:36 PDT 2015 --  sometimes all you can do is lay in bed, and hope to fall asleep before you fall apart.
Tue Aug 25 11:32:35 PDT 2015 --  Now patience lads and lassies. We're really going to try and hit as many places as possible. Keep spreading the Gospel, it truly helps!
Tue Aug 25 11:20:51 PDT 2015 --  Tour planning. So many cities, who knew the world was so big???
Tue Aug 25 10:00:02 PDT 2015 --  When @brooke_odee turns off your notifications
Tue Aug 25 09:58:32 PDT 2015 --  I got a 100 on a chemistry quiz and I got a sticker that says 2 cool... Yeah 2 cool for chemistry I hate myself
Tue Aug 25 09:26:54 PDT 2015 --  Good morning sunshines!
Tue Aug 25 08:28:20 PDT 2015 --  So excited that @benhiggi is going to be the next Bachelor!!! Absolutely love him!
Tue Aug 25 08:24:11 PDT 2015 --  You never truly appreciate something until it's gone.
Tue Aug 25 08:23:40 PDT 2015 --  My photographer tried to get me to say fuzzy bunnies before he took my pic... Um just take my picture so I can leave
Mon Aug 24 23:34:49 PDT 2015 --  Thank you so much for everything you have done for us it's been the most amazing five years and there's so much more to come
Mon Aug 24 18:55:04 PDT 2015 --  I swear @onedirection makes me happy even when I've had an awful day
Mon Aug 24 18:42:48 PDT 2015 --  I feel like Midnight Memories didn't get enough credit. That was definitely my favorite album
