Thu Aug 27 12:47:25 PDT 2015 --  "Separation of church and state" is so funny because there literally isn't
Fri Aug 28 19:30:38 PDT 2015 --  Scott Walker Watches Candidates Emerge Shaken From GOP’s Female Experience Simulator http://onion.com/1EnxeRl  pic.twitter.com/twnUSykasQ
Fri Aug 28 19:00:20 PDT 2015 --  Next season of American Horror Story is taking it way too far tbh pic.twitter.com/UK1HNtSVse
Mon Aug 24 12:53:44 PDT 2015 --  lmao pic.twitter.com/ro5FhEGdAf
Fri Aug 28 16:40:29 PDT 2015 --  I'm not sure what lets me down more; men or phone chargers
Fri Aug 28 16:51:22 PDT 2015 --  I received so much medical care for free today this is obamas socialist America
Fri Aug 28 14:20:37 PDT 2015 --  A racist, a sexist, a homophobe, and a bigot walk into a bar... pic.twitter.com/lSQ1tpFELD
Sat Aug 22 15:25:38 PDT 2015 --  What about the 400 thousand children who are already in foster care in the U.S? https://twitter.com/ebrownback/status/635159744546603008 …
Sat Nov 29 19:00:58 PST 2014 --  is this a jok e pic.twitter.com/M0DSzHtqJb
Fri Aug 28 14:06:23 PDT 2015 --  Sarah Palin is interviewing Donald Trump tonight, if you're wondering how the end of the world starts.
Fri Aug 28 13:21:52 PDT 2015 --  Here is a video of George Bush doing a weird thing https://vine.co/v/eIWXZdDuZwz 
Fri Aug 28 13:49:15 PDT 2015 --  It's one of them, for sure. I've definitely met my soul mate at age 16. Just not sure which boy out of the two I've spoken to in my life.
Thu Aug 27 14:48:25 PDT 2015 --  Trump and what he stands for https://vine.co/v/ejIEPezvKM2 
Fri Aug 28 10:55:45 PDT 2015 --  The Purge 3 looks horrifying! pic.twitter.com/bQeCSqVKEf
Fri Aug 28 10:34:52 PDT 2015 --  Ladies: Be the doctor your parents wanted you to marry.
Fri Aug 28 10:32:42 PDT 2015 --  I DIDN'T ASK FOR THE BABY CAVE LIFE K
Fri Aug 28 10:31:47 PDT 2015 --  UTERUS WE ARE ON THE SAME TEAM STOP BEING SASSY I DON'T NEED THIS
Fri Aug 28 09:37:39 PDT 2015 --  It only ever seems like there has been one mass shooting in America. The last one.
Fri Aug 28 09:38:18 PDT 2015 --  You all want Trump to say "Deez Nuts" but the only thing I want to hear from him is "I'm withdrawing myself from the presidential race"
Thu Aug 20 09:51:34 PDT 2015 --  FOUR STAGES OF LOSING MY KEYS 1. Can't find keys 2. Accuse everyone around me of taking my keys 3. Find keys 4. Apologize for key witchhunt
Wed Aug 19 18:50:20 PDT 2015 --  What's the greatest decade? 80 YEAR OLD: The 40s. 50 YEAR OLD: The 70s. 30 YEAR OLD: The 90s. ME: Wrong. Mankind's always been terrible.
Tue Aug 11 18:50:34 PDT 2015 --  when ur a straight white boy who doesn't know that breasts are meant for babies pic.twitter.com/rs2KbT4581
Wed Aug 19 11:06:45 PDT 2015 --  Me going back to college pic.twitter.com/FfNfSFo5st
Wed Aug 19 15:51:23 PDT 2015 --  Surgeons are human, we care and the death of pts hurt. The moment death stops hurting, we need to reflect upon our practice and humanity
Tue Aug 18 18:43:52 PDT 2015 --  MAYBE ITS BC MILLENIALS CANNOT AFFORD CHILDREN BECAUSE WE HAVE SO MUCH STUDENT LOANS, CHILL https://twitter.com/WSJ/status/633808367413293057 …
Tue Aug 18 14:35:47 PDT 2015 --  White House hires first openly transgender full-time member of staff http://bbc.in/1TSmCvv  pic.twitter.com/eSvJCYglEm
Wed Jun 04 10:48:22 PDT 2014 --  a ted talk of me apologizing to each member of the audience
Mon Aug 17 17:38:50 PDT 2015 --  Proof I have not corrupted Nick: Me: have you ever wanted to sleep with someone else? Nick [confused]: ...like next to them...???
Mon Aug 17 16:05:55 PDT 2015 --  Netflix and avoiding reality?
Mon Aug 17 17:03:22 PDT 2015 --  They did it! First female soldiers to graduate Army #RangerSchool on Friday: http://wapo.st/1hIQb6R  #Inspired
Mon Aug 17 08:27:55 PDT 2015 --  "PPP has just come out with a poll putting me #1 with Hispanics. Told you so." @realDonaldTrump #TrumpYourCat >^.~.^< pic.twitter.com/FtLUqjlkZb
Mon Aug 17 10:42:41 PDT 2015 --  Abruptio placentae sounds more like a Harry Potter spell and not a serious medical issue
Sun Aug 16 17:20:22 PDT 2015 --  *shopping for an engagement ring* Jeweler: Do you know what size you're looking for? Me: It just needs to fit around a burrito.
Mon Aug 17 05:20:02 PDT 2015 --  Me trying to get financial aid https://twitter.com/WORIDSTARHIPHOP/status/633116530629193728 …
Sun Aug 16 20:18:40 PDT 2015 --  Republicans pic.twitter.com/hsVU5u1OdD
Fri Jul 17 18:21:40 PDT 2015 --  ME: well then the worst part is if you fuck up your credit, your life is basically ruined. KINDERGARTENER: we don't like this story anymore
Sun Aug 16 12:31:54 PDT 2015 --  Because 1.27million is too big a number for just one gender #WomenANDHealth #ILookLikeASurgeon http://www.bbc.com/news/blogs/trending … pic.twitter.com/heot3Q1ItU
Sun Aug 16 14:21:15 PDT 2015 --  welcome to heaven. as you can see it's pretty empty *God awkwardly scratches back of head* been thinking I shouldn't have made pork a sin
Sat Aug 15 19:32:37 PDT 2015 --  when u get that 2am text pic.twitter.com/fjYcuEFsy1
Sat Aug 15 19:20:11 PDT 2015 --  Nick refuses to go to the Washington county fair with me and I am determined to break his bourgeosie spirit
Wed Aug 12 16:56:02 PDT 2015 --  We are not going back to the days when women could not have full access to birth control. pic.twitter.com/ffxsNWOjTf
Sat Jul 25 15:34:06 PDT 2015 --  A-B-C-D-E-F-G H-I-J-K-phosphorous Q-R-S-T-U-V W-X-Y-and-Z "um why did u say phosphorous" becuase its the… EL-EM-ENT-AL P *classroom explo
Wed May 27 12:57:02 PDT 2015 --  *girlfriend pulled from drowning* "Quick! Give her mouth-to-mouth!" Wait woah I haven't even had my 1st kiss yet "SHE'S DYING!" I'm nervous
Fri Aug 14 07:38:27 PDT 2015 --  other job applicant: good luck me: im gonna tell the boss you hate his hair other job applicant: what me loudly: I actually like his haircut
Thu Aug 13 09:34:22 PDT 2015 --  NOT ME in heels. @HopkinsMedicine trauma surgeon Catherine Velopulos. #ILookLikeASurgeon @LoggheMD @surgeoninheels pic.twitter.com/CJFoMoePN7
Tue Jun 09 18:10:40 PDT 2015 --  New AXE body spray scent names: -nice biceps -no homo -your dad's BMW dealership -racist frat party -sports -bro -Mark Wahlberg
Fri Aug 14 15:17:02 PDT 2015 --  I don’t need fimem breastfeeding shouldn’t be done in public! A baby? Being given sustenance? So it can survive and not die?? So disgusting
Fri Aug 14 15:50:22 PDT 2015 --  How can u be surprised that HIV/AIDS has flourished in the face of the pro-abstinence movement? Teens wil have sex with or w/out ur blessing
Fri Aug 14 12:31:34 PDT 2015 --  I weigh about 150 pounds or, in Johnny Depp scarves, 473.
Thu Aug 13 22:11:20 PDT 2015 --  I thought deciding where to eat w my boyfriend was hard but it does not compare to agreeing on something to watch on Netflix
Wed Aug 12 08:44:54 PDT 2015 --  RT @pmchoi, general surgery resident @WUSTLmed: On call, with a visit from my son. @WomenSurgeons #ILookLikeASurgeon pic.twitter.com/f1JHCIqdIr
Fri Aug 14 11:53:12 PDT 2015 --  https://vine.co/v/O203HbDmvJt 
Fri Aug 14 13:41:01 PDT 2015 --  U.S. Border Collie Rounds Up 11 Million Illegal Immigrants pic.twitter.com/7JArATbBTz
Thu Aug 13 19:25:09 PDT 2015 --  pic.twitter.com/ULnyJPXFAH
Fri Aug 14 14:38:02 PDT 2015 --  Every single year thousands of our fellow Americans die because they don’t get the preventive care they need when they should.
Tue Jun 02 06:54:58 PDT 2015 --  [undercover at a music festival] hold on could you say that again into my single feathered dreadlock?
Thu Aug 13 12:42:52 PDT 2015 --  when you got prom @ 7 but a KKK meeting at 8 pic.twitter.com/UhOZ90PrgZ
Wed Aug 12 16:29:48 PDT 2015 --  Tonightly: we're talking Bernie Sanders. pic.twitter.com/tiebL6Etew
Tue Aug 11 21:03:47 PDT 2015 --  People forget the little things Obama has to do every day, like briefings, photos, or helping Joe Biden get his arms out of Pringles cans.
Sat Jun 27 16:18:40 PDT 2015 --  What do you call the yellow ones? -Yellow labs. And the black ones? -Black labs. So the brown ones are- -No we named those after dog poison.
