Wed Aug 26 04:17:34 PDT 2015 --  My very own website! http://xsantos0409.wix.com/berriescremecouture … #MyProWebsite #ItsThatEasy
Wed Aug 26 02:29:51 PDT 2015 --  Who wants to have an authentic perfume for less? Check out Berries & Creme Couture for more items. pic.twitter.com/jQqKnYi75z
Wed Aug 26 02:21:02 PDT 2015 --  All perfumes are 100% authentic These are TESTER perfumes Contact 0905-360-7544 for… https://instagram.com/p/612K_tDX0d/ 
Mon Aug 24 08:05:48 PDT 2015 --  Korean Batwing Chiffon Blouse SALE until August 31 only! 150.00 HOW TO ORDER Choose the item you… https://instagram.com/p/6xUCeZjX7t/ 
Sun Aug 23 19:39:39 PDT 2015 --  Bohemian Crop Top for only 220.00 Grab now at Berries & Creme Couture HOW TO ORDER Choose the item… https://instagram.com/p/6v-peYDX-E/ 
Sat Aug 22 05:43:53 PDT 2015 --  We are still on SALE! We only have few items on-hand. So grab one now! https://goo.gl/EQnj7U  pic.twitter.com/L57hpRiQbV
Wed Aug 19 22:13:48 PDT 2015 --  So excited for my website! Still under construction but will soon be opened to the public. Yay! http://xsantos0409.wix.com/berriescremecouture …
Mon Aug 17 08:06:02 PDT 2015 --  New items on SALE!!! Until August 31 only. Hurry! Grab one now! :) https://www.facebook.com/media/set/?set=a.392586174271579.1073741832.391522271044636&type=3 …
Sun Aug 16 14:41:38 PDT 2015 --  Good morning Loves! Time to do some shopping! Watch out for an on hand items here at Berries & Creme Couture.
Sun Aug 16 03:17:13 PDT 2015 --  pic.twitter.com/jhI2TsmSET
Sun Aug 16 03:12:13 PDT 2015 --  pic.twitter.com/bfhTm8YfI8
Sun Aug 16 03:10:42 PDT 2015 --  pic.twitter.com/9EGJQdb9lG
Sun Aug 16 03:08:18 PDT 2015 --  pic.twitter.com/4rpDXaXedh
Sun Aug 16 03:07:05 PDT 2015 --  pic.twitter.com/ORPNzDkiHp
Sun Aug 16 03:04:43 PDT 2015 --  More and new items here -> https://www.facebook.com/media/set/?set=a.392250634305133.1073741831.391522271044636&type=3 … pic.twitter.com/ERdlNdIK7a
Sat Aug 15 20:10:32 PDT 2015 --  Berries & Creme Couture... More designs here -> https://www.facebook.com/media/set/?set=a.392221744308022.1073741830.391522271044636&type=3 … pic.twitter.com/tgoLOBDKc7
Sat Aug 15 08:09:05 PDT 2015 --  Ethnic Style Leather Watch available here at Berries & Creme Couture for only P250. Grab one now! pic.twitter.com/5Wo162Vlyw
Sat Aug 15 05:35:32 PDT 2015 --  Animal Leather Watches for only P250. More designs here -> Berries & Creme Couture! https://www.facebook.com/media/set/?set=a.392007054329491.1073741829.391522271044636&type=3 … pic.twitter.com/WOdNRLTPoT
Fri Aug 14 21:58:04 PDT 2015 --  Cute leather watches for only P250. Check my FB page for more designs! https://www.facebook.com/pages/Berries-Creme-Couture/391522271044636 … pic.twitter.com/w8LaO8T4gP
