Fri Aug 14 12:36:41 PDT 2015 --  Я наиграл в это 400 часов. Спасите меня please. pic.twitter.com/Pr96JzVbhE
Fri Aug 14 07:38:58 PDT 2015 --  Ебать, БМВ отдали девушке. #igm_умри
Wed Aug 12 23:34:49 PDT 2015 --  Самый честный паблик in the world проводит конкурс на BMW :D Опять эти хуесосы ВК положат, заебали. Смерть VK сегодня в 21:00.
Tue Aug 11 05:48:50 PDT 2015 --  чот переборщил pic.twitter.com/CJLyPdcFH5
Sun Aug 09 11:21:03 PDT 2015 --  лолито pic.twitter.com/F6YGOYT3Ce
Sun Aug 09 10:03:10 PDT 2015 --  пиписька
Sun Aug 09 08:11:00 PDT 2015 --  Наконец-то в Windows 10 Mobile добавят возможность инсталлить андроидовские приложения на виндулс)0))0 Уже тестили ребята с #Windows10
Sun Aug 09 08:07:39 PDT 2015 --  Даже чтобы написать побольше,приходится убирать пробел между запятыми, некрасиво смотрится,ну зато ЙА ДАПИСАЛ ТВИТ В ТВИТОР. ЗАЗАЗАЗАЗАЗАЗА.
Sun Aug 09 08:05:54 PDT 2015 --  Хуле в твиттере можно писать только до 140 символов,мало же.Я даже не могу написать огромное сообщение,где я что-либо засираю,НИСПРАВИДЛИВА.
Sun Aug 09 08:01:39 PDT 2015 --  Еще довольно забагованная приблуда, пока что не ставьте :D pic.twitter.com/TrqDcqy5LE
Sun Aug 09 07:59:16 PDT 2015 --  Лол так лол pic.twitter.com/zEhhKht36v
Sun Aug 09 06:28:36 PDT 2015 --  Разрабаов этого говна (Warface) абсолютно не волнует то, что в их творение играют в основном безрукие люди,хотя,это не люди даже,школьники..
Sun Aug 09 06:24:06 PDT 2015 --  Да, у меня на комуктере был Warface. Удалил ебучий Warface и игры Mail.ru в целом, прямо так этим пидорасам и написал pic.twitter.com/rJ2qJA35mj
Sun Aug 09 05:33:51 PDT 2015 --  Ухади
Sun Aug 09 04:04:00 PDT 2015 --  Запилил себе крутое оформление. Вот полная картинка. pic.twitter.com/whQdiTwrvV
