Tue Aug 18 16:03:49 PDT 2015 --  BYE 🏻
Wed Aug 05 11:32:57 PDT 2015 --  Chick-fil-A fries are really just a transportation device for the Chick-fil-A sauce.
Tue Aug 18 14:07:32 PDT 2015 --  Supposed to be packing my life for the next 18 months into 2 suitcases because I leave in 12 hours... BUT I think I'll nap instead
Mon Aug 17 22:40:03 PDT 2015 --  Oh pic.twitter.com/MGjPnwOl7U
Mon Aug 17 19:14:07 PDT 2015 --  Every morning I wake up and ask God why couldn't I just have been a dog.
Mon Aug 17 17:02:57 PDT 2015 --  Thank you @taylorswift13 (man cave material) pic.twitter.com/1fFYPW6aIS
Mon Aug 17 15:54:11 PDT 2015 --  Lifeguards doing the quan pic.twitter.com/D96z1VSAul
Mon Aug 17 12:00:53 PDT 2015 --  Kelsey had to go........ pic.twitter.com/YWyA2urTEO
Mon Aug 17 11:31:39 PDT 2015 --  Sad because you don't live just around the bend in the road anymore, but I guess this'll do pic.twitter.com/9nJyNyyvy9
Mon Aug 17 07:48:38 PDT 2015 --  It gets funnier every time I watch it https://vine.co/v/h5OUaewQ7xt 
Sat Aug 15 09:06:42 PDT 2015 --  I'm so heartbroken. EVERYONE'S LEAVING
Fri Aug 14 10:50:07 PDT 2015 --  me when everyone else got tan over the summer pic.twitter.com/5845DXSJ5Q
Thu Aug 13 21:47:23 PDT 2015 --  hoping my future husband will have a sleeve but will still be Mormon.
Thu Aug 13 13:11:25 PDT 2015 --  When you think about your ex (Vine by @theofficevine) https://vine.co/v/OmBOe7DxPKg 
Thu Aug 13 12:46:31 PDT 2015 --  s/o 2 @ksofly1 will def come in handy, much luuuvvv always mrs. flynn pic.twitter.com/inT5qGNPh3
Thu Aug 13 10:03:59 PDT 2015 --  So lucky I got to lake it with the faaammmm before I'm off to brasil pic.twitter.com/78gRsqTb8f
Wed Aug 12 16:23:21 PDT 2015 --  No matter what you say or what you do, when I'm alone I'd rather be with yoouuu
Wed Aug 12 16:04:23 PDT 2015 --  She killed the Quan pic.twitter.com/60Ysy1wVjC
Mon Aug 10 15:11:33 PDT 2015 --  Happy #WorldLionDay to our magnificent pair, Ingozi & Cabara! #hearmeroar pic.twitter.com/89DsqpbjwV
Mon Aug 10 07:01:11 PDT 2015 --  Honestly the amount of large fish I've seen humpback out of this lake has got me f-ed up
Mon Apr 06 10:12:06 PDT 2015 --  Which church everyone should join based on their #astrology pic.twitter.com/9HzUmxiDYF
Sat Aug 08 00:13:46 PDT 2015 --  just remembered in 7th grade when introducing myself in class I would say fantasy factory was my fav show cuz I wanted sk8r boys to like me
Mon Aug 03 23:08:01 PDT 2015 --  I love surprises
Mon Aug 03 19:45:05 PDT 2015 --  I'll be in the kitchen cooking tacos with my baby.
