Wed Aug 26 09:09:15 PDT 2015 --  The shooter recorded himself killing them like its call of duty pic.twitter.com/lno5SBnTnH
Wed Aug 26 06:12:24 PDT 2015 --  I'm a reporter. My job is to ask questions. What's "totally out of line" is to eject a reporter from a press conference for asking questions
Wed Aug 26 20:07:23 PDT 2015 --  Donald Trump and his squad look like The Purge 3 http://twitter.com/KardashianReact/status/636720265204887552/photo/1pic.twitter.com/9cpyc3oWPm 
Tue Aug 25 20:01:04 PDT 2015 --  Just gonna leave this here real quick. pic.twitter.com/w9WoUYKmEW
Mon Aug 24 10:36:14 PDT 2015 --  Bruh I'm Dead pic.twitter.com/vbfko1SmTY
Thu Aug 20 09:00:12 PDT 2015 --  Two right answers. And yet the struggle is real. #GalaxyNote5 #GalaxyS6edgePlus pic.twitter.com/E8nUafoqhn
Sat Feb 14 16:51:53 PST 2015 --  I J U S T W A N T T O T H A N K G O D F O R E V E R Y T H I N G . RETWEET IF YOU DO.
Sun Sep 21 18:30:46 PDT 2014 --  this is by far the best "drink responsibly" commercial ever https://amp.twimg.com/v/4af8ec8a-9ed5-408a-ac68-4569fb901b95 …
Sun Aug 16 13:10:21 PDT 2015 --  When bae has to leave and ur all like http://twitter.com/BabyAnimalPics/status/632580262535282688/video/1 …
Fri Aug 14 07:32:24 PDT 2015 --  RT with in 5 seconds for good LUCK! pic.twitter.com/ZeRalvxHKR
Thu Aug 13 11:17:03 PDT 2015 --  Get ready, @TMobile. Order the #GalaxyS6edgePlus and #GalaxyNote5 today. #TheNextBigThing http://smsng.us/1Nt4jec  pic.twitter.com/BAGCRutVAv
Thu Aug 13 12:04:58 PDT 2015 --  Order #TheNextBigThing at @ATT, @Sprint, @TMobile, @USCellular + @VerizonWireless. http://smsng.us/preorder  pic.twitter.com/K9Lg2etPqQ
Thu Aug 13 08:23:26 PDT 2015 --  Meet the #GalaxyS6edgePlus and #GalaxyNote5. #TheNextBigThing is here. pic.twitter.com/I4V9FD3WOg
Wed Aug 12 21:00:01 PDT 2015 --  #TheNextBigThing is almost here. http://smsng.us/unpacked 
Tue Aug 04 22:58:36 PDT 2015 --  Retweet if you love your mom pic.twitter.com/9aICK6Some
Tue Jul 28 15:24:46 PDT 2015 --  ... No sé quien me cae más GORDO... si el tal DONALD TRUMP ESE... o el tal CRISTIAN MARTINOLLI ESE... creo que igual...: me siento molesto
Tue Jul 28 16:59:46 PDT 2015 --  Petición formal para Cristian Martinolli: "¡Podrías criticar a Enrique Peña Nieto al aire a ver si te tira golpes y lo corren!". Gracias
Sun Jul 26 20:08:24 PDT 2015 --  Golden Cup Champions 2015!! pic.twitter.com/eoUqKUNu1z
Sun Jul 26 13:34:59 PDT 2015 --  Pray for Texas .....ain't nothing wrong it's just hot as fuck outside
Fri Jul 24 22:07:36 PDT 2015 --  This lil girl made the best dubsmash I've ever seen http://twitter.com/Yvonne_lowk/status/621109926140612612/video/1 …
Fri Jul 24 22:04:41 PDT 2015 --  THIS DUDE A SAVAGE BRUH pic.twitter.com/4Iz9hIRR0S
Thu Jul 23 20:53:11 PDT 2015 --  Only Spanish people will understand this http://vine.co/v/OXADtaWuYVj 
Thu Jul 23 09:36:55 PDT 2015 --  ¡Llegaron algunos de los #Memes del partido entre #Mexico y #Panama! Comparte los tuyos... #CopaOro pic.twitter.com/kpJUENGkUZ
Wed Jul 22 21:15:47 PDT 2015 --  Sinceridad de Andrés Guardado. #RoboAPanamá. pic.twitter.com/jnsuUYK4Lc
Wed Jul 22 20:56:00 PDT 2015 --  I hope yah fire the commenters @UnivisionSports never want to hear that type of shit again.
Wed Jul 22 20:41:31 PDT 2015 --  I'm praying El Chapo finds his ass boiiii https://twitter.com/realdonaldtrump/status/623863040254021632 …
Wed Jul 22 20:32:08 PDT 2015 --  Penal!
Sun Jun 14 12:08:05 PDT 2015 --  Ya en el aire @RepDeportiva, con invitado de lujo y un nuevo concurso que te llevará a Dallas. En breve más detalles. pic.twitter.com/3QeFmDf72Q
Sun Jun 14 12:20:52 PDT 2015 --  122 ballones #RepDeportiva #RepGana
Wed Apr 15 05:00:01 PDT 2015 --  Slim, seamless, with a blended design of metal and glass. Get it in three days! http://spr.ly/GalaxyS6_LaunchOffers … pic.twitter.com/xGmqNJZELA
Fri Mar 13 12:20:00 PDT 2015 --  Living on the #GalaxyS6edge. #Fridaythe13th pic.twitter.com/Fp80I6liFF
Wed Mar 04 22:46:29 PST 2015 --  I love texas so much greatest state in my opinion
Sun Jan 04 16:48:31 PST 2015 --  How Bout Them Cowboys!!!
Mon Jul 21 05:07:48 PDT 2014 --  RETWEET IN 10 SECONDS OR THIS WILL HAPPEN TO YOU SOON #twitterpurge http://twitter.com/S4nctity/status/490957590864859136/photo/1pic.twitter.com/CPVskM5bvB 
Thu Oct 02 07:13:04 PDT 2014 --  Rt in 10 secs or less or I'm findin ya fam pic.twitter.com/Ez8vyi3gAK
Thu May 22 21:00:06 PDT 2014 --  It's all about the booty https://vine.co/v/MXeEFBW6eIn 
