Fri Aug 28 23:21:38 PDT 2015 --  Someone DM me. Can't sleep
Fri Aug 28 22:20:50 PDT 2015 --  Don't want to work tomorrow :( I want to sleep in:(
Wed Aug 26 19:52:50 PDT 2015 --  Friday October 2, 2015 @Candelas Nightclub. Dj NDS is live. Baile Sonidero 18+ To Enter pic.twitter.com/jt5Nv3eFuI
Tue Aug 25 21:54:16 PDT 2015 --  Who should win the presidency of the US ? Rt for tio Don Lupe Fav for Donald Trump pic.twitter.com/yGy9UWQXZf
Wed Aug 26 01:30:47 PDT 2015 --  https://amp.twimg.com/v/c1620f06-cb0f-40c3-8f39-db42bc47f123 …
Tue Aug 25 18:46:14 PDT 2015 --  Who would be the best president? RT for Gansitos Fav for Pinche pelos de elote pic.twitter.com/zp5ki78VFf
Tue Aug 25 17:58:57 PDT 2015 --  Same here, but later on I won't be able to sleep again https://twitter.com/KeephopeJay_/status/636340818752761856 …
Mon Aug 24 23:41:18 PDT 2015 --  Kinda wish I could go back to my first day of senior year and relive the whole experience
Mon Aug 24 22:50:36 PDT 2015 --  I knew taking that nap earlier today would not let me sleep later on
Mon Aug 24 22:49:45 PDT 2015 --  *Can't
Mon Aug 24 22:49:31 PDT 2015 --  Work in the AM and I can sleep again
Mon Aug 24 20:34:15 PDT 2015 --  senior year was lit.. but then again we did have the best class of all time
Mon Aug 24 13:54:23 PDT 2015 --  All #90skids remember these dogs pic.twitter.com/iL32h4vIy0
Mon Aug 24 09:26:24 PDT 2015 --  Won't be able to start college until next year or until 2nd semister. Depends on what happens these next few months.
Mon Aug 24 09:25:39 PDT 2015 --  Summer is technically over. So its back work, school, etc. Luckily I have the day off from work today.
Thu Aug 20 20:50:48 PDT 2015 --  "I'll buy the neighbors house if they complain about the noise" pic.twitter.com/ca39hMaUXK
Sun Aug 23 20:39:12 PDT 2015 --  Never forget where you came from. To the people who went to Morton "Once a mustang, always a mustang". #Mortonpride pic.twitter.com/uBniR4nMOy
Sun Aug 23 19:22:14 PDT 2015 --  You don't like soccer? pic.twitter.com/aiGFYA0heM
Sun Aug 23 17:27:20 PDT 2015 --  Today marks the 17 year anniversary for That 70s Show! pic.twitter.com/0YynGfBUVT
Sun Aug 23 16:37:48 PDT 2015 --  the original squad pic.twitter.com/Oxjk3XAYpu
Sat Aug 22 21:05:33 PDT 2015 --  Retweet if Jesus is your savior pic.twitter.com/ooTyjECk4A
Sat Aug 22 21:27:53 PDT 2015 --  Haven't been able to sleep early in like 2 months.
Fri Aug 21 19:43:16 PDT 2015 --  If you want to be successful in life then you have to make changes in your life.
Thu Aug 20 21:53:26 PDT 2015 --  Really need to get back into deejaying. Been missing out alot and most of my boys have been doing well. Need to catch up myself.
Thu Aug 20 04:59:23 PDT 2015 --  Time to go to work. I'm so sleepy.
Thu Aug 20 02:21:42 PDT 2015 --  I hate anxiety so much.
Wed Aug 19 19:20:59 PDT 2015 --  My biggest fear will forever be losing my mom ahi se me acaba el mundo.
Mon Aug 17 21:27:20 PDT 2015 --  I just wish that I could go back and change my mistakes for lacking off just because I got lazy to even do anything anymore.
Mon Aug 17 21:23:34 PDT 2015 --  I did all that for nothing, wasted my whole senior year for nothing, all that time, and all that money gone to waste for nothing
Mon Aug 17 21:22:13 PDT 2015 --  Late nights, extra work, staying after school, nightschool, etc.
Mon Aug 17 21:21:00 PDT 2015 --  I tryed my best during my senior year to be able to pull through
Mon Aug 17 21:20:19 PDT 2015 --  I know I could have done better and maybe just maybe I could have gotten a scholarship if I worked extra hard.
Mon Aug 17 21:19:22 PDT 2015 --  But I failed by not trying hard enough to be able to be good enough to even get accepted into a good college
Mon Aug 17 21:17:37 PDT 2015 --  I really wanted to go to college and pursue a career
Mon Aug 17 21:17:07 PDT 2015 --  All these tweets of people going to college actually make me sad
Mon Aug 17 19:29:10 PDT 2015 --  Every time a friendship of mine fades, I get sad because maybe I'm just not a good friend.
Mon Aug 17 17:56:15 PDT 2015 --  Haven't had a good talk with anyone in a long time
Wed Aug 05 15:27:44 PDT 2015 --  Don't say anything, just RT pic.twitter.com/lAToFSUEDP
