Sat Aug 29 10:00:04 PDT 2015 --  Ce moment triste quand tu reviens à ta vie ordinaire, après avoir vu un film génial.
Sat Aug 29 10:00:13 PDT 2015 --  Si votre ex vous envoie un SMS , c'est probablement parce qu'elle a essayé de vous remplacer, mais ça a échoué.
Sat Aug 29 10:00:19 PDT 2015 --  Certaines personnes ne pourront jamais comprendre ce qu’elles représentent vraiment pour nous.
Sat Aug 29 10:00:14 PDT 2015 --  «Il n'y a rien de plus trompeur qu'un sourire.» Desperate Housewives
Sat Aug 29 10:00:26 PDT 2015 --  Tu ne toucheras jamais le ciel si tu as peur de t'élever.
Sat Aug 29 06:56:20 PDT 2015 --  Avec l'entrainement que je vous prépare, vos pecs seront si massif que même dora pourra les explorer !
Fri Aug 28 10:23:01 PDT 2015 --  Scarlett Rose Leithold pic.twitter.com/QkGQwZJXmD
Fri Aug 28 04:00:17 PDT 2015 --  «Ça semble toujours impossible, jusqu'à ce qu'on le fasse.» - Nelson Mandela
Fri Aug 28 04:00:18 PDT 2015 --  Je ne te déteste pas. Je ne te détesterai jamais. Je fais juste semblant parce que c'est plus facile que d'avouer que je t'aime encore...
Fri Aug 28 04:00:19 PDT 2015 --  Je déteste m’éloigner des personnes avec qui j’avais l’habitude d’être si proche.
Fri Aug 28 04:00:20 PDT 2015 --  Si toi aussi t'es plus rassuré quand vous êtes deux dans la merde.
Fri Aug 28 04:00:23 PDT 2015 --  Dormir pour oublier de mauvaise chose, dormir pour se crée un monde plus beau que la réalité.
Tue Aug 25 03:00:25 PDT 2015 --  Je déteste quand une bonne chanson réveille en moi un mauvais souvenir.
Sun Aug 23 12:04:08 PDT 2015 --  "c est bientôt la rentr......" pic.twitter.com/cRyHD4PVsb
Mon Aug 24 08:37:37 PDT 2015 --  Les premiers qui t'aident à te relever sont toujours ceux qui sont déjà tombés. pic.twitter.com/eaNY8gbJiI
Mon Aug 24 09:00:17 PDT 2015 --  Ce moment gênant quand la personne avec qui tu discutes par SMS arrête de répondre et que tu crois que c'est à cause d'un truc que tu as dis
Mon Aug 24 09:00:21 PDT 2015 --  En primaire 2 mois de vacances pour moi c'était une éternité, maintenant ça passe aussi vite qu'un Vine.
Mon Aug 24 10:00:10 PDT 2015 --  Je me demande si tu souris à mes SMS comme moi je souris aux tiens.
Mon Aug 24 10:00:23 PDT 2015 --  C'est souvent 10 secondes après avoir rendu notre copie que l'on se rend compte de l'erreur commise durant l'examen de 4 heures.
Thu Aug 20 14:34:12 PDT 2015 --  I just want to travel the world pic.twitter.com/f5L8S4N5vK
Sat Aug 22 03:00:22 PDT 2015 --  J'aimerais tellement être dans ta tête pour savoir ce que tu penses de moi.
Sat Aug 22 14:34:37 PDT 2015 --  J'admire ces gens qui ont une grande confiance en eux alors que moi c'est absolument tout le contraire je doute de tout.
Sun Aug 23 12:00:19 PDT 2015 --  La musique qui est capable de changer ton humeur en 2 secondes. >>>>>>>
Sun Aug 23 12:00:22 PDT 2015 --  Ce sont parfois les souvenirs qui nous manquent, pas les personnes
Sun Aug 23 12:16:50 PDT 2015 --  On ignore celui qui tient à nous mais on tient à celui qui nous ignore. On aime celui qui nous blesse, et on blesse celui qui nous aime.
Sun Aug 23 12:21:09 PDT 2015 --  Ce n’est pas parce que les choses sont difficiles que nous n’osons pas, c’est parce que nous n’osons pas qu’elles sont difficiles. Sénèque
Sun Aug 23 11:43:13 PDT 2015 --  Il y a tellement de choses plus importantes dans la vie que l’argent mais il faut tellement d’argent pour les acquérir. Groucho Marx
Sun Aug 23 12:57:26 PDT 2015 --  pic.twitter.com/RYX31xwjZi
Sun Aug 23 09:30:22 PDT 2015 --  Plus je regarde ce monde qui m'entoure, plus je cherche les valeurs... Il n'y a aujourd'hui plus de valeurs, de respect...
Sat Aug 22 01:40:04 PDT 2015 --  Si tu abandonnes une fois, cela peut devenir une habitude. Alors dans le doute.. N'abandonne jamais. Michael Jordan
