Tue Aug 18 13:16:25 PDT 2015 --  Finally!!!!! Oh wait, no wayyy!! Januzaj???? Wtf is Rooney still doing on????
Fri Aug 14 23:24:59 PDT 2015 --  U fear me only because of the potential!
Sat Aug 15 00:00:45 PDT 2015 --  Anyone who has got @JordinSparks new album shld recommend the dopest track on it. I don't need d full album #RightHereRightNow
Fri Aug 14 23:48:56 PDT 2015 --  #LWKMD: When Ife Chiefs Decide To Choose Another Abobaku http://goo.gl/Qh5jFG  pic.twitter.com/P96Aq3g9bs
Fri Aug 14 23:41:54 PDT 2015 --  Some pple ehn. Skiibii is not dead. To those of u who took his rumoured death to famz d guy. God get ur Pin.
Fri Aug 14 13:14:51 PDT 2015 --  Shaw looks assured, Smalling has to be a revelation so far but Mephis looks like shit atm.!!!
Fri Aug 14 12:20:18 PDT 2015 --  That pass from @juanmata8 though. Top class! #MUFC
Tue Aug 04 11:48:59 PDT 2015 --  U can't police me around, get off Areola!!!??? LMAO. I thought I'd live to see d day @JanelleMonae wld say something like this. #YOGA
Tue Aug 04 10:51:12 PDT 2015 --  If she listens to the Weeknd, she either smokes, pops pills, drink or all 3. She loyal n sensitive, so she's been hurt. A weird, kool loner.
Fri Jul 31 06:26:31 PDT 2015 --  If weren't born with a silver spoon, its bout time you go get yourself one. #DiaryOfTheAnomaly
Wed Jul 29 10:24:30 PDT 2015 --  It's not the truth that sets you free, it is your KNOWLEDGE OF THE TRUTH! #FreedNotFree #KnowTheTruth @PastorDanAddo
Wed Jul 29 06:12:02 PDT 2015 --  By probing beyond appearances, you will often find people's weakness in the opposite of the qualities they reveal to you.
Sun Jul 05 16:19:08 PDT 2015 --  You're just babbling ignorance .. 🏿 1peter 1-16 since it is written, “You shall be holy, for I am holy.” https://twitter.com/3ambarbie/status/617825346092601344 …
Thu May 28 10:09:08 PDT 2015 --  Big Shoutout to everyone that kept cheering me on at the #Etisalat #Cliqfest today. I'm overwhelmed. The Music Hustle Just Got Real.
Thu May 28 09:56:17 PDT 2015 --  Felt great sharing d same stage with @iceprincezamani @youngskales @lilkeshofficial today at #Etisalat #CliqfestUniport. Turn down 4 Kini?
Thu May 28 06:39:23 PDT 2015 --  @youngskales !! Killing it in Uniport!!! U too much jare, Uniport stand Up!!! Fresh nigga repping
Thu May 28 07:18:46 PDT 2015 --  Uniport turn up!!!!! Thank you for enjoying the #manoftheyear experience... #easycliquefest… https://instagram.com/p/3OotLxMTk_/ 
Thu May 28 06:20:08 PDT 2015 --  Uniport bout to be Lit!!!!!!! Baddest Students
Mon Feb 02 15:03:14 PST 2015 --  Never laugh at anyone's dreams. People laughed at Henry Ford and Walt Disney. pic.twitter.com/ahXmVCD6bX
Mon Feb 02 11:22:28 PST 2015 --  God only gives three answers to prayer . 'Yes!' . 'Not yet.' . 'I have something better in mind.
Mon Feb 02 11:27:10 PST 2015 --  Maybe @wilfriedzaha isn't destined to play for a big team. Finally a Crystal Palace Player. #mufc #CPFC
Sun Feb 01 22:41:07 PST 2015 --  Bishop Oyedepo Never Asked God To Open ‘Hell Gate’ -- Winners Chapel http://dlvr.it/8LsgnJ  pic.twitter.com/Ll6VvKzSbN
Sun Feb 01 07:05:05 PST 2015 --  Suicide Bomber Blows Himself Up Inside The Residence Of A PDP Politician In Yobe State, 6… http://dlvr.it/8LNh4N  pic.twitter.com/vuWghHqaRF
Sun Feb 01 06:34:33 PST 2015 --  INEC Extends Deadline For Collection Of PVC To Sunday February 8 http://dlvr.it/8LMrs2 
Sat Jan 31 08:52:18 PST 2015 --  With 25 home goals, Manchester United have become the leading goal scorer at home in the PL this season.
Sat Jan 31 08:53:24 PST 2015 --  Di Maria two best performance since he signed for @ManUtd has been against Leicester. Yay or Nay #MUFC
Sat Jan 31 08:49:17 PST 2015 --  Di Maria two best performance since he signed for @ManUtd has been against Leicester. Yay or Nay
Sat Jan 31 08:40:10 PST 2015 --  Ladies and Gentlemen. Daniel Sturridge is back with a goal. U can't buy class. Tell that to @finallymario
Sat Jan 31 07:45:49 PST 2015 --  Imagine if Herrera was in this game.... My goodness
Sat Jan 31 07:28:10 PST 2015 --  Damn! @BlindDaley . That pass though. 1-0
Sat Jan 31 06:53:38 PST 2015 --  Van Gaal decides to play 4-4-2 diamond today. Great call. #MUFC
Sat Jan 31 06:34:12 PST 2015 --  Fabulous Four starts. @FALCAO @WayneRooney #VanPersie #DiMaria #MUFC
Sat Jan 31 00:24:01 PST 2015 --  When I start changing don't complain remember.....you made me this way.
Fri Jan 30 03:12:47 PST 2015 --  Dear Lord today help me help somebody else,let me achieve something bigger than myself & let me never feel like I'm by myself
Thu Jan 29 10:59:44 PST 2015 --  Starve your distractions and feed your focus..
Fri Jan 30 21:33:37 PST 2015 --  I ask that I will apprehend what you apprehended me for. That your vision for me, will become my vision for me. Let your will be mine, Lord
Fri Jan 30 22:09:09 PST 2015 --  Its a New Day, and I'm still here. #Alive #GODWIN
Fri Jan 30 22:07:18 PST 2015 --  #NP Tye Tribbett feat GA - Bless The Lord (son of men).
Fri Jan 30 06:37:03 PST 2015 --  Sadiq El Fitouri has signed for #mufc from Salford City, with the young right-back set to link up with the U21 squad: http://bit.ly/1ETPr4L 
Fri Jan 30 07:09:15 PST 2015 --  Prof Yemi Osinbajo. Starts by singing. Winner o, Jesus you don win.
Fri Jan 30 06:13:35 PST 2015 --  Gutted to see Fletch go, but if you keep a legend for longer than he can perform at your level he ends up slipping and costing you the title
Fri Jan 30 00:36:11 PST 2015 --  I wake up see today lasan...na #Godwin
Thu Jan 29 01:21:13 PST 2015 --  Whatever d case and I dnt expect miracles from APC but ryt now they av more thinking people than PDP - Iyabo Obasanjo. #TeamBuhari
Thu Jan 29 00:02:16 PST 2015 --  GEJ said n I quote "I ll create jobs and unemployment". If dis is d promise den I weep 4 our generation. #TeamBuhari
Wed Jan 28 23:55:01 PST 2015 --  Most overrated things on Twitter 5. Bacon 4. Chipotle 3. Kanye 2. Drake 1. Kim K
Wed Jan 28 14:35:04 PST 2015 --  You can't base your life on other people's expectations.
Tue Jan 27 13:06:28 PST 2015 --  U only get to see what Eden Hazard just did on Playstation.
Tue Jan 27 13:04:04 PST 2015 --  Holy Shit!. Eden Hazard is such a show off. Mad skills right there.
Tue Jan 27 12:21:15 PST 2015 --  Emre Can looks less like a footballer, more like a Calvin Klein underwear model if u ask me. #LFC
Tue Jan 27 12:16:44 PST 2015 --  that dummy from Coutinho though. Van Gaal sign him! #LFC #mufc
Tue Jan 27 12:07:19 PST 2015 --  Leave rivalry out of this, but Liverpool has really improved in d last few months. They r playing top football lately.
Tue Jan 27 12:06:28 PST 2015 --  Raheem Sterling is a fantastic player, but that kid isn't so intelligent. Lacks good decision making. #LFC
Tue Jan 27 11:58:48 PST 2015 --  Liverpool having the upperhand against Chelsea so far. Van Gaal take notice. They r also playing 3-5-2
Tue Jan 27 11:55:33 PST 2015 --  Most people don't even knw 2chainz has got a degree, and he use 2 be of one of the best students in class. Too much for a gangster #Truuu
Tue Jan 27 11:52:02 PST 2015 --  2chainz is running for Mayor?. How cool is that?.
Tue Jan 27 11:45:23 PST 2015 --  Let's see how Liverpool fairs with 3-5-2. Van Gaal, grab ur tv remote and watch. #mufc
Tue Jan 27 11:41:47 PST 2015 --  Bentaleb goal was a beauty. EPL players no dey carry last. #AfricanCupOfNations #Spurs
Tue Jan 27 11:30:08 PST 2015 --  Hackers got a long list of ex-victims. Now they got a blank space, and wrote @taylorswift13 name. LOL #BlankSpace
Tue Jan 27 11:26:37 PST 2015 --  Looks like Miss Taylor Swift is now a victim of this crazy hackers. She's been venting like craay.
Tue Jan 27 11:18:09 PST 2015 --  PS any hackers saying they have 'nudes'? Psssh you'd love that wouldn't you! Have fun photoshopping cause you got NOTHING.
Tue Jan 27 11:06:44 PST 2015 --  Cause the hackers gonna hack, hack, hack, hack, hack...
Tue Jan 27 11:10:11 PST 2015 --  " @TheFunnyTeens: "you look tired, are you???" "no, im just ugly""
Tue Jan 27 11:08:26 PST 2015 --  Chelsea are gonna gets some sticks today. Their last outing was totally awful.
Tue Jan 27 10:55:27 PST 2015 --  My twitter handle must av really missed me. Get ready for some banters tweeps
Sat Jan 24 10:03:10 PST 2015 --  Here's the new swag: U get a red card, act like its nothing, dust off ur badge and walk out of d pitch. "Ronaldo Style" #HalaMadrid
Sat Jan 24 09:59:41 PST 2015 --  Did anyone see how Ronaldo walked off d pitch after that red card?. That dude isn't just a footballer, he's a superstar. #HalaMadrid
Sat Jan 24 02:22:37 PST 2015 --  U can't spend £150m and still give us shitty football. #VanGaalOut #MoyesIsKing #mufc
Thu Jan 22 12:21:08 PST 2015 --  #TheAvengers #AgeOfTheUltron can't wait. #MarvelComicMovies
Tue Jan 20 07:59:41 PST 2015 --  Special birthday s/o to my padi toh sure >>※@ednutty01※ HAPPY BIRTHDAY!!!
Mon Jan 19 12:27:22 PST 2015 --  If your an #EDM fan like me, @calvinHarris #Motion should be top of ur playlist.
Mon Jan 19 04:35:36 PST 2015 --  I'm not surprised by Ayo Fayose's dumb advert. I'm just disappointed #Punch went ahead to publish that shit.
Sun Jan 18 13:59:08 PST 2015 --  If GEJ like make hin reduce the price of Garri, hin no go win.
