Sat Aug 29 05:31:58 PDT 2015 --  Why did I go out last night knowing I had to be up at 6 to go mtn biking.
Fri Aug 28 23:07:42 PDT 2015 --  Waterton Canyon closed due to bear activity http://on9news.tv/1Is5SEw  #9NEWS
Fri Aug 28 20:17:32 PDT 2015 --  Time to get bear mace!
Fri Aug 28 20:12:51 PDT 2015 --  My favorite mtn trail closed because another mtn biker was chased by a bear!
Fri Aug 28 12:31:32 PDT 2015 --  Almost threw up at crossfit but I held it in!
Fri Aug 28 10:10:48 PDT 2015 --  “DAMN MONGOLIANS! YOU BREAK DOWN MY CITY WALL FOR THE LAST TIME!!!” pic.twitter.com/A2OK7GhoTA
Fri Aug 28 09:51:17 PDT 2015 --  Crossfit, mountain biking today and tomorrow. I have to be ready for the bike team tryouts at work!
Wed Aug 26 19:26:40 PDT 2015 --  Ah, I just ate 30 wings in one sitting!!! What the hell is wrong with me.
Wed Aug 26 14:25:05 PDT 2015 --  I'm trying out for the bike team at my work!!! Can't wait! It'll be sweet to be a bike medic and broncos and rockies games!
Wed Aug 26 11:24:00 PDT 2015 --  The ones who deserve our attention today. Prayers for Vicki Gardner who was also shot and is in the hospital. https://twitter.com/nbcnews/status/636586275026378753 …
Tue Aug 25 09:31:38 PDT 2015 --  Gonna spend the day remembering the great times I had with my mom. She would have been 81 today. pic.twitter.com/GIUTe9cWtT
Mon Aug 24 20:09:31 PDT 2015 --  No means no. #AskFluffy https://twitter.com/granogabe/status/636010129914068992 …
Mon Aug 24 19:40:46 PDT 2015 --  Put an offer on a beautiful townhome today and someone outbid me. Damn it.
Mon Aug 24 18:31:15 PDT 2015 --  We won’t be here forever. Once this day is over, we can’t get it back. Your time is too valuable to waste it being upset.
Mon Aug 24 18:14:32 PDT 2015 --  I always wear hats, always at work too. I come into work today with my hair combed and everybody is asking who I got ready for lol.
Sun Aug 23 20:03:55 PDT 2015 --  Last shift with my current field trainer at work. Sucks, I learned a lot from this guy!! He's a bad ass Paramedic!
Sat Aug 22 10:02:26 PDT 2015 --  Watching @Just_Loera snap chat made me miss Colorado and how awesome the outdoors are there!!
Thu Aug 20 22:24:20 PDT 2015 --  I want some car audio, but of course I don't want nothing cheap! I want to rattle everything!
Thu Aug 20 17:38:30 PDT 2015 --  The funniest guy working at Costco #AskFluffy https://twitter.com/luvpink534/status/634523606391898112 …
Thu Aug 20 12:37:05 PDT 2015 --  MOM! BATHROOM!! BATHROOM!!! Stream the full episode for free here: http://cart.mn/WoW-SP  https://amp.twimg.com/v/3a783900-590a-47c5-a6ff-f0a44933ea03 …
Tue Aug 18 13:29:50 PDT 2015 --  Happy birthday man! @PapaLexGutierez
Fri Aug 14 20:49:59 PDT 2015 --  Looking at 2 town homes tomorrow morning!
Fri Aug 14 01:12:48 PDT 2015 --  Straight out of Compton was a great movie!!
Thu Aug 13 14:06:55 PDT 2015 --  pic.twitter.com/Q1vQb6S0YT
