Fri Aug 28 19:57:20 PDT 2015 --  pic.twitter.com/GFMg4iSsWC
Fri Aug 28 19:13:05 PDT 2015 --  I try not to be bitter in any situation even in jail i was chillin..
Tue Aug 25 17:23:40 PDT 2015 --  I got my inspiration n Rap style from N.o.r.e @noreaga
Tue Aug 25 07:35:59 PDT 2015 --  Hood White Niggaz
Mon Aug 24 20:46:59 PDT 2015 --  Rihanna is a funny young lady !!!
Mon Aug 24 18:39:19 PDT 2015 --  Listen to p dolla - Large on the streets by SnapBack Lou Dolla #np on #SoundCloud http://soundcloud.com/louisvolmar/p-dolla-large-on-the-streets …
Mon Aug 24 18:38:06 PDT 2015 --  Listen to P dolla - Pass that dutch ( hold up) by SnapBack Lou Dolla #np on #SoundCloud http://soundcloud.com/louisvolmar/p-dolla-pass-that-dutch-hold …
Mon Aug 24 12:22:43 PDT 2015 --  Just posted a photo https://instagram.com/p/6xxJuXIs91/ 
Mon Aug 24 12:11:37 PDT 2015 --  Listen to P dolla - we in the streets (in too deep) by SnapBack Lou Dolla #np on #SoundCloud http://soundcloud.com/louisvolmar/p-dolla-we-in-the-streets-in …
Mon Aug 24 05:36:58 PDT 2015 --  Now Playing @BishopLamont, @mkasante, @TalibKweli, @RasKass - Godz N The Hood - We Want To Support You In Rotation @ http://81hiphop.com 
Sun Aug 23 10:06:02 PDT 2015 --  A leader of men becomes superior in strength when his motives are to lead his men.
Sun Aug 23 10:16:43 PDT 2015 --  I truly appreciate the love I get from the younger emcees makes me feel like in my younger emcee days I connected with the youth. Golden!
Sat Aug 22 23:25:48 PDT 2015 --  pic.twitter.com/Cz6EIsxzaG
Sat Aug 22 20:39:16 PDT 2015 --  Why front for the fronters? just be you whoever don't like it fuk em!
Sat Aug 22 20:42:26 PDT 2015 --  As long as I got family and good bud I find it hard to give a fuk about fronting ..
Sat Aug 22 20:06:16 PDT 2015 --  Keep it a buck i think I hit the end of the line / last stop when it comes to not sleeping for days!! I need sleep..hurting for certain.
Fri Aug 21 13:11:24 PDT 2015 --  Fuk the streets In the sense of dying for them or getting life in jail!! Use them to your advantage learn what not to do and survive of them
Thu Aug 20 11:05:41 PDT 2015 --  Hip hop is amazing shit started in the bx and went world wide ....
Wed Aug 19 18:16:08 PDT 2015 --  I ain't afraid to lose .... Because I ain't afraid to win.
Wed Aug 19 10:51:20 PDT 2015 --  I'm afraid of GOD, jail and having Wack bars !!!!
Wed Aug 19 10:29:51 PDT 2015 --  I can be petty and I'm an ignorant slick talker .do u know how hard it is for me to refrain when someone hard on the eyes acting all crazy??
Wed Aug 19 10:30:48 PDT 2015 --  When I leave the gym I swear I can knock out a elephant on the one on one!!!
Tue Aug 18 20:46:59 PDT 2015 --  Listen to Sleepin by 730Lou #np on #SoundCloud https://soundcloud.com/730lou/sleepin 
Tue Aug 18 14:27:19 PDT 2015 --  Brooklyn To South Florida...
Tue Aug 18 14:16:20 PDT 2015 --  Listen to Jason Black- I Got Your Back by Jason Blac Musiq #np on #SoundCloud http://soundcloud.com/jason-blac-musiq/jason-black-i-got-your-back-1 …
Mon Aug 17 20:56:03 PDT 2015 --  http://soundcloud.com/michelleshantel/michelle-shantel-pull-up-on …
Tue Aug 18 03:58:31 PDT 2015 --  Listen to In the mist of time by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/in-the-mist-of-time …
Tue Aug 18 03:54:34 PDT 2015 --  Listen to U Cant Win by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/u-cant-win …
Tue Aug 18 03:44:46 PDT 2015 --  Listen to Lyrical Gunplay by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/lyrical-gunplay …
Tue Aug 18 03:42:54 PDT 2015 --  Listen to Magically Delicious by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/magically-delicious …
Tue Aug 18 03:39:10 PDT 2015 --  Listen to Smokin Backwardz by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/smokin-backwardz …
Tue Aug 18 03:33:16 PDT 2015 --  Listen to My Nigga by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/my-nigga …
Tue Aug 18 03:28:44 PDT 2015 --  Listen to American Pimpin by 730 Lou #np on #SoundCloud http://soundcloud.com/730-lou/american-pimpin …
