Fri Aug 28 18:53:48 PDT 2015 --  The future Bae better have the same musical taste as me.
Fri Aug 28 17:56:15 PDT 2015 --  Spiced Pumpkin-Oatmeal Cookies http://www.chow.com/recipes/30456-spiced-pumpkin-oatmeal-cookies … @CHOW yummmmmmmmmmmmmmmm
Fri Aug 28 17:32:23 PDT 2015 --  Someone offers me salad. *reaches into doritos bag, stuffs face*.
Fri Aug 28 17:30:45 PDT 2015 --  I may show up to an event late, but you best know and believe I'm going to have great hair when I get there. #priorities #hair #event
Fri Aug 28 15:24:45 PDT 2015 --  I own entirely too many brassieres. I only have the one set of boobs, I don't know who I think I'm kidding. #OrganizingDay
Fri Aug 28 09:35:37 PDT 2015 --  @djsnake me listening to your how deep is your love remix pic.twitter.com/9cydTUbqNz
Wed Aug 26 22:59:36 PDT 2015 --  Still awake and have to be up in 5 hours. Gonna need a lot of caffeine tomorrow.
Wed Aug 26 21:33:24 PDT 2015 --  Most awkward situation ever.
Tue Aug 25 21:39:01 PDT 2015 --  "Mozart wrote his first symphony when he was 8. I'm 20 and just rehearsed 4 times what I'm about to tell the drive thru lady." — Ole Miss
Tue Aug 25 08:41:59 PDT 2015 --  https://vine.co/v/hM3JA9V1Ini 
Tue Aug 25 08:27:59 PDT 2015 --  Guiz, being on vacation for 9 months is HARD WORK. #MeTime https://amp.twimg.com/v/ee911167-766c-4a12-9872-1fc0a2149f4e …
Sun Aug 23 11:20:02 PDT 2015 --  When the weekend is over pic.twitter.com/TMEV5N6yyi
Sun Aug 23 06:48:38 PDT 2015 --  Mum and Dad said they would adopt me if the gets 30 retweets ?? pic.twitter.com/jDauG5c0F1
Thu Aug 20 11:52:04 PDT 2015 --  Ask your T-Mobile specialist if JUMP! On Demand is right for you. #PhoneShame https://amp.twimg.com/v/ccc11948-5339-4906-a0cb-593d6edd68be …
Sat Aug 22 14:23:20 PDT 2015 --  Sometimes your life needs a cleanse. T-132 days. ♡♡♡
Sat Aug 22 14:20:46 PDT 2015 --  I just want to do things with my life that make a positive impact on just one person.
Sat Aug 22 11:54:13 PDT 2015 --  Put good things out into the world.
Sat Aug 22 11:42:17 PDT 2015 --  Nobody can ruin my day. ♡
Sat Aug 22 10:59:18 PDT 2015 --  Sometimes it's okay to not be okay.
Fri Aug 21 10:49:21 PDT 2015 --  New Video - Our Anniversary: http://bit.ly/1hQpOfk 
Fri Aug 21 17:13:01 PDT 2015 --  I'm having such a good hair day today. ♡♡♡
Fri Aug 21 12:10:37 PDT 2015 --  #baristaforlife #starbucks #tobeapartner #espresso #barista
Fri Aug 21 12:06:46 PDT 2015 --  I love the partners I work with. The free drinks while working doesn't hurt either. ;) #tobeapartner
Fri Aug 21 11:42:45 PDT 2015 --  Goal for today: put positive vibes out into the world. :)
Thu Aug 20 11:28:21 PDT 2015 --  You may find instagram is a joke, but I love it and that is what matters. It may not be for "Serious" photography, but simple snapshots. =)
Thu Aug 20 11:24:33 PDT 2015 --  It happens to everyone as they grow up. You find out who you are and what you want, and then you realize that people change.
Thu Aug 20 11:20:18 PDT 2015 --  One of my biggest mistakes is trying to please everyone. That ends now. :)
Wed Aug 19 23:53:37 PDT 2015 --  I'm so happy with the changes I am making in my life. ♡♡♡ :)
Wed Aug 19 19:40:47 PDT 2015 --  The one downside to working @Starbucks is the free coffee. I'm practically twitching from a caffeine overdose. ;) #loveit #starbucks
Wed Aug 19 19:20:24 PDT 2015 --  https://instagram.com/p/6lLoPatqhe/  I'm dying!
Wed Aug 19 06:51:56 PDT 2015 --  You have to make it through the rain to appreciate the sun. @ Estes Park, Colorado https://instagram.com/p/6f8pZuqj8P/ 
Tue Aug 18 22:10:02 PDT 2015 --  I just want a phone charger long enough to be able to roll over in bed with.
Mon Aug 17 21:15:51 PDT 2015 --  Hiking in Estes Park. catthatran https://instagram.com/p/6gXJ6eqj6M/ 
Mon Aug 17 01:17:16 PDT 2015 --  http://www.niaaa.nih.gov/alcohol-health/special-populations-co-occurring-disorders/underage-drinking …
Mon Aug 17 01:10:10 PDT 2015 --  I can't wait to go to Seattle, everyday there's more reasons I'm ready to leave.
Mon Aug 17 01:04:58 PDT 2015 --  I'm going to say what I want and you can deal or move along.
Sun Aug 16 19:57:06 PDT 2015 --  Starbucks at 9pm? Yassssss! :)
Sun Aug 16 19:26:27 PDT 2015 --  If you are underage and posting about your drinking, good luck getting a real job. Trashyyyyyy.
Sat Aug 15 23:50:16 PDT 2015 --  The first step you take may be the hardest but it will make the last that much more sweet. :)
Sat Aug 15 23:49:48 PDT 2015 --  Live the life you desire and your dreams will come true. ♡♡♡
Sat Aug 15 22:51:48 PDT 2015 --  A good moisturizer is key to good skin.
Sat Aug 15 11:30:10 PDT 2015 --  i can't wait i can't wait i can't wait i can't wait i can't wait i can't wait i can't wait i can't wait pic.twitter.com/WossbHXZWO
Sat Aug 15 07:48:46 PDT 2015 --  Actual nightmare: getting in car, finding yourself in the middle of a huge spider web. But then driving and a swarm of baby spiders attacks.
Fri Aug 14 11:19:03 PDT 2015 --  Learn when to properly use 'a' & 'an'. Thanks. It's not "we need A electrician" rather, "we need AN electrician".
Fri Aug 14 11:16:27 PDT 2015 --  I don't need you to tell me if you think I'm mature or not. Judge yourself before others. #wow #done #mylifenotyours #fakepeople
Thu Aug 13 12:47:42 PDT 2015 --  I just want to live somewhere I can have my @Starbucks delivered. Do you deliver in seattle???
Thu Aug 13 10:17:26 PDT 2015 --  If I wake up and have a rough day I go back to bed and start over again later. Today's one of those days.
Tue Aug 11 17:53:51 PDT 2015 --  pic.twitter.com/dDoNCAMqkH
Tue Aug 11 18:34:10 PDT 2015 --  When you see someone with great eyebrows.
Tue Aug 11 17:31:51 PDT 2015 --  I need to get a Polaroid and some film asap.
Mon Aug 10 23:08:50 PDT 2015 --  When you try to pull the blankets up and you smack yourself in the face. Literally a face palm.
Wed Jul 22 13:34:54 PDT 2015 --  #TodaysKidsWillNeverKnow Kylie Jenner used to be white pic.twitter.com/q3HikHH8Wg
Mon Aug 10 01:30:09 PDT 2015 --  RT if you agree! pic.twitter.com/3fEFn7N6Ux
