Wed Aug 26 07:50:17 PDT 2015 --  There is a giant stuffed bear in the office at school today! pic.twitter.com/ZYnEFZV3HS
Tue Aug 25 02:52:54 PDT 2015 --  It's a Happy Tuesday! My original 1983 12" with die cut sleeve of Blue Monday will be here next Wednesday!!
Tue Aug 25 02:48:27 PDT 2015 --  pic.twitter.com/osS0kgSvUi
Mon Aug 24 16:33:18 PDT 2015 --  Why do GOP ads always say "Obama Liberal" like its a bad thing? Demos don't say "Bible Thumping Confederate flag waving homophobic idiot"
Mon Aug 24 15:31:45 PDT 2015 --  Loving my koi & froggy in my Pocket Pond!! pic.twitter.com/n1CNPNOgLT
Mon Aug 24 14:48:20 PDT 2015 --  Well that explains the tiny hooded robes I found in the oak tree, & the high pitched chanting I've been hearing pic.twitter.com/yF4XqB21vk
Mon Aug 24 11:51:43 PDT 2015 --  Math teacher at my school Clarksville Middle in Clarksville, IN put this up outside her classroom: pic.twitter.com/4qCRWvgj84
Mon Aug 24 11:15:56 PDT 2015 --  My favorite garden statute pic.twitter.com/YR1hN61jn1
Mon Aug 24 11:15:01 PDT 2015 --  pic.twitter.com/9Du7tAKctG
Mon Aug 24 11:14:39 PDT 2015 --  My garden pic.twitter.com/lTRhRQqrRb
Mon Aug 24 03:38:48 PDT 2015 --  Good Morning everyone!! pic.twitter.com/m0mBZF9kTY
Sun Aug 23 16:39:24 PDT 2015 --  Okaaayyy is it just me or does Jared look a bit too excited after being interrogated? pic.twitter.com/JhGa6OikfK
Sun Aug 23 16:04:11 PDT 2015 --  Adding this to my collection (Finally) pic.twitter.com/uicE9RqtgC
Sun Aug 23 15:46:52 PDT 2015 --  Hope I get to go to DC this Spring with 8th grade class I'm wanna kiss those twin pandas so bad!!! pic.twitter.com/AMnRKdbnV0
Sun Aug 23 15:27:23 PDT 2015 --  Love how the Proactive commercial uses a New Order tune!
Sun Aug 23 14:49:03 PDT 2015 --  So I drove up to the farmhouse with giant tank & dolphin in my pick-up. dad shook his head and said "purpose boy, I said you need a purpose"
Sun Aug 23 11:28:53 PDT 2015 --  Check out Alexi Cuoto's new single / music video "Paradise" http://m.youtube.com/watch?v=2Gd7Im 
Sun Aug 23 11:17:30 PDT 2015 --  Dem & Devi after Sunday afternoon nap pic.twitter.com/riHpspn6Nf
Sun Aug 23 06:19:39 PDT 2015 --  Watching ThisWeek with George S. interviewing Gov. Walker he can't get answer to simple yes/no question are all GOP candidates weebles?
Sun Aug 23 05:04:22 PDT 2015 --  I just had an epiphany! Twitter is like methadone for people with ADD! So many Tweets to read, respond to, to favorite..(clouds part)
Sun Aug 23 04:59:16 PDT 2015 --  ADD ...is a curse and a blessing... All Wrapped up in...where was I going with this?
Sun Aug 23 04:56:17 PDT 2015 --  Yay baby Panda!!
Sun Aug 23 04:13:32 PDT 2015 --  scottapril15th @XfmManchester the blonde one could be Ian Curtis, one with beard Hooky, other two Steven Morris & Barney so Joy Division?
Sat Aug 22 13:43:57 PDT 2015 --  "Dance, dance, dance, dance, dance to the radio!" #JoyDivision pic.twitter.com/InL2QNVpfl
Sat Aug 22 12:28:52 PDT 2015 --  First record I ever bought .. I was 7 years old pic.twitter.com/4V697eVGxo
Sat Aug 22 12:26:30 PDT 2015 --  But then again I'm ALWAYS in a JD mood lol and kind of sullen from listening to "Wreck of The Edmund Fitzgerald" by Gordon Lightfoot
Sat Aug 22 12:22:14 PDT 2015 --  In a JD mood: pic.twitter.com/FuiRAQaqIQ
Sat Aug 22 00:36:47 PDT 2015 --  @scottapril15th @ChefDomTes @Rosagrazz @ShoegazeCo @LGBTRRights @ScottsHusband @scottygreeneyes @scottrleslie pic.twitter.com/hJiA9WF9h0
Thu Aug 20 13:58:27 PDT 2015 --  Joy Division pic.twitter.com/AoQ2RzppYT
Thu Aug 20 13:56:00 PDT 2015 --  Retweet to win! Must follow The Groovy Teacher to qualify! Winner drawn August 31! pic.twitter.com/t8mw65xpSV
Thu Aug 20 04:30:05 PDT 2015 --  pic.twitter.com/sR060QiWvS
Wed Aug 19 14:05:08 PDT 2015 --  R.I.P. Batgirl Yvonne Craig I watched you so many afternoons after school sitting in front of the TV dipping Oreos in my PDQ : (
Wed Aug 19 13:43:59 PDT 2015 --  How in the Hell does the $5 fondler get a plea deal?? If it was a 14 year old boy of if he wasn't rich, would Jared Fogle get a plea deal?
Wed Aug 19 12:20:37 PDT 2015 --  I-65 has been a mess all day due to accidents / semi on fire hope I can get home!!
Tue Aug 18 17:01:48 PDT 2015 --  Dear Dem I have a healthy obsession with Manchester music, Factory Records, Joy Division, Ian Curtis, Hooky & Rowetta.. Maybe.. Lol
Tue Aug 18 16:51:08 PDT 2015 --  Can't stop listening to St. Anthony: Ode to Tony Wilson beautiful ! I ordered my CD!vid features Rowetta & song mentions Curtis & Hooky!
Tue Aug 18 05:23:11 PDT 2015 --  Dreary day and feeling sick ... Perfect combo for listening to Joy Division on vinyl
Tue Aug 18 05:19:20 PDT 2015 --  Feeling blechy, sore throat.. Missing school, thank God I have Cindy, Libby, Monica & Erin to get a sub & cover classes.. Love u guys!!
