Sun Jun 28 19:05:43 PDT 2015 --  Aawww! Nicole and Boris are slow dancing. this is why people make babies to this. #BETAwards
Sun Jun 28 19:05:36 PDT 2015 --  Cruisin' will never get old. #BETAwards
Wed Jan 07 18:36:21 PST 2015 --  When you just got out and you want half your company back #EmpireFox pic.twitter.com/91xIcX4JsD
Wed Jan 07 16:01:35 PST 2015 --  BREAKING: #Paris is exploding with support for #CharlieHebdo. #ParisShooting pic.twitter.com/hMROBwtwRI
Wed Jan 07 15:42:29 PST 2015 --  BREAKING: MORE: 1 suspect in Paris attack has been killed and the remaining 2 are in custody http://nbcnews.to/1xGJCpN  pic.twitter.com/eK7uSeuktW
Sun Dec 21 07:34:49 PST 2014 --  Anyone who links violent acts of one man to hundreds of thousands of protesters, misses purpose of the protests entirely; to end violence.
Sun Dec 21 07:43:13 PST 2014 --  Killing of 2 NYPD officers is outrageous. NYPD officer killing of Eric Garner was outrageous. Blaming the Mayor for either also outrageous.
Mon Dec 08 16:42:23 PST 2014 --  “America has not seen protests like those...coming if justice doesn’t start to come down.” @UncleRush on @OutFrontCNN http://cnn.it/1zGQRg5 
Mon Dec 08 16:30:12 PST 2014 --  #nakedjustice the Rev. is completely out of touch. How dare he blame his parents.
Thu Dec 04 09:32:14 PST 2014 --  "Bow down to my officers or you end up getting killed." - PBA President Pat Lynch
Thu Dec 04 09:30:18 PST 2014 --  #NYPD PBA President Pat Lynch should be a politician -- man speaks about 10 miles a minute and doesn't stop with his agenda. #EricGarner
Fri Nov 07 11:58:35 PST 2014 --  @KSTP BREAKING NEWS!!!! Bill Clinton is throwin up gang sign with known felon Nelson Mandela #pointergate pic.twitter.com/B9f4ic9nFy
Mon Aug 25 00:24:02 PDT 2014 --  RT if you want an Eric and Pam spin-off titled New Blood. v--v #TrueBlood pic.twitter.com/l7Dtnvfit5
Tue Aug 19 21:00:15 PDT 2014 --  Until we are willing to acknowledge what we do, we have no power to choose or change our behavior.
Tue Aug 19 18:14:33 PDT 2014 --  Love Gen. Honore #droppingknowledge
Sat Aug 16 15:01:00 PDT 2014 --  Leaders from the community will be out to clear the streets by midnight. Anyone here after that WILL NOT have the support of the community.
Sat Aug 16 13:50:32 PDT 2014 --  #Ferguson omg! Please end this presser now!
Sat Aug 16 13:47:47 PDT 2014 --  Good grief..they can't even control a presser in #Ferguson, much else get this mess under control!
Sat Aug 16 13:47:42 PDT 2014 --  #Ferguson this press conference is only making things worse. People are enraged.
Sat Aug 16 13:37:00 PDT 2014 --  #Ferguson press conference is an absolute mess. Who planned this?
Sun Jun 08 18:43:56 PDT 2014 --  Ghost best not die! #GameOfThrones
Sun Jun 01 19:06:13 PDT 2014 --  Me after #GameOfThrones tonight: pic.twitter.com/HphRQn8x8E
Wed May 28 06:31:04 PDT 2014 --  Rest in peace Sister Angelou. pic.twitter.com/oWDGBST7k6
Thu May 22 18:15:34 PDT 2014 --  No Seaworld for my family.......ever! #Blackfish
Wed May 14 15:35:55 PDT 2014 --  #BREAKING: Motions for an appeal AND an Emergency Stay in the issuing of same-sex marriage licenses in Arkansas have been denied.
Sun May 04 09:30:50 PDT 2014 --  SNL shows the terrifying things that will happen if you dare disrespect Beyoncé http://ti.me/RecSmb 
Sat May 03 07:06:50 PDT 2014 --  #arwx RT @KATVMelinda: Senator Mark Pryor announces Pres. Obama plans to visit AR tornado disaster areas. @KATVNews pic.twitter.com/sCiP2epa1K
Sun Apr 27 18:48:21 PDT 2014 --  Powerful piece @sallyjenx on #DonaldSterling's "naked bigotry," fact that only #NBA owners can do something about it. http://wapo.st/1h49lwC 
Sun Apr 27 19:52:17 PDT 2014 --  @lrchamber - Think you need to reevaluate your tweets with what's going on in & around Little rock right now!
Sat Apr 26 17:23:50 PDT 2014 --  @TheRealMikeEpps AMBER ALERT: Ayesha Jackson is 12 y/o girl missing in Philly. Please share & RT #AyeshaJackson pic.twitter.com/V6rGfLiZOk
Sat Apr 26 11:48:40 PDT 2014 --  I could be wrong (as if) but someone show me the "I don't have to play if my owner is a racist" clause in Clippers' contracts. I'll wait.
Sat Apr 26 10:32:55 PDT 2014 --  . @cjbycookie and I will never go to a Clippers game again as long as Donald Sterling is the owner.
Sat Apr 26 10:38:18 PDT 2014 --  LA Clippers owner Donald Sterling's comments about African Americans are a black eye for the NBA.
Sat Apr 26 07:27:38 PDT 2014 --  . @NBA fined @LAClippers Matt Barnes $25K for using the N-word on Twitter. @kobebryant $100K for gay slur. What will Sterling be hit with?
Sat Apr 26 07:07:19 PDT 2014 --  I am interested to see the PR response from the @LAClippers. I bet they are in full on crisis mode.
Wed Apr 09 10:39:53 PDT 2014 --  Check me out tomorrow and every Thursday at the mother in law lounge 6-8 1500 n Claiborne ave WE PARTYING!!!!!!!!!!! pic.twitter.com/lrhlAGCOtO
