Sat Aug 29 10:54:19 PDT 2015 --  petit macdo
Sat Aug 29 03:55:18 PDT 2015 --  il fait trop beau aujourd'hui
Thu Aug 27 12:01:38 PDT 2015 --  j'sais jamais si je dois dire bonjour ou non qd je croise qqn que je connais vite fait.... du coup j'panique
Fri Aug 14 10:20:21 PDT 2015 --  Quand c'est un moment sérieux mais que tu croises le regard de ton pote https://vine.co/v/MXz1B7h3pmt 
Thu Aug 27 06:24:11 PDT 2015 --  en fait j'aime bien les cheveux courts
Thu Aug 27 06:03:51 PDT 2015 --  la coiffeuse qui m'a coupé 20cm🏼
Mon Aug 24 07:23:57 PDT 2015 --  Ce moment délicat à la rentrée où on te demande de dire devant 35 personnes où t'habites...... #Mouchampscity #niquezvosraces #vivelarentrée
Wed Aug 26 01:15:31 PDT 2015 --  On ne profite même pas de la fin des nos vacances tellement on nous rappelle la rentrée
Sun Aug 23 13:26:06 PDT 2015 --  qd jparle en msg à qqn qui est pas seul g l'impression il s'fout dma gl avk ses potes jss bizarre
Sun Aug 23 10:38:22 PDT 2015 --  Je suis dingue de lui
Fri Aug 21 05:14:49 PDT 2015 --  J'ai remarquer que je ne portais plus mes jeans dans ourlets
Fri Aug 21 02:36:23 PDT 2015 --  j'ai mes chaussures
Wed Aug 19 13:30:17 PDT 2015 --  Les meufs qui se lèvent 2h plus tot pour se maquiller au lieu de dormir plus longtemps je comprendrai jamais
Wed Aug 12 16:05:02 PDT 2015 --  " alors les djeun's " la phrase de tous les parents mdr
Wed Aug 19 10:50:53 PDT 2015 --  vivre à l'étranger pendant un an.
Wed Aug 19 06:02:41 PDT 2015 --  Je suis contaminée par le trio LEJ ! Je les écoute h24 elles ont l'air tellement cool en plus !
Wed Aug 19 06:56:41 PDT 2015 --  JE BENNIS LA PERSONNE QUI A FAIT CE COMPTE @todowithes
Wed Aug 19 09:15:06 PDT 2015 --  mon petit cousin il est vraiment trop mignon
Fri Jul 31 01:27:12 PDT 2015 --  Première fois que je fais un concours Twitter, je suis super contente pour vous Merci @TopAchat d'offrir ça pic.twitter.com/ubD9uUHmqI
