Fri Aug 21 18:55:31 PDT 2015 --  TOUCH DOWN CHIEFS!!! pic.twitter.com/5pJ1aVxPTj
Mon Aug 17 20:28:13 PDT 2015 --  Forgiveness is what I'm working on. https://twitter.com/ThirdMinded/status/626247201736499200 …
Sat Aug 08 15:39:12 PDT 2015 --  Kaleb James Chuckulnaskit #Ladiesman pic.twitter.com/jTfjA1EgJT
Sun Aug 02 15:36:46 PDT 2015 --  5 random people who RT and FAVORITE our LAST TWEET! Will have a chance to win a pair! Winners will be DM'd! pic.twitter.com/WzhRCPmRHW
Sat Aug 01 22:37:08 PDT 2015 --  Rowdy Ronda a beast with dat sh!t slime
Tue Jul 28 15:44:19 PDT 2015 --  Hot walk wit my Boy's & Buckskin Brutus. #Shade pic.twitter.com/S8FD6OPfvn
Sat Jul 25 22:13:31 PDT 2015 --  Global warming: 2015 to be hottest year on record, scientists say http://www.ibtimes.co.uk/global-warming-2015-be-hottest-year-record-scientists-say-1512541 …
Mon Jul 06 19:42:39 PDT 2015 --  Facebook Murder: Teen’s Mother Warns Parents To Monitor Their Kids On Social Media Always try & keep your kids social media on a whatch out
Mon Jul 06 15:25:55 PDT 2015 --  Ever have one of those Day's https://twitter.com/lAmGrumpyCat/status/617846227082723328 …
Mon Jul 06 15:03:17 PDT 2015 --  I'm not stalking, I'm observing. In the dark. Behind a tree. In the rain.
Sun Jun 14 20:18:27 PDT 2015 --  # Blackfeet Champion Race @ Emerald Downs pic.twitter.com/mtPZPyfOsD
Sun Jun 14 20:14:03 PDT 2015 --  #teamgrizzly pic.twitter.com/WhWJbKmBcj
Sun Jun 14 00:00:06 PDT 2015 --  The hotter the battle the sweeter the victory.
Thu May 28 17:02:25 PDT 2015 --  Flash Flood Warning for Omak http://forecast.weather.gov/MapClick.php?lat=48.411&lon=-119.528 … 1Weather for Android.# crazy weather
Thu May 21 14:00:03 PDT 2015 --  Always a rainbow at the end of a storm ?
Mon May 18 15:56:20 PDT 2015 --  #ScandalFinale..can't wait https://twitter.com/ScandalABC/status/599979944857497601 …
Mon May 11 11:30:03 PDT 2015 --  It hurts when you have someone in your heart but you can’t have them in your arms.
Fri May 01 16:23:14 PDT 2015 --  Pictures like this makes my Day alot better when I'm not having a good day. #SHAYSTONG pic.twitter.com/lrZ47GHjiY
Fri Apr 24 12:05:16 PDT 2015 --  #TEAM JAY SUCKS!!!!!
Thu Oct 23 17:19:23 PDT 2014 --  I've learned to not give a fuck.
Sat Apr 18 17:37:16 PDT 2015 --  Love my Lady Lavina!! pic.twitter.com/pj0ME6AirW
Fri Feb 06 20:35:00 PST 2015 --  " @cotydankh: nothing but fake smiles and bottled up emotions" Tired of wearing the" SMILE "mask..need a sweat soon.
Fri Feb 06 14:15:19 PST 2015 --  Now how come these hasn't hit the shelves yet... #munchies pic.twitter.com/6KD3aogikB
Sat Jan 31 19:22:16 PST 2015 --  Chiefs LB Justin Houston wins 2014 Deacon Jones Award. No brainer! Congrats to you as well Justin! #ChiefsKingdom
Sun Jan 25 16:30:04 PST 2015 --  Retweet if you think Mike Pouncey and #TeamCarter come home with the victory tonight. #ProBowl pic.twitter.com/8xOlIFr700
Tue Jul 22 15:38:27 PDT 2014 --  #TweetABondThatCantBeBroken babes @boyslike_girls4 pic.twitter.com/MorQqXXvao
Wed Dec 24 11:13:27 PST 2014 --  I left my ipod in the bathroom one time pic.twitter.com/oUlQDHkgRX
Sun Dec 14 15:38:07 PST 2014 --  Chiefs win and my nicest pair of sweatpants are clean? pic.twitter.com/XB6zmlF7lh
Sun Dec 07 18:44:27 PST 2014 --  @ theresacaputo i would love to know how my Family & I could possibly cya My Christmas wish this year!! #SHAYSTONG pic.twitter.com/LkPaI9yEHo
Thu Oct 23 19:51:53 PDT 2014 --  Well look at this 6th-9th with the main chick @zoegalasso pic.twitter.com/lruPEsWhoD
