Fri Aug 28 07:00:03 PDT 2015 --  There's a party tonight...lions,tigers,and Bears! #animalhouse
Wed Aug 26 05:19:43 PDT 2015 --  Happy National Dog Day aka Jack's Day!! #hounews goldenretriever #goldenlove pic.twitter.com/DCDyAe7UBj
Tue Aug 25 19:51:01 PDT 2015 --  Scary how free speech is less and less allowed even if facts may be skewed a bit #stopbeingsooffended https://twitter.com/ikoo1/status/636366953754558465 …
Tue Aug 25 17:57:57 PDT 2015 --  God let me accept the things I cant change, courage to change things I can & the wisdom to know the difference.
Mon Aug 24 18:22:58 PDT 2015 --  Just another night in paradise #monday
Sun Aug 23 17:23:45 PDT 2015 --  How does one mess up Chinese food delivery? Order it way too spicy and allow your chinaman to steal an $8 tip #deliveryduped
Fri Aug 21 15:26:31 PDT 2015 --  "The path to greatness is built with others" today I added one more piece to the puzzle #teambuilding literally
Thu Aug 20 06:47:52 PDT 2015 --  I just got poured on and apparently wet Vera Wang perfume smells like cat pee...awesome
Sat Aug 15 18:50:15 PDT 2015 --  Today I fed fish to a multiple wild dolphins. #dolphinwhisperer this was amazing!!! #greatestday
Sat Aug 15 08:53:33 PDT 2015 --  Swimming with dolphins...literally #funinthesun https://instagram.com/p/6aOWf8txJksTLOzUxBRBDVlDPmT4hplTDLiq40/ …
Fri Aug 14 17:33:36 PDT 2015 --  Love the smell of the ocean
Fri Aug 14 06:07:55 PDT 2015 --  #comeandgetme #onlythebest #happyfriday pic.twitter.com/OzoGgRQBTR
Thu Aug 13 15:21:00 PDT 2015 --  3 mimosas at lunch and shepherds pie...thanks Queen Vic! #cheeeriomate
Thu Aug 13 05:02:01 PDT 2015 --  So excited my first cleaning lady starts today!! (Is maid PC?) hopefully my tvs and dog are here when I get home #cleaninupmylife #happy
Wed Aug 12 17:28:49 PDT 2015 --  Ask yourself what is really important and then have the courage to build your life around your answer.
Wed Aug 12 19:42:36 PDT 2015 --  Ball or Bear for bed? Bear every time #bestbuds #goldenlove #goldretriever pic.twitter.com/HYVlMQ1BVU
Wed Aug 12 04:34:01 PDT 2015 --  It feels amazing to literally wake up laughing and with a smile on your face #happyhumpday #gooddaysahead
Mon Aug 10 02:56:58 PDT 2015 --  Why must all Monday's start out with me waking up at 3am and not going back to sleep... #thewalkingdead #tired
Sun Aug 09 16:15:56 PDT 2015 --  I'm all yours come Tuesday @Stephanie_AXO !!! #tequilatuesday
Sun Aug 09 09:39:34 PDT 2015 --  Today I hate owning a home where's my handy man when I need him #ibrokemyhome
Sun Aug 09 08:52:15 PDT 2015 --  Just replaced 13 light bulbs in my house...I guess I like the dark #cavedweller #returntothelight
Tue Aug 04 09:01:21 PDT 2015 --  I'm fast. I'm very fast. I am like Forrest Gump, except I am not an idiot. #theoffice
Thu Aug 06 20:51:02 PDT 2015 --  Big toenail is gone but play on!!! #sacrificeurbody #mustwin
Thu Aug 06 10:47:25 PDT 2015 --  Some people are always there no matter what happened in the past. Thank for my "rock"star friends and mentors. You all hold me up. #blessed
Wed Aug 05 05:50:30 PDT 2015 --  Happy hump day!!! #winedownwed #halfwaythrough pic.twitter.com/s4ggL02qzN
Tue Aug 04 20:54:27 PDT 2015 --  Baby hatches? This is crazy and sad #keepyourkids https://twitter.com/abc13houston/status/628766400153137152 …
Tue Aug 04 18:46:52 PDT 2015 --  Ray Donovan...yum. #manlyman #iluvscruff
Tue Aug 04 05:44:05 PDT 2015 --  Top off, windows down, driving to work...jeep day. Happy Tuesday #beautifulmornings
Mon Aug 03 20:25:26 PDT 2015 --  Who uses the "mute" on Twitter? Just don't follow that person #freespeech
Mon Aug 03 20:03:59 PDT 2015 --  InTouch thought they were so funny back in January wait...did they create Caitlyn? #intouch #getpaid pic.twitter.com/khbhmJc9pR
Mon Aug 03 19:32:13 PDT 2015 --  Nothing like an evening run to get your mind and body right #mondaysover #peacefulnights #positivethoughts pic.twitter.com/KemKiidQiE
Mon Aug 03 06:37:38 PDT 2015 --  Stop running to those who ignore you and start running to those who adore you. — Rev Run
Sun Aug 02 18:35:46 PDT 2015 --  jackman #goldenlove #goldenretriever #cuddlemonster https://instagram.com/p/55ypdUtxOeCG8d8MJjih05jffgd6NWH-2NPpM0/ …
Tue Jul 28 21:48:45 PDT 2015 --  Boy Becomes Youngest Patient To Get Double-Hand Transplant #amazing http://www.buzzfeed.com/jasonwells/boy-becomes-youngest-patient-to-get-double-hand-transplant …
Tue Jul 28 06:07:20 PDT 2015 --  #nowaytowork take the day off? #executivedecision pic.twitter.com/sg1AhMnZgA
Sat Jul 25 08:39:09 PDT 2015 --  God works in mysterious ways. Enjoying the time with my family. Thankful for the people in my life #blessed #grateful #familyfirst
Fri Jul 24 15:50:52 PDT 2015 --  What a trip #lastminutetravel #barelymadeit
Wed Jul 22 21:31:29 PDT 2015 --  Tossing and turning #cantsleep #zombiedaysahead
Tue Jul 21 19:40:29 PDT 2015 --  The moment when we think we have it all figured out, life shows up and has other plans. Look at this as a set up for growth, not a set back.
Mon Jul 20 13:51:21 PDT 2015 --  Why are Monday's the worst? #needmondaymotivation #moveovermonday
Sun Jul 19 20:15:19 PDT 2015 --  Beach vball, XX, Salt & lime, new Midwest friends and trophiessundayfunday #funinthesun #whywork?
Sun Jul 19 10:14:01 PDT 2015 --  An orchid to brighten the day #nurturenature #flowerpower pic.twitter.com/P4vcGw3wIt
Sat Jul 18 10:44:12 PDT 2015 --  The crazies are out in full force this glorious saturday. I can't believe the police actually helped this time #pigscanfly #grateful
Sat Jul 18 08:42:41 PDT 2015 --  I was asked to take a getaway for awhile and put the world,with its demands, on hold. All things can be done through Christ Philippians 4:13
Mon Jul 13 11:26:56 PDT 2015 --  pic.twitter.com/YZHcaUyQ9F
Fri Jul 17 16:35:41 PDT 2015 --  Moscow mules and beach vball @allpro44 ???
Wed Jul 15 19:27:58 PDT 2015 --  25 Pictures - Men And Cats Are Better Together #verymixedfeelings 21 what is happening there? #getadogoragf http://www.buzzfeed.com/fairuz/25-men-who-love-pussies-pt-1-1miol …
Sun Jul 05 21:05:33 PDT 2015 --  Relationships takes two people. Not one person being faithful and another acting single.
Wed Jul 15 15:57:55 PDT 2015 --  Not my day....but about to take it out the field
Mon Jul 13 19:22:48 PDT 2015 --  Seriously? #onlyinhouston https://twitter.com/khou/status/620737801663942656 …
Mon Jul 13 18:25:24 PDT 2015 --  Guide to the Ultimate Dog Friendly Day in Austin http://bit.ly/19ELVjW  pic.twitter.com/euBdV2oIOc
Mon Jul 13 17:57:46 PDT 2015 --  Fell for a little robot badass tonight #chappie #hesbetterthanher
Mon Jul 13 16:40:47 PDT 2015 --  One tired golden #monkeyingaround #mondayfunday #GoldenRetriever pic.twitter.com/m4Yfrx27Mp
Mon Jun 29 09:00:49 PDT 2015 --  Nobody messes with @zacbrownband pic.twitter.com/bS3Rat13xP
Thu Jul 09 16:16:22 PDT 2015 --  Best day ever #lovelife #lovejob #lovemyteam
Wed Jul 08 21:12:43 PDT 2015 --  I arrived home monday and realized the first time I opened my fridge was tonight #wtfridge #winedown #starvinlikeamarvin #wanttoeatashark
Wed Jul 08 20:30:18 PDT 2015 --  RA fish for #sharkweek yum!!! With besties.
Wed Jul 08 11:11:21 PDT 2015 --  Tiny cheeseburgers make me happy #fatkid #littlepiggy
Wed Jul 08 04:34:37 PDT 2015 --  A lion doesn't concern himself with the opinions of a sheep. Time to attack the day.
Tue Jul 07 17:45:42 PDT 2015 --  Shark attack!! #SharkAfterDark
Tue Jul 07 05:47:56 PDT 2015 --  Today is daunting #toomuchforatuesday
Mon Jul 06 13:39:19 PDT 2015 --  Misophonia...it's a real battle. #pplaregross #ruiningfriedchickenday
Sun Jul 05 07:57:47 PDT 2015 --  Retweet if you're watching #SharkWeek tonight! Shark Trek's #CaptainShark commands you to. https://amp.twimg.com/v/5ea2eab5-dacf-4ca7-9349-d18a8fda322e …
Sat Jul 04 16:27:05 PDT 2015 --  About to have the time of my life!!! #merica #bucketlist #lovethecolorgreen
Fri Jul 03 10:31:14 PDT 2015 --  Loving my Denver family with 2 dogs and a cat(batman) #newfamfor4th #bestvaca
Thu Jul 02 14:14:04 PDT 2015 --  Finish each day & be done with it. You have done what you could. Learn from it; tomorrow is a new day. -Ralph Waldo Emerson
Thu Jul 02 12:35:01 PDT 2015 --  Dallas, Houston, Denver...oh the places we go #happy4th #travelthursday
Wed Jul 01 20:11:17 PDT 2015 --  Freudian slip... @Stephanie_AXO!! I'll assist with buying booze and fun anything else you are on your own. #cometodenver #threemusketeers
Wed Jul 01 20:03:18 PDT 2015 --  Book a ticket @Stephanie_AXO!!!! I tired packing tonight...wine was a bad idea. #itsnottoolate #youreinsalesnow
Wed Jul 01 11:31:34 PDT 2015 --  Eventually all things fall into place. Until then, laugh at the confusion, live for the moments, and know everything happens for a reason.
Tue Jun 30 21:01:44 PDT 2015 --  Home sweet home finally...for a few days . #TravelTuesday #imexhausted #whyisntomorrowfriday
Tue Jun 30 20:12:05 PDT 2015 --  Airport / bar rescue missions, storm protection, and spotting elusive anteater. Good lookin out @wjcs2316 #teamwork
Sun Jun 28 13:45:17 PDT 2015 --  Flamingo kind of day #flamingofunday #daquarium https://instagram.com/p/4fJlPWNxOx/ 
Sun Jun 28 13:34:15 PDT 2015 --  pic.twitter.com/XGKJawP4jM
Sat Jun 27 10:07:50 PDT 2015 --  Never a dull moment in the game of life...
Wed Jun 24 16:11:22 PDT 2015 --  What??!! @Stephanie_AXO
Tue Jun 23 17:26:04 PDT 2015 --  Drunk at hair salon...at least wine is included in this price #blondebombshell #blondeshavemorefun #drunkblonde
Mon Jun 22 12:56:42 PDT 2015 --  Thanks for my bday treat extravaganza @wjcs2316
Sun Jun 21 16:07:04 PDT 2015 --  If you're really lucky you'll get to see two of me when you get wasted @Stephanie_AXO #tequilashots #doubletrouble
Sun Jun 21 10:53:45 PDT 2015 --  Thanks @Stephanie_AXO!!! Hurry home and let's go celebrate!!! Can't wait to booze it up with you like im 25!!!
Sat Jun 20 16:30:08 PDT 2015 --  All my exes live in tx - George strait #truestatement #txgirl
Fri Jun 19 11:01:57 PDT 2015 --  Rough day? Yo Mammas with the boys #soulfoodforthesoul #lovemyguys
Fri Jun 05 15:05:19 PDT 2015 --  After a heavy night of drinking taking bananas helps kick start the recovery process in the best way. Here’s Why - http://go.shr.lc/1ArIsvh 
Mon Jun 15 10:12:55 PDT 2015 --  the new drivers license pic turned out great! Thanks food poisoning and @Stephanie_AXO @wjcs2316 all weekend boozing pic.twitter.com/P3WLu2sFVR
Mon Jun 15 09:49:15 PDT 2015 --  Sitting in the DPS with a case of food poisoning listening to people talk about eating sloppy joes....
Thu Jun 11 16:20:08 PDT 2015 --  I see a rainbow... #summershowers #wheresthegold
Thu Jun 11 13:47:04 PDT 2015 --  Love getting "beautified" for lunch #nofoodneeded
Mon Jun 08 20:21:53 PDT 2015 --  What Tampon Are You? @allpro44 http://www.buzzfeed.com/dieterlebrittany/what-tampon-are-you-1l0my …
Mon Jun 08 07:34:01 PDT 2015 --  #MondayMotivation pic.twitter.com/980XwTaCtg
Sun Jun 07 11:00:35 PDT 2015 --  Thanks for eventful weekend in dtown @wjcs2316
Thu Jun 04 17:24:43 PDT 2015 --  Cyberattack compromises government workers http://www.cnn.com/2015/06/04/politics/federal-agency-hacked-personnel-management/index.html …
Thu Jun 04 07:33:08 PDT 2015 --  Headache...why won't starbucks put baileys in my coffee? Jerks
Wed Jun 03 17:25:20 PDT 2015 --  Friends "we r making dinner come over, but it's vegetarian". Me "I'm coming, I'll bring my own meat." #winedownwed #donttrustvegs
Tue Jun 02 21:38:37 PDT 2015 --  ParentingWhileAsian or Panda'ing #Pandaparents #iwantapanda https://twitter.com/cuteemergency/status/605923151239708673 …
Tue Jun 02 21:26:29 PDT 2015 --  #notjustatuesday
Mon Jun 01 05:22:32 PDT 2015 --  #mondaymotivation https://instagram.com/p/3YulUNNxFX/ 
Sun May 31 09:06:25 PDT 2015 --  #drunkendemolition #sandcastlestonecastle pic.twitter.com/RK9XfZmWgo
Sat May 30 21:03:47 PDT 2015 --  Loving my two roomies #floodnights
Sat May 30 16:33:41 PDT 2015 --  It's really awesome when your dog pees on the sand castles that are roped off... #jackdontcare
Sat May 30 16:08:16 PDT 2015 --  pic.twitter.com/7SnWEHtZq3
Sat May 30 15:00:14 PDT 2015 --  #norain #sandcastle pic.twitter.com/JQPfsFO5uz
Wed May 27 18:44:49 PDT 2015 --  Never wanted to see a Chinaman more in my life...
Wed May 27 03:55:04 PDT 2015 --  And...it's still raining #houstonsgone #maybenoworkagain #stillstarving
Fri Mar 20 12:16:43 PDT 2015 --  Gym thug pic.twitter.com/JRGinMmAQd
Tue May 26 18:10:22 PDT 2015 --  I should really prepare better before the entire city floods. Chips or popcorn for dinner? #ishouldwatchtheweather #starving
Tue May 26 09:42:20 PDT 2015 --  pic.twitter.com/w45JaqhJjY
Mon May 25 12:50:23 PDT 2015 --  7 great years #goldenlove #bff https://instagram.com/p/3HgRX8txFL/ 
Mon May 25 09:24:56 PDT 2015 --  Happy 7th birthday to this guy! #goldenlove #furbaby pic.twitter.com/Hk7qwyJwJ0
Sun May 24 08:37:57 PDT 2015 --  Have a lot in common with this guy today... pic.twitter.com/R4ulZo3Xnu
Sun May 24 08:24:55 PDT 2015 --  I want to meet Chris #iFunny http://ifunny.co/fun/ihnpKAWY1  pic.twitter.com/4UIufKltEy
Fri May 22 21:09:31 PDT 2015 --  sEy and sAy are tequila see ya later
Thu May 21 19:08:11 PDT 2015 --  
Thu May 21 18:06:14 PDT 2015 --  NFL announces Houston's Super Bowl date http://chron.ly/1ISgSzy  pic.twitter.com/NLWr6oYddU
Tue May 19 04:37:18 PDT 2015 --  I've officially joined the walking dead...guess it's brains for breakfast #zombiemode
Tue May 19 03:06:07 PDT 2015 --  Traveling again and been up since 2am...today is going to be awesome. #wantmyownbed #TravelTuesday
Wed May 13 17:16:09 PDT 2015 --  pic.twitter.com/rJLO9cCHFv
Sun May 17 16:38:31 PDT 2015 --  #ClutchCity Go rockets!
Sat May 16 16:06:20 PDT 2015 --  Danica Patrick wins All-Star race fan vote for second time in three years - via @ESPN App http://es.pn/1HlYhwV  @wjcs2316 watch yo toes
Sat May 16 15:17:03 PDT 2015 --  So sad. @chynnadahll Wish we could help find them jobs. https://twitter.com/dallasnews/status/599620788065587201 …
Sat May 16 15:00:06 PDT 2015 --  Ciao Italy! Ciao fresh mozzarella, pasta with truffles shaved on top, caprese salad, vino, vino, and vino #barbruno #pierluigi #latagliata
Thu May 14 01:25:00 PDT 2015 --  What girls look for in guys: brown eyes messy hair cute nose 4 paws golden retriever
Tue May 12 15:45:48 PDT 2015 --  #holycannoli pic.twitter.com/AF9zZRbFwS
Tue May 12 14:49:12 PDT 2015 --  "You're either a drunk or a bartender..." #iknowmoscowmules #stickwithwine
Mon May 11 04:52:28 PDT 2015 --  View from our balcony kelfeld #primopositanoview https://instagram.com/p/2imc0dtxO3/ 
Sun May 10 01:12:02 PDT 2015 --  Chariots of Fire #wemadeitin #griswoldments https://twitter.com/ap/status/596218793698926592 …
Sun May 03 09:31:34 PDT 2015 --  4th flight in less than a week and I finally got a window seat and no babies
