Thu Aug 27 07:00:05 PDT 2015 --  We all know a creep named Josh
Mon Aug 24 13:26:13 PDT 2015 --  Simon sen
Mon Aug 24 11:59:13 PDT 2015 --  whet liverpools attack lookin scary gd #goals
Mon Aug 24 07:30:15 PDT 2015 --  Rangers can today confirm the signing of @Arsenal and @ussoccer youngster Gedion Zelalem on a loan deal until January pic.twitter.com/Y9b5HSAWeq
Sun Aug 23 15:09:20 PDT 2015 --  AW NEVER HAHAHAHAHAH @taylorramsay05 pic.twitter.com/UByDwMdXkc
Sun Aug 23 11:15:32 PDT 2015 --  These Lil bro's are lit pic.twitter.com/WJeh48zzCR
Sat Aug 22 09:04:41 PDT 2015 --  Wayne Rooney has gone 858 minutes of club football without scoring. pic.twitter.com/ZowTuXhtLU
Fri Aug 21 02:58:36 PDT 2015 --  We all know a girlfriend stealer named Jake
Mon Aug 17 13:52:50 PDT 2015 --  Another 3 points on the board
Sun Aug 16 05:17:31 PDT 2015 --  HT: Alloa 1:4 @RangersFC (Tavernier Waghorn Holt Miller) The Gers in front and in control at the Indodrill Stadium. pic.twitter.com/gOWqdq1u5i
Fri Aug 14 18:06:02 PDT 2015 --  Whet
Tue Aug 11 16:35:43 PDT 2015 --  broken tibia #sareyin#seasonover
Thu Aug 06 12:24:46 PDT 2015 --  Looking forward to family arriving tonight for the game tmrw. They cannot wait for their first experience of Ibrox!
Sun Aug 02 07:01:01 PDT 2015 --  1' Peterhead kick us off and we're underway at Ibrox - come on the @RangersFC!
Sat Jul 25 08:18:08 PDT 2015 --  Buzzing for the boys today! I thought we did a great job and that's the bench mark we've set for the season now! pic.twitter.com/4tC9krKuCy
Sat Jul 25 06:05:13 PDT 2015 --  GOAL! Kenny Miller!!! It's 5-2!
Sat Jul 25 05:51:35 PDT 2015 --  63' - GOAL: Oh dear, oh dear, oh dear! What a strike by Halliday - 25 yards out off the underside of the bar! It's 4-2 Rangers!
Sat Jul 25 05:35:53 PDT 2015 --  GOAL! Waghorn Again!!!
Sat Jul 25 05:15:47 PDT 2015 --  GOAL! Martyn Waghorn!!!
Sat Jul 25 04:29:32 PDT 2015 --  The teams enter the field... COME ON THE RANGERS!!!
Mon Jul 20 12:08:09 PDT 2015 --  Can't wait to put on that blue shirt and get @RangersFC where it belongs! #RangersFamily pic.twitter.com/ikYuwy6LIL
Sun Jul 19 02:01:07 PDT 2015 --  BREAKING: Sky sources: @LFC reach agreement with @AVFCOfficial for transfer of @bentekechris20. #SSNHQ
Wed Jul 08 11:44:07 PDT 2015 --  I asked Danny Ings to pick his shirt number based on how many goals he will score this season. 28 it is. pic.twitter.com/k7osZzhe5b
Sun Jul 05 09:22:18 PDT 2015 --  He's back! https://amp.twimg.com/v/f1ca209a-fd57-4084-8ace-ca96a706b7c6 …
Fri Jul 03 08:09:28 PDT 2015 --  This lad went one step further and streaked pic.twitter.com/qj82pZsVDF
Thu Jul 02 11:38:48 PDT 2015 --  I know it's hot but at least put some trousers on lad... pic.twitter.com/usl9Vfq76E
Wed Jul 01 05:51:38 PDT 2015 --  So glad Liverpool have officially got clyne now, what a baller he is sennnnnns
Tue Jun 30 04:12:53 PDT 2015 --  Holidays a 10 so far
Tue Jun 23 02:06:37 PDT 2015 --  Danny Wilson has rejoined @RangersFC on a three-year deal, five years after departing Ibrox: http://rng.rs/1GwO0HX  pic.twitter.com/XTbU8MiDgi
Thu Jun 18 18:00:24 PDT 2015 --  Memories... pic.twitter.com/IhFB8dbUkq
Thu Jun 04 14:53:16 PDT 2015 --  The Liverpool fan is back with a brand new James Milner chant! http://vine.co/v/eMWIbpzQ0FF 
Wed Jun 03 02:16:14 PDT 2015 --  @Todd6Robbie pic.twitter.com/JtJEM977oU
Tue May 19 12:57:45 PDT 2015 --  When Alexander Graham Bell invented the telephone he had 3 missed calls from Zlatan. #ZlatanFacts
Tue May 19 01:56:42 PDT 2015 --  Happy bday pal @ConnorHird97
Sat May 16 03:35:53 PDT 2015 --  Today one of the greatest players in Liverpool's history plays his final home game for us. I wish Glen Johnson all the best.
Mon May 11 15:13:44 PDT 2015 --  Americans trying to understand the meaning of a 'cheeky Nandos'... pic.twitter.com/FJypGlSUur
Fri May 08 02:49:48 PDT 2015 --  I'd rather go with a proven winger rather than gambling on an unknown. James Milner has scored 34 Prem Goals Memphis Depay has scored 0
Thu Apr 16 09:04:44 PDT 2015 --  EVERYBODY SAY SAUSAGE KEEP IT GOING pic.twitter.com/5rvogxA2RB
