Sun Aug 23 06:44:07 PDT 2015 --  George W. Bush and Dick Cheney and Army committed Treason/Espionage/Sabotage by deploying me to Iraq War. https://www.ebenefits.va.gov/sep/ecms-proxy/document/ebenefits-liferay/dynamic-content/sep/assets/downloads/Chapter_13_Agent_Orange_Claims_Development.pdf …
Sun Aug 23 06:41:52 PDT 2015 --  This proves that I never should've been accepted into the US Armed Forces (Army). DOD/VA committed treason. https://www.ebenefits.va.gov/sep/ecms-proxy/document/ebenefits-liferay/dynamic-content/sep/assets/downloads/Chapter_13_Agent_Orange_Claims_Development.pdf …
Sat Aug 22 15:13:54 PDT 2015 --  Terrorists George W. Bush and Dick Cheney should've been impeached for war crimes and for trying to destroy America. (2000)(2008) #BluntTalk
Sat Aug 22 15:03:33 PDT 2015 --  The Supreme Court should look into George W. Bush involvement with oil profits in Iraq and recent planes missing #JFKJr #MH370 #BluntTalk
Sat Aug 22 14:59:34 PDT 2015 --  The Supreme Court should look into the validity of the Bush(43)presidency for AWOL and recent planes(MH370) disappearances #DFAS #BluntTalk
Sat Aug 22 14:55:55 PDT 2015 --  I know,because the VA Clinic in Daytona Beach FL tried to kill me and VA tried to make it look suicidal.The VA apologized(guilty) #BluntTalk
Sat Aug 22 14:51:18 PDT 2015 --  This is a true statement: The Department of Veterans Affairs are killing PTSD Veterans and they make it look like suicides. #BluntTalk
Sat Aug 22 14:48:19 PDT 2015 --  The Department of Veterans Affairs was abolished in the 1930s, the VA need to be abolished and arrested for murdering Veterans. #BluntTalk
Sat Aug 22 14:45:54 PDT 2015 --  George W. Bush and Dick Cheney are Terrorists. These cowards deployed me to Iraq War with Spina Bifida. #BirthDefect #NSA #CIA #BluntTalk
Fri Aug 14 01:10:00 PDT 2015 --  By VA putting me through this ordeal and added stress,its unconscionable how VA falsely accused me. #SeeSomethingSaySomething #AmericanUltra
Fri Aug 14 01:02:57 PDT 2015 --  I'm so awesome, there is no way I would ever think of harming anyone. I love myself. I never committed a crime. #AmericanUltra
Fri Aug 14 00:58:58 PDT 2015 --  The entire letter was false, I always told the VA clearly that I've never been suicidal, my medical records proves I'm right. #AmericanUltra
Fri Aug 14 00:56:38 PDT 2015 --  It was like the VA just cut and ran and sent falsified letter just to have something in writing to make me look suicidal. #AmericanUltra
