Thu Aug 27 20:01:19 PDT 2015 --  Frame it! https://instagram.com/p/66UT8qsq-T_hcnF-ZZy5FgdouhxxEenVWN0AM0/ …
Thu Aug 27 18:29:57 PDT 2015 --  Barong Tagalog. Minsan Pulitiko. Minsan pang abay sa kasal. Madalas… https://instagram.com/p/66J2tFsq9qa1XSr2_m1KHKmUaQTy25DxHwUKk0/ …
Mon Aug 26 03:18:52 PDT 2013 --  Carpenter mode on. #savingourhomefromfloods #yakangyaka #akona #walangmagawa http://instagram.com/p/deQfJ9sq4N/ 
Sun Aug 25 16:51:06 PDT 2013 --  My eldest. #beautyandbrains #missingyou #JustineJoy http://instagram.com/p/ddIgTJsq3F/ 
Sun Aug 25 16:35:33 PDT 2013 --  Greenwich Pizza o si John Lloyd? :) mapapa-nganga ka talaga hehe http://instagram.com/p/ddGuplsqzs/ 
Sat Aug 10 21:05:26 PDT 2013 --  Grilled Hito. #foodstagram #foodie #foodporn http://instagram.com/p/c290fzsq4t/ 
Sat Aug 10 20:06:27 PDT 2013 --  Mamaya iihawin na kita. #livehito #inihawversion http://instagram.com/p/c23FUusq89/ 
Mon Jul 29 18:38:49 PDT 2013 --  Bakit hindi ako crush ng crush ko? :) http://instagram.com/p/cXzgwVMq65/ 
Mon Jul 29 18:37:43 PDT 2013 --  Sweetness overload! :) http://instagram.com/p/cXzYzWsq6j/ 
Sun Jul 28 18:45:01 PDT 2013 --  Jim Bean. #inumansessions #fruitsodachaser #hangover #alakpa http://instagram.com/p/cVPaJ2sq2d/ 
Fri Jul 26 21:44:50 PDT 2013 --  Basta driver.... :) http://instagram.com/p/cQaaIUsq6k/ 
Thu Jul 25 21:03:14 PDT 2013 --  After 48 years natapos din sa level 65. Ready na for the new quest. #candycrushsaga #candycrusher… http://instagram.com/p/cNwuQBMq8e/ 
Thu Jul 25 20:57:11 PDT 2013 --  My chicken adobo. #chefchris in the making #tagaluto :) http://instagram.com/p/cNwIZMsq7x/ 
Thu Jul 25 20:55:35 PDT 2013 --  Mega minion at El Macho's lair. #adiksaminions #despicableme http://instagram.com/p/cNv-trsq7i/ 
Thu Jul 25 20:51:56 PDT 2013 --  Wolverine in the making. Rarrr! :) #feelingero #hughjackman #wolverine #balbas #shavepagmaytime http://instagram.com/p/cNvjigMq7B/ 
Wed Jul 24 23:58:29 PDT 2013 --  #selfie din eh http://instagram.com/p/cLgG0Usq2n/ 
Sat Jul 20 03:42:15 PDT 2013 --  Tambay tambay din paminsan minsan #selfie na #tambay http://instagram.com/p/b_BuMAMq95/ 
Wed Jul 10 12:44:57 PDT 2013 --  Light breakfast. :) #foodporn #foodie #foodstagram #coffee #sardinesinoil #rice Good morning! :) http://instagram.com/p/bmP6ZHMqwU/ 
Tue Jul 09 19:02:36 PDT 2013 --  #lookup http://instagram.com/p/bkWVn9sq8r/ 
Mon Jul 08 06:16:19 PDT 2013 --  Cant get enough of these minions :) #minionrush #despicableme #gamemaster http://instagram.com/p/bgZ2hasq8L/ 
Sun Jul 07 06:18:59 PDT 2013 --  Steamed Tilapia with garlic and butter. Maraming nakamiss sa dish kong ito. Kain na! #foodporn #foodie… http://instagram.com/p/bd1XEOMqwo/ 
Fri Jul 05 15:29:13 PDT 2013 --  On my way to my P.E.T #selfie #onlyme #nakikiselfiedinpaminsanminsan #businessattire #formal #necktie… http://instagram.com/p/bZqbCcsq8B/ 
Wed Jul 03 19:48:48 PDT 2013 --  I can do this! #nakikiadik #candycrushsaga #kayakoyan http://instagram.com/p/bU-s__sq-D/ 
Wed Jul 03 19:46:22 PDT 2013 --  Di maka move on to the next level. #nakikiadik #candycrushsaga http://instagram.com/p/bU-a7vMq9d/ 
Tue Jul 02 23:18:27 PDT 2013 --  Karpintero mode muna. :) http://instagram.com/p/bSyC5tMqwr/ 
Mon Jul 01 23:14:26 PDT 2013 --  Ikaw, sinong pinagluluto mo? Idol sa kusina. Others live to eat, while others eat to live. http://instagram.com/p/bQMsw-sq3Z/ 
Wed Jun 19 03:17:24 PDT 2013 --  Teaching Rio. #ibon #africanlovebird #animalLover http://instagram.com/p/avKHP7sq8e/ 
Thu Jun 13 06:36:36 PDT 2013 --  Yolo. http://instagram.com/p/agESuiMq_S/ 
Sat Jun 01 01:56:09 PDT 2013 --  Bbvvcg
Fri May 31 21:19:29 PDT 2013 --  You can't put a good man down. #MayMaIpostLang #quoteoftheday
Tue Nov 13 05:47:59 PST 2012 --  “When words become unclear, I shall focus with photographs. When images become inadequate, I shall be content with silence.” ― Ansel Adams
