Thu Jul 30 13:15:07 PDT 2015 --  If had a dollar for every time someone called me ugly I'd be broke because I'm perfect
Sun Jun 21 20:43:25 PDT 2015 --  You know someone means a lot to you when their mood can easily affect yours
Sun Jun 14 17:18:06 PDT 2015 --  “I'm not very good at putting my feelings into words. That's why people misunderstand me.”
Tue Jun 23 01:07:50 PDT 2015 --  Drug Use is Life Abuse. Get High on Life, Not on Drugs.
Fri Jul 17 21:26:12 PDT 2015 --  God doesn’t have Twitter, but I follow Him.
Sat Jun 20 11:40:40 PDT 2015 --  i need more $$$ and less problems
Sun Jun 21 20:22:52 PDT 2015 --  you never realize how crazy you really are, until you start caring about somebody.
Thu Jun 25 12:45:19 PDT 2015 --  i don’t care about anyone else, i just want to be good enough for you
Thu Jun 25 18:47:20 PDT 2015 --  overdosing on overthinking
Fri Jun 26 08:40:33 PDT 2015 --  need someone who will stay with me no matter how hard I am to deal with
Sat Jun 27 17:49:00 PDT 2015 --  the people that actually try to stay in ur life are the only ones u really need
Mon Jun 29 19:18:53 PDT 2015 --  some days I just want to run away, turn off my phone and go somewhere to think all day
Sun Jul 19 01:02:27 PDT 2015 --  Thank God for another day, only by His grace.
Fri Jul 17 10:01:21 PDT 2015 --  Mi bby https://instagram.com/p/5PrDwctRFz/ 
Tue Jul 14 19:14:54 PDT 2015 --  I really could use some sleep right now
Tue Jul 14 19:12:29 PDT 2015 --  Me: *tries to go to bed at a reasonable time* Me: ah yes Me: 4am Me: perfect
Sun Jul 12 18:43:49 PDT 2015 --  Just posted a photo https://instagram.com/p/5Du4FINRLc/ 
Sat Jul 11 21:32:10 PDT 2015 --  Its all about the #location https://instagram.com/p/5BdWOBtRPA/ 
Fri May 22 04:50:02 PDT 2015 --  I notice everything, I just act like I don't.
Mon May 18 21:10:13 PDT 2015 --  i literally have no idea what im gonna do if i dont end up rich
Mon May 18 07:28:47 PDT 2015 --  I would close my eyes to sleep but didn't #dream no more.
Sun Apr 19 07:58:01 PDT 2015 --  If you want it, work for it. It's that simple.
Sun Apr 19 07:59:06 PDT 2015 --  Love doesn't need to be perfect, it needs to be true.
Thu May 14 11:30:03 PDT 2015 --  I need someone who will actually stay by my side, no matter what mood I'm in.
Sat May 16 06:25:26 PDT 2015 --  Me Bowlin undada d sunny, Gz camera 360
Thu May 14 14:41:32 PDT 2015 --  MUSIC: DJ Khaled – How Many Times Ft. Lil Wayne, Big Sean & Chris Brown http://wp.me/p5ZI7U-1pj 
