Tue Feb 03 01:00:49 PST 2015 --  #TeamBreezy – watch the premiere of #Ayo NOW on @Vevo: http://vevo.ly/DjxuhA 
Thu Dec 11 00:54:13 PST 2014 --  #MTVNews: @JColeNC takes shots at @Eminem, @IGGYAZALEA & @jtimberlake. http://oak.ctx.ly/r/26a19  pic.twitter.com/UHtDpK3wwA
Thu Dec 11 00:46:10 PST 2014 --  R I P #lilsnupe I LOVE U!!! #4life
Sun Oct 27 15:21:25 PDT 2013 --  Keep ur head up to d sky
Tue Aug 27 23:45:22 PDT 2013 --  Baba. God noni
Fri Jul 26 13:36:58 PDT 2013 --  RT @1Omarion: Don't miss @RickyRozay acting debut tonight @ 9pm on Starz hit show Magic City @MagicCity_Starz. http://youtu.be/-_1y6rBPJxs 
Fri Jul 26 14:25:35 PDT 2013 --  I tank God for today
Sun Jul 21 15:03:17 PDT 2013 --  Like d city can't hold us
Sun Jul 14 09:36:48 PDT 2013 --  "Heaven's Afternoon" -Wale x Meek
Sat Jul 13 20:17:32 PDT 2013 --  Strength in Numbers as a Culture is what we need!
Sat Jul 13 17:46:22 PDT 2013 --  pillow
Sat Jul 13 16:10:17 PDT 2013 --  #SelfMade3 coming soon and heavy
Sat Jul 13 08:29:34 PDT 2013 --  New Music: Ace Hood f/ Chris Brown - 'Rider' http://bit.ly/1b9T4HN 
Sun Jul 07 12:29:20 PDT 2013 --  Watch MTV JAMZ tmrw love! Fly shit! RT @NickiReigns: Mario Playing Too Much & Should Just Upload It To VEVO. @MarioSoulTruth
Sun Jul 07 12:28:12 PDT 2013 --  dem go talk
Sat Jul 06 14:33:11 PDT 2013 --  Thank you for allowing me to continue to inspire change in the world. Today was a great step forward! #UnityCampaign http://bit.ly/10G6gyg 
Wed Apr 17 10:25:23 PDT 2013 --  ur future is my past #
Tue Apr 16 13:47:26 PDT 2013 --  Can't get enough of this! #nickiminaj #lilwayne #highschool @NICKIMINAJ @LilTunechi pic.twitter.com/dt8AqhyUpu
Thu Mar 28 05:34:41 PDT 2013 --  Pple said Ȋ̝̊̅ wouldn't make it,dat Ȋ̝̊̅ will Neva get τ̅ d top,dere was notin dey could that will make ε stop so Ȋ̝̊̅ had 2 keep pushin
Thu Mar 28 05:02:35 PDT 2013 --  Fơ̴̴̴̴͡я̲̅ a̶̲̥̅ legend
Thu Mar 28 05:01:39 PDT 2013 --  Who's Michael Jackson? u'r Michael Jacksn,I'm Michael jacksn,we •̸ϞƔ Michael Jacksn,Ȋ̝̊̅ guess wat I'm askin ȋ̝̊̅§, everybdy bow their head
Wed Mar 27 00:03:30 PDT 2013 --  Better on the other side
Sun Mar 24 20:43:42 PDT 2013 --  Join the PowerCircle.. @MaybachMusicGrp | http://RozayRaw.com 
Sun Mar 24 20:45:41 PDT 2013 --  Mmmmmmmmmmaybach Music
Sun Mar 24 19:06:33 PDT 2013 --  I have NEVER been able to watch a man propose to a woman w/out tearing up! Thx Mendecees & Yandy!!! That was beautiful.
Sun Mar 24 19:02:47 PDT 2013 --  Big Time Rush – Like Nobody’s Around Lyrics http://bit.ly/ZNEn5c 
Sun Mar 24 19:02:47 PDT 2013 --  Emeli Sande – Here It Comes Lyrics http://bit.ly/X26RK4 
Sun Mar 24 19:02:46 PDT 2013 --  Kendrick Lamar Ft. Ab-Soul – Sail (Remix) Lyrics http://bit.ly/X26Plo 
Sun Mar 24 17:51:53 PDT 2013 --  I heard @Stalley first single salute I see u
Sun Mar 24 18:48:25 PDT 2013 --  Congrats to the @MiamiHEAT on their 26th straight win. I bet they rushed to locker room to watch the #Canes
