Thu Aug 27 23:07:06 PDT 2015 --  @sunaishaa You don't wanna know about my 3rd arm.
Thu Aug 27 22:55:17 PDT 2015 --  Idc if we have history I'll act like I never met you in my life.
Thu Aug 27 23:04:20 PDT 2015 --  @sunaishaa uno what it is
Thu Aug 27 06:33:29 PDT 2015 --  Hey girl you so fine, you so fine you blow my mind
Wed Aug 26 20:16:43 PDT 2015 --  YOO https://twitter.com/hegotclout/status/634860855499186176 …
Wed Aug 26 11:11:01 PDT 2015 --  RT to save a dumb hoe pic.twitter.com/VYgdR4K33L
Tue Aug 25 17:12:00 PDT 2015 --  Dream makeup! pic.twitter.com/bySexRBg01
Tue Aug 18 14:02:37 PDT 2015 --  pic.twitter.com/SBclvWPyAq
Wed Aug 19 16:25:30 PDT 2015 --  When ppl snap you but they also put it on their story gtf
Sun Aug 23 17:53:09 PDT 2015 --  what everyone needs tn pic.twitter.com/if4pDIkxvo
Sun Aug 23 11:43:22 PDT 2015 --  The most annoying part of the first day of school is the stack of paper they give for your parents to sign -.-
Sun Aug 23 20:30:23 PDT 2015 --  *locks phone* *closes his eyes and try's to go to sleep* ( 3 minutes later ) *opens phone* *open Twitter* ( 5 minutes later ) *repeats*
Fri Aug 21 18:49:37 PDT 2015 --  People: are u excited to come back to school? Me: https://vine.co/v/eDWHhFz5F3t 
Sun Aug 23 09:47:16 PDT 2015 --  this gonna be me on the first day of school https://vine.co/v/hYxWBdwYUBv 
Sun Aug 23 19:32:53 PDT 2015 --  Praying I have lunch with friends
Sun Aug 23 19:32:56 PDT 2015 --  yay. excitement too real pic.twitter.com/zAPF8jfMv1
Sun Aug 23 10:56:27 PDT 2015 --  Boys & school make me wanna kill myself
Sat Aug 22 14:34:51 PDT 2015 --  I don't think ppl fully understand how much their words can actually hurt someone, whether they are said in person or online
Sat Aug 22 21:29:50 PDT 2015 --  last night to stay up before school omg I'm depressed
Thu Aug 20 08:10:28 PDT 2015 --  Busta Rhyme's verse \ Look at Me Now pic.twitter.com/TE9Zevjqc4
Thu Aug 20 11:11:19 PDT 2015 --  Damn he killed it pic.twitter.com/0Afdt04TWP
Sat Aug 22 13:27:35 PDT 2015 --  SOMEONE DO THIS FOR ME https://twitter.com/girlfriendnotes/status/635186201960534016 …
Sat Aug 22 13:26:06 PDT 2015 --  I guess this is true pic.twitter.com/zK7BjLSKRu
Sat Aug 22 11:17:10 PDT 2015 --  LOL https://twitter.com/femaletexts/status/635145880795000832 …
Sat Aug 22 11:14:12 PDT 2015 --  @sunaishaa
Wed Aug 19 19:29:20 PDT 2015 --  The Weeknd - The Hills pic.twitter.com/Bg9g96xz4J
Fri Aug 21 11:19:29 PDT 2015 --  Dallas is waaaaayyyy better than Houston wth
Fri Aug 21 10:25:38 PDT 2015 --  This guys gonna be the person who greets people at the gate of jahanam and their tour guide lmao https://twitter.com/alihcx_/status/613842191954386944 …
Thu Aug 13 22:05:56 PDT 2015 --  the real question is why can't i look like zendaya?? pic.twitter.com/0q2oC5UvGA
Fri Aug 21 01:29:29 PDT 2015 --  @sunaishaa damn you pulling uncles too
Fri Aug 21 01:27:42 PDT 2015 --  when old uncles try to follow you.... wydd dada jaan??????? pic.twitter.com/vqUImCBGMI
Fri Aug 21 01:26:53 PDT 2015 --  Aw thank you https://twitter.com/afgeezy97/status/634641754956828677 …
Thu Aug 20 23:38:06 PDT 2015 --  You'll never be happy if your life revolves around competing with others and constantly comparing yourself. Life's too short for this
Thu Aug 20 23:40:17 PDT 2015 --  iA when I have a family my husband and I are never gonna compare our kids or ourselves to others. Enjoy with your family, don't compete
Thu Aug 20 23:41:42 PDT 2015 --  Allah will bless your life even more if you genuinely feel happy for others and their success. Our lord is beyond generous
