Mon Aug 24 17:00:01 PDT 2015 --  Swooping to the beat of his own drum in #NHL16 will be @BhawkTommyHawk. http://s.nhl.com/6017BHRFB  pic.twitter.com/2OqI6NiL1K
Sat Aug 01 10:02:53 PDT 2015 --  #DYK @RMHCmke takes care of families from all over NE WI & UP MI? #Donate today: http://bit.ly/1eHiArM  pic.twitter.com/6aWg2Hwp59
Thu Aug 13 07:56:29 PDT 2015 --  Waiting for the guest of honor to arrive. @NHLBlackhawks @keeperofthecup pic.twitter.com/wNmAt5Qe0p
Thu Aug 06 19:10:20 PDT 2015 --  They need to ask these suits why the Seahawks didn't run the ball #GOPDebate
Thu Aug 06 18:57:10 PDT 2015 --  Each time that bell rings, Chris Christie thinks he gets a hot pocket #GOPDebate
Thu Jul 02 06:24:41 PDT 2015 --  When life hands you lemons, throw them back & get lemonade @McD_NEWUP. #realstrawberries #noartificialflavors pic.twitter.com/SVfjqdf2lw
Wed Jun 03 10:18:02 PDT 2015 --  #DYK McD’s bought over 536,000 gallons of milk & >25 million lbs. of cheese from Wisconsin in 2014? #JuneDairyMonth pic.twitter.com/yBRj5M3oV0
Mon Jun 22 18:02:23 PDT 2015 --  These ladies are about to hang 4 goals on the board this half. Leggo! #USAvCOL #USWNT
Mon Jun 22 16:38:25 PDT 2015 --  Will the idiots who're still shilling for the confederate flag be joining the rest of us in rooting for the USA vs Colombia today, or nah?
Thu Jun 18 10:35:19 PDT 2015 --  Always classy #crOwMG. You are a beauty. #hawkstalk
Thu Jun 18 10:34:07 PDT 2015 --  Leave it to the Blackhawks to finally bring a championship trophy to Soldier Field. Paging Mr. Cutler. #hawkstalk
Thu Jun 18 10:19:39 PDT 2015 --  With great mustache comes great responsibility. Love Q. #hawkstalk
Thu Jun 18 10:16:05 PDT 2015 --  The Golden Jet! Nothing better than Bobby. Such a great guy. #hawkstalk
Thu Jun 18 09:11:11 PDT 2015 --  Wishing I was with my Hawks fans in the Chi. Streaming a sea of red from Downtown Dallas. #HawksTalk
Wed Jun 17 12:26:46 PDT 2015 --  appleton east debate has accomplished so much this year that no one expected us to and that is just really fucking awesome #proudcoach
Mon Jun 15 16:21:51 PDT 2015 --  Sweater weather in Dallas today. #BecauseItsTheCup #OneGoal pic.twitter.com/lgSql9Zjuj
Sat Jun 13 10:54:11 PDT 2015 --  If you have never been to Perry, Oklahoma, don't. Instead, take a shit and, before you flush, look at it. Boom. Trip saved. #shitholeUSA
Wed Jun 10 19:55:56 PDT 2015 --  Watching crow shut them down. #BecauseItsTheCup @NHLonNBCSports @NHLBlackhawks pic.twitter.com/z1yOM8WqNB
Wed Jun 10 19:51:24 PDT 2015 --  Crow. Like wow. #OneGoal #2winsaway
Wed Jun 10 17:23:00 PDT 2015 --  Time to change it up. Crawford jersey is on for the first time all playoffs. #BecauseItsTheCup #CHIvsTBL #OneGoal
Wed Jun 03 19:58:07 PDT 2015 --  I own t-shirts older than Teuvo. #firststar #CHIvsTBL #StanleyCupFinal
Wed Jun 03 19:32:31 PDT 2015 --  Keep shootin. Just keep shootin. #CHIvsTBL #StanleyCupFinal
Wed Jun 03 18:44:15 PDT 2015 --  Hedman can shove Veesteeg into the post and Veesteeg goes to the box. Ok. Makes sense.
Wed Jun 03 18:40:30 PDT 2015 --  Hossa misses the net AGAIN! Color me shocked! #CHIvsTBL #StanleyCupFinal #toddlershavebetteraim
Wed Jun 03 18:15:12 PDT 2015 --  2010 gm 1 Flyers scored first. 2013 gm 1 Bruins scored first. Play 60 minutes and it will be fine. #CHIvsTBL #StanleyCupFinal #dothething
Wed Jun 03 17:36:14 PDT 2015 --  Holy crap. The Lightning have all the jump right now. Hawks need to move their feet. #CHIvsTBL #StanleyCupFinal
Wed Jun 03 17:01:29 PDT 2015 --  It is time #CHIvsTBL #StanleyCupFinal pic.twitter.com/G0gwSIyEs1
Wed May 27 19:47:04 PDT 2015 --  https://youtu.be/E_B0rOLvAOo 
Wed May 27 19:37:04 PDT 2015 --  I am fairly certain that Corey Perry is a fan of the Duggar family.
Wed May 27 18:37:55 PDT 2015 --  SHOWTIME! That's hockey baby! #onegoal #CHIvsANA
Mon May 25 21:07:53 PDT 2015 --  I haven't had Starburst as juicy as that rebound. #CHIvsANA
Mon May 25 21:01:15 PDT 2015 --  Dat boy good. https://twitter.com/NHLonNBCSports/status/603046313752682496 …
Mon May 25 20:53:46 PDT 2015 --  BOOMSHACKALACKA #CHIvsANA pic.twitter.com/htG5OMvtNa
Mon May 25 20:48:18 PDT 2015 --  Johnathan Toews is not human.
Sun May 24 13:11:46 PDT 2015 --  I may not understand hoes, but I just planted one hell of a garden.
Sat May 23 20:47:47 PDT 2015 --  Cannot take more overtime. Heart palpitations. #CHIvsANA
