Sat Aug 22 19:22:57 PDT 2015 --  The most badass news headline ever. Merica. pic.twitter.com/Qa9lmk6Fva
Thu Aug 20 12:34:45 PDT 2015 --  I spoke with President Carter to wish him well, and he sounded strong. Bar and I are wishing him the very best as he fights the good fight.
Wed Aug 19 17:06:04 PDT 2015 --  Calling it like I see it. @realDonaldTrump is a tax-hiking democrat. https://youtu.be/boahINNLYUo 
Mon Aug 17 06:41:58 PDT 2015 --  Love this! --> Viral video of 11-week baby jumping shows the humanity of unborn children http://nrlc.cc/1NAwisy  #prolife
Mon Aug 10 19:09:56 PDT 2015 --  . @HillaryClinton fixed your logo for you. pic.twitter.com/141nXHQe4Z
Mon Aug 10 17:53:39 PDT 2015 --  "It's a marathon, not a sprint" #prayforbrandon http://prayforbrandon.com/blog/its-going-to-be-a-marathon …
Mon Aug 10 16:11:56 PDT 2015 --  http://ow.ly/QJFmu  Archbishop Chaput: Other moral issues not equivalent to abortion #Christian #Prolife
Sun Aug 09 19:38:12 PDT 2015 --  Today's update on our brother Brandon, continue to send your thoughts and prayers http://prayforbrandon.com/blog/better-days-to-come …
Sat Aug 08 12:03:47 PDT 2015 --  Perot gave us Clinton. Trump will give us Hillary. https://www.youtube.com/watch?v=gX08JmHgrno&feature=youtu.be …
Sat Aug 08 07:01:16 PDT 2015 --  . @GOP - it is better to risk losing w/out @RealDonaldTrump than trying to win w/him
Thu Aug 06 20:25:55 PDT 2015 --  "You were infuriatingly good at your job" - @StephenAtHome #JonVoyage
Thu Aug 06 19:28:49 PDT 2015 --  "We're not gonna win by dividing the country" - Jeb Bush. Amen to that. #GOPDebate
Thu Aug 06 18:42:15 PDT 2015 --  Years later, doctors will tell Donald Trump that he has an IQ of 48 and are what some people call mentally retarded. #GOPDebate
Thu Aug 06 18:35:36 PDT 2015 --  Can you believe Donald Trump won't commit to support the Republican nominee........unless it's him?
Thu Aug 06 18:31:53 PDT 2015 --  Does Mexico force many "bad people" into our country? We've said: Pants on Fire! #gopdebate http://www.politifact.com/truth-o-meter/statements/2015/jul/09/donald-trump/donald-trump-says-mexican-government-forces-many-b/ … pic.twitter.com/Db7VVOKJam
Thu Aug 06 18:26:55 PDT 2015 --  ummmm @realDonaldTrump must have missed last decade of campaigns -- says no one talking #immigration until he declared 4 #POTUS #GOPDebate
Thu Aug 06 18:27:34 PDT 2015 --  In a @GOP that continues to fail to engage Latino voters and women, Trump's comments are the absolute last thing the party needs
Thu Aug 06 18:06:18 PDT 2015 --  Let the Trump show begin. This man is making a mockery of the @GOP #GOPDebate
Thu Aug 06 18:02:00 PDT 2015 --  Donald Trump’s @PolitiFact scorecard True 0 Mostly True 6% Half True 9% Mostly False 13% False 50% Pants on Fire 22% http://www.politifact.com/personalities/donald-trump/ …
Thu Aug 06 17:59:26 PDT 2015 --  It'd be great if the moderators could shut up so the #GOPDebate could start
Thu Aug 06 16:31:17 PDT 2015 --  #JonVoyage Never cynical, always idealistic @TheDailyShow. History will show that you made politics fun once again for an entire generation!
Thu Aug 06 15:00:50 PDT 2015 --  Comparing SCOTUS marriage decision to Dred Scott is not the kind of talk that is going to put the @GOP in the White House. #HappyHourDebate
Thu Aug 06 10:23:54 PDT 2015 --  The number of presidential debates should be dictated by voters—not @TheDemocrats in Washington. #WeNeedDebate pic.twitter.com/s7VF3v3eAT
Tue Aug 04 15:04:18 PDT 2015 --  Fox News announces candidate line-up for prime-time debate #GOPDebate http://fxn.ws/1IKIdEl 
Tue Aug 04 15:34:17 PDT 2015 --  . @HillaryClinton what’s absolutely, unequivocally wrong is giving taxpayer $ to an org whose practices show no regard for lives of unborn
Mon Aug 03 16:16:05 PDT 2015 --  Today's medical update on our brother, @brandonbenesh #PrayForBrandon http://prayforbrandon.com/blog/the-long-road-begins …
