Wed Aug 26 12:45:46 PDT 2015 --  #SomosUno RT @ricky_martin: No mas agresiones a los latinos. BASTA YA http://noticias.univision.com/article/2443326/2015-08-26/impresiones/ricky-martin-no-mas-agresiones-a-los-latinos …
Fri Aug 14 05:26:43 PDT 2015 --  Pareciera jugador masanti https://twitter.com/Destino_ESPN/status/631923458432192513 …
Thu Jul 30 17:05:39 PDT 2015 --  watched on #Periscope: el presidente que es ahora de conmebol https://www.periscope.tv/w/aIqzMDk2NzUyMjZ8NTA0OTQ3OTEPtV-69UgmjHiA8t8IR-aagMwNU8Q2SmPQQAkjU9XZKw== …
Sun Jul 26 19:49:38 PDT 2015 --  La verdad que esta copa oro dejan más las sabores de boca k buenos y seguir aprendiendo el dinero lo puede todo https://twitter.com/VitaPedroESPN/status/625489230337282049 …
Sun Jul 19 19:57:44 PDT 2015 --  Sigue la corrupción en el fútbol en este torneo de concacaf ya desde mucho está tendrían que revisar #NoEraPenal
Sun Jul 19 19:50:18 PDT 2015 --  Una porquería así cualquiera llega largo lo malo y molesta k le votan el trabajo a las demás seleciones jugaron mal o no. #MEXvCRC
Thu Apr 16 20:27:18 PDT 2015 --  Así fue el sarcástico reproche de Guardiola a sus doctores | Portada | http://flip.it/TdsHD  http://flip.it/fQpRx 
Sat Apr 04 18:17:28 PDT 2015 --  pic.twitter.com/wST3UfD0Mo
Sat Feb 07 22:27:26 PST 2015 --  Hermano me gustaría que subiera unos phone jack en youtube nuevo me fácina tu programa desde Missouri
Fri Jan 16 18:56:06 PST 2015 --  Feliz fin de semana Nena / “ @katiayary: @luisitafernanda LUISITAAA BESOS Y ABRAZOS DESDE PUERTO RICOOOOO EXITO SIEMPREEE”
Mon Jan 12 05:31:14 PST 2015 --  Suerte eres el mejor #MessiBalondeOro
Mon Jan 12 01:33:51 PST 2015 --  Consigue los últimos pronósticos y noticias meteorológicas de http://m.es.weather.com 
Wed Jan 07 20:12:40 PST 2015 --  http://m.accuweather.com/es/us/st-charles-mo/63301/hourly-weather-forecast/329436 …
Fri Nov 21 08:12:02 PST 2014 --  . @MariaESalinas Llegó el día que millones han estado esperando http://1.uni.vi/0BKf3 
Fri Nov 14 20:21:08 PST 2014 --  Mis hijos bellos los amo pic.twitter.com/VWMlV7znvt
Sat Oct 25 18:06:58 PDT 2014 --  En mi cumpleaños pic.twitter.com/x3dWE7bmQx
Fri Oct 24 11:19:38 PDT 2014 --  suerte@JordiAlba
