Thu Aug 27 20:53:25 PDT 2015 --  @0mudbonesmacker @GoonSquadRec #theneverendingstory
Thu Aug 27 12:21:12 PDT 2015 --  I expect all the heat from @GoonSquadRec too have finally have simmer down and peace is hopefully official
Thu Aug 20 14:31:39 PDT 2015 --  its dank boys https://youtu.be/7yuKT2jr2TI  via @YouTube
Wed Aug 19 11:24:44 PDT 2015 --  The war in Ukraine its an inside job... #Chechen #Confirmed pic.twitter.com/dqw4XwtuTo
Mon Aug 17 19:23:31 PDT 2015 --  George Zimmerman is selling confederate flag art. We're not joking. http://trib.al/EeULVnT 
Mon Aug 17 17:36:42 PDT 2015 --  Back in Toronto and where are the two diss tracks yarden?
Wed Aug 12 18:43:42 PDT 2015 --  My Ottoman Empire in EU4 to its greater glory #Turan #EU4 #Paradox #Epic pic.twitter.com/Ozjok5S54N
Wed Aug 12 00:13:09 PDT 2015 --  Happy birthday to #Yardenhaddi hope his rap career goes to the same toilet bowl he records his music in #happybirthdayYardenHaddi
Tue Aug 11 13:22:30 PDT 2015 --  The only fire #Yardenhaddi is spiting is with the help of all the piss he's been gargling in his mouth for the years that I've known him for
Sat Aug 08 02:18:50 PDT 2015 --  #InCrete #AlreadycloggedthetoiletinCrete pic.twitter.com/azJ79tXFCb
Fri Aug 07 12:08:57 PDT 2015 --  Pro y's new mix tape cover photo #30$ pic.twitter.com/JyBJpT49u5
Thu Aug 06 04:34:55 PDT 2015 --  #InGreece pic.twitter.com/Q9tZcxcqCH
