Sun Aug 23 06:13:30 PDT 2015 --  When people who don't fuck with you still views your snapchat story pic.twitter.com/Vr050W3pOc
Thu Aug 20 07:25:03 PDT 2015 --  I like my men like I like my motorcycles. Low maintenance and easily ridden
Wed Aug 19 09:18:08 PDT 2015 --  yoo, s/o to the homie @ochocinco. hard work pays off. 100% real. pic.twitter.com/ymcB0LOEJ2
Wed Aug 19 10:31:54 PDT 2015 --  Wow this is gorgeous pic.twitter.com/v9b4KgtQ5c
Wed Aug 19 12:00:16 PDT 2015 --  . @dylansprouse you need this? pic.twitter.com/DtahPFYGYp
Wed Aug 19 23:15:04 PDT 2015 --  When someone says they're voting for Hillary https://vine.co/v/eb9Xvh5xr3x 
Thu Aug 20 00:18:02 PDT 2015 --  moms: "YES, WHAT?" (Vine by WTF VON) https://vine.co/v/enp7zKbx6T2 
Tue Aug 18 22:09:54 PDT 2015 --  3rd night w/out leaving office. The watercooler is now my wife. The postits are our children. My therapists's worried (he's the photocopier)
Tue Aug 18 10:53:53 PDT 2015 --  egg
Mon Aug 17 22:05:02 PDT 2015 --  me when @NICKIMINAJ snatched this hoe in under 5 mins pic.twitter.com/POxyg9xpr5
Tue Aug 18 01:06:55 PDT 2015 --  does this bitch ever have a bad photo? pic.twitter.com/oEtuqnLTFy
Tue Aug 18 04:01:27 PDT 2015 --  Lebron James - To bail out on your team when times get tough. I'm going to pull a Lebron James and sign with a different team.
Mon Aug 17 14:11:38 PDT 2015 --  lmao he got a hat trick pic.twitter.com/sIIAB3e2an
Sun Aug 16 14:15:13 PDT 2015 --  I THOUGHT THIS VIDEO WAS JUST GOING TO BE WHITE GIRLS DANCING WTFFFFFF pic.twitter.com/LOvFANQz8S
Mon Aug 17 14:14:07 PDT 2015 --  38 pic.twitter.com/7hH9M1zZeT
Mon Aug 17 09:52:21 PDT 2015 --  if my girl and i break up, i'm changing my netflix password. she isn't about to be cuddled up with another nigga on my $9 a month.
Mon Aug 17 10:02:13 PDT 2015 --  Neptune's kiss - The name given to the water splash which wets ones bottom when excreting a particularly heavy shit when sat on the toilet.
Mon Aug 17 01:10:27 PDT 2015 --  When you wake up in the middle of night and realize you still have time to sleep pic.twitter.com/HUGsMaPMqc
Sun Aug 16 19:46:26 PDT 2015 --  how is there so much sand in my bed. why does god punish me like this
Sat Aug 15 13:03:03 PDT 2015 --  Some of yall #NowImMad videos be like pic.twitter.com/Jpi4rFlzeJ
Sat Aug 15 12:41:19 PDT 2015 --  I need this couch in my life pic.twitter.com/pp8zXN66oh
Fri Aug 14 23:09:57 PDT 2015 --  I love pushing a fart out until it sounds like wet mush...... #relatable
Fri Aug 14 05:19:41 PDT 2015 --  Pigeon caught flying drugs into prison http://trib.al/PZSJO4S  pic.twitter.com/XpJTMBtmov
Sat Aug 15 09:24:58 PDT 2015 --  this kids savage https://twitter.com/thecheerbook/status/632577683902361600 …
Sat Aug 15 08:00:58 PDT 2015 --  Cock pushup - It's when you fuckin' lay down flat on the ground and let your boner lift you up off the ground.
Fri Aug 14 14:24:25 PDT 2015 --  I was in the process of making a #NowImMad video when I realized the window was open& my neighbors could hear me pic.twitter.com/3Dt3Tlk7io
Fri Aug 14 21:18:05 PDT 2015 --  This is still the best 🏼🏼🏼 #NowImMad pic.twitter.com/Bb0GGSpGEA
Sat Aug 15 07:24:46 PDT 2015 --  DONE WITH YOU FLORIDIANS #NowImMad pic.twitter.com/ddZAuBhujJ
Sat Aug 15 07:33:35 PDT 2015 --  THIS IS THE BEST ONE YET pic.twitter.com/hwO9kTxgWT
Sat Aug 15 01:06:45 PDT 2015 --  Underwear weather
Fri Aug 14 22:00:47 PDT 2015 --  Birthday - The celebration of the occasion of which you exited a vagina. Not to be confused with sex.
Thu Aug 13 16:01:30 PDT 2015 --  Wangsta - Wannabe gangster, some people think the phrase is linked with wanksta which is not a word.
Thu Aug 13 18:01:15 PDT 2015 --  Pumpkin Smuggler - A woman with breasts so outrageously large, she appears to be smuggling pumpkins beneath her blouse.
Fri Aug 14 05:01:41 PDT 2015 --  World of Warcrafturbation - The act of masturbating while playing World of War Craft. Usually done by geeks and weirdo's.
Thu Feb 19 13:12:21 PST 2015 --  He bummed me hard & fast, the noise of his nuts slapping against my Dirty Den sounded like a fat chick walking on a wet beach in flip flops
