Fri Aug 21 09:16:19 PDT 2015 --  #Twitstórico de 1911: Vincenzo Peruggia roba La Gioconda pic.twitter.com/Oe0DkdtCSg
Sat Feb 01 17:01:46 PST 2014 --  "El hombre que se levanta es aún más grande que el que no ha caído". #ConcepciónArenal
Fri Jan 31 22:14:20 PST 2014 --  "Uno comete errores, que es la vida. Pero nunca es un error haber amado". #RomainRolland
Mon Apr 08 21:26:31 PDT 2013 --  ¡Feliz Cumpleaños, Vladimir! Arlín te envió un collage de cumpleaños http://fb.me/GKXuBRYG 
Sat Apr 06 21:27:36 PDT 2013 --  ¡Feliz Cumpleaños, Katt! Arlín te envió un collage de cumpleaños http://fb.me/ynAiaXgC 
Thu Apr 04 21:24:37 PDT 2013 --  ¡Feliz Cumpleaños, Yklaw! Arlín te envió un collage de cumpleaños http://fb.me/1FRiS6Pyf 
Tue Apr 02 21:25:41 PDT 2013 --  Hoy cumplen años Ricardo y Yeyi Morales. http://fb.me/1sxVRdnnS 
Sun Mar 31 21:24:15 PDT 2013 --  Hoy cumplen años Estrella, Mich, Salomon, Salo y 1 otro. http://fb.me/1cK2T22Eo 
Sat Mar 30 21:24:22 PDT 2013 --  Hoy cumplen años Rey y Pitty. http://fb.me/2EiAlLVcL 
Wed Mar 27 21:24:59 PDT 2013 --  ¡ María Guadalupe, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/2syAGst5i 
Fri Mar 22 21:15:00 PDT 2013 --  Leo Tu Horóscopo Diario http://fb.me/2RIpu7GZO 
Fri Mar 22 21:14:53 PDT 2013 --  Leo Tu Horóscopo Diario http://fb.me/2mKyfymBc 
Thu Mar 21 21:29:09 PDT 2013 --  ¡Feliz Cumpleaños, Ing Omar! Arlín te envió un collage de cumpleaños http://fb.me/1YY9Q1VDN 
Mon Mar 18 21:27:02 PDT 2013 --  ¡ Israel, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/Ze3gRJHZ 
Sun Mar 17 21:25:38 PDT 2013 --  ¡ Fabys, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/HRgAJ7HQ 
Fri Mar 15 21:26:02 PDT 2013 --  ¡ Ingrid, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/2vRnPgZoM 
Wed Mar 13 21:25:39 PDT 2013 --  ¡ Joseph, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/1WCfi5oTM 
Wed Mar 06 20:25:37 PST 2013 --  ¡ Juan Miguel, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/1AZ2gJhUy 
Mon Mar 04 20:25:18 PST 2013 --  ¡Feliz Cumpleaños, Lucy! Arlín te envió un collage de cumpleaños http://fb.me/GvInjQak 
Sun Mar 03 20:27:21 PST 2013 --  ¡ Rogelio, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/24iT67lJy 
Sat Mar 02 20:26:02 PST 2013 --  ¡ Roberto, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/1WNA2Egbv 
Fri Mar 01 20:27:08 PST 2013 --  ¡ Luis Rey, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/xXQR16PF 
Thu Feb 28 20:27:59 PST 2013 --  ¡ Shantil, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/1zwAmnlaQ 
Wed Feb 27 20:28:37 PST 2013 --  ¡Feliz Cumpleaños, Vilex! Arlín te envió un collage de cumpleaños http://fb.me/2fvJ9YmEy 
Tue Feb 26 20:27:04 PST 2013 --  ¡Feliz Cumpleaños, Noe! Arlín te envió un collage de cumpleaños http://fb.me/2H7DI3Zdf 
Sun Feb 24 20:25:03 PST 2013 --  ¡ Inti Eduardo, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/1ZyJdIpN4 
Tue Feb 19 20:26:39 PST 2013 --  ¡Feliz Cumpleaños, Ricardo! Arlín te envió un collage de cumpleaños http://fb.me/sxhpEN8G 
Thu Feb 14 20:25:22 PST 2013 --  ¡Feliz Cumpleaños, J.r.! Arlín te envió un collage de cumpleaños http://fb.me/2fBdaizjK 
Thu Feb 14 20:25:16 PST 2013 --  ¡Feliz Cumpleaños, Isma! Arlín te envió un collage de cumpleaños http://fb.me/1fSeznx4C 
Thu Feb 14 20:25:14 PST 2013 --  ¡Feliz Cumpleaños, Cris! Arlín te envió un collage de cumpleaños http://fb.me/21vtKNUKc 
Tue Feb 12 20:27:06 PST 2013 --  ¡Feliz Cumpleaños, Luis! Arlín te envió un collage de cumpleaños http://fb.me/2l3qIh8oo 
Tue Feb 12 20:27:00 PST 2013 --  ¡Feliz Cumpleaños, Nayra! Arlín te envió un collage de cumpleaños http://fb.me/X0k28CdX 
Fri Feb 08 20:25:47 PST 2013 --  ¡Feliz Cumpleaños, Guillermo! Arlín te envió un collage de cumpleaños http://fb.me/IYFFGVez 
Fri Feb 08 20:25:45 PST 2013 --  ¡Feliz Cumpleaños, Javier! Arlín te envió un collage de cumpleaños http://fb.me/2bUymeWaV 
Fri Feb 08 20:25:43 PST 2013 --  ¡ Juan, Feliz cumpleaños! ¡Eres uno de los recordatorios de cumpleaños de Arlín! http://fb.me/2ApGOXLbp 
Wed Oct 31 14:44:46 PDT 2012 --  jajajaja ya ven mujeres somos una chingonería =) http://fb.me/JQcz1yMt 
Mon Oct 29 19:00:02 PDT 2012 --  =)INTERESANTE PARA LOS JEFES DE HOY, ESTO YA NO APLICA ESAS PRÁCTICAS SON DE LA VIEJA ESCUELA Un jefe no sólo... http://fb.me/1tCaYNAjC 
Fri Oct 26 09:00:22 PDT 2012 --  LISTOS PARA NUEVO MÓDULO!!! =) http://fb.me/2ecPdjCyr 
Fri Oct 26 08:17:16 PDT 2012 --  Las batallas de la vida no siempre favorecen al hombre más fuerte o al más rápido, pero tarde o temprano el... http://fb.me/1NNMiXvhC 
Thu Oct 25 15:17:43 PDT 2012 --  viejos tiempos de prepa! http://fb.me/1IB3FxyGB 
Thu Oct 25 14:42:14 PDT 2012 --  "Si no te quieren como tu mereces, no será que mereces algo mejor? Quiérete, valórate. =)
Wed Oct 24 13:32:57 PDT 2012 --  No conozco la clave del éxito, pero la llave del fracaso es tratar de agradar a todos. =)
Tue Oct 23 12:34:49 PDT 2012 --  Pero que viaje tan padre =) http://fb.me/1Jf1hNZNg 
Mon Oct 22 16:41:01 PDT 2012 --  Y que tiembla¡
Fri Oct 19 18:56:16 PDT 2012 --  He publicado una foto nueva en Facebook http://fb.me/20YFzOLJR 
Fri Oct 19 18:20:48 PDT 2012 --  He publicado una foto nueva en Facebook http://fb.me/1l8yquv0C 
