Mon Jul 27 17:28:27 PDT 2015 --  pic.twitter.com/9HWPC3ERci
Fri Jul 17 17:13:07 PDT 2015 --  Lt. Col. Ralph Peters (Ret.): "Until we go on the offensive, the terror will not end." #OReillyFactor pic.twitter.com/adniQlfT9Z
Fri Jul 17 17:19:46 PDT 2015 --  Ralph Peters: "Terrorists don't have rights. Get over it... We are in a war & we're pretending we're in a debate." pic.twitter.com/enJxP2kmoQ
Wed Feb 01 19:40:32 PST 2012 --  @iansomerhalder please RT: Jonathon Webb is fighting for his life right now. He needs all the support he can get. #wedobelieveinfairies
Wed Feb 01 19:38:29 PST 2012 --  @RealAngieJolie please RT: Jonathon Webb is fighting for his life right now and needs all the support he can get. #wedobelieveinfairies
Wed Feb 01 19:30:43 PST 2012 --  @CoryMonteith please RT: Jonathon Webb is fighting for his life and needs all the community help he can get! #wedobelieveinfairies
Wed Feb 01 19:29:00 PST 2012 --  @msleamichele please RT: Jonathon Webb is fighting for his life and needs all the community help he can get! #wedobelieveinfairies
Wed Feb 01 19:27:26 PST 2012 --  @KChenoweth please RT: Jonathon Webb is fighting for his life and needs all the community support he can get! #wedobelieveinfairies
Wed Feb 01 19:25:29 PST 2012 --  @janemarielynch please RT: Jonathon Webb is fighting for his life. He needs all the community support he can get. #wedobelieveinfairies
Wed Feb 01 19:23:43 PST 2012 --  @RyanMurphy30 please RT: Jonathon Webb is fighting for his life. He needs all the help he can get! #wedobelieveinfairies
Wed Feb 01 17:21:55 PST 2012 --  @ActuallyNPH please repost: Jonathon Webb is putting up the fight for his life. He needs all the help he can get. #wedobelieveinfairies
Wed Feb 01 17:20:02 PST 2012 --  @TheEllenShow please repost: Jonathon Webb is putting up the fight for his life. He needs all the help he can get. #wedobelieveinfairies
Wed Feb 01 17:17:42 PST 2012 --  @kathygriffin please repost: Jonathon Webb is putting up the fight for his life. He needs all the help he can get. #wedobelieveinfairies
Wed Feb 01 17:16:02 PST 2012 --  @georgetakei please repost: Jonathon Webb is putting up the fight for his life. He needs everyone's support. #wedobelieveinfairies
Wed Feb 01 16:49:36 PST 2012 --  @andersoncooper please repost for Jonathon Webb, bravely fighting for his life: @wedobelieveinfairies
Wed Feb 01 16:46:07 PST 2012 --  @mrskutcher please repost for Jonathon Webb, fighting desperately for life: #wedobelieveinfairies http://yfrog.com/mn900ysj 
