Sat Aug 29 08:36:02 PDT 2015 --  Buenos días orgullo de su nación.
Sun Aug 23 15:03:07 PDT 2015 --  No great thing is created suddenly
Sat Aug 29 08:36:43 PDT 2015 --  Im gonna pass again in awhile to take another picture, craziest shit, a tunnel made of trees
Sat Aug 29 08:35:54 PDT 2015 --  Covered in trees. @wizkhalifa don't stop. Just keep going up... IM YOUNG pic.twitter.com/jrT0o6I9NG
Sat Aug 29 06:59:58 PDT 2015 --  What are you doing there? just taking pictures sir, because the best lightning is early in the morning did you know that? Good morning.
Sat Aug 29 06:55:51 PDT 2015 --  Eat at highhop
Sat Aug 29 06:54:17 PDT 2015 --  Vicious circle.
Sat Aug 29 06:53:16 PDT 2015 --  If you don't fuck with us, that's fine
Sat Aug 29 06:50:43 PDT 2015 --  It doesn't get more natural than this. Trees. Not killing them. #Parkour #420 pic.twitter.com/bYR1th1CIV
Sat Aug 29 06:44:34 PDT 2015 --  And USA God Bless America
Sat Aug 29 06:44:11 PDT 2015 --  We love weed
Sat Aug 29 06:43:13 PDT 2015 --  Gravity
Sat Aug 29 06:42:49 PDT 2015 --  Get your lungs ready
Sat Aug 29 06:41:28 PDT 2015 --  -What are you doing bro? -Exploring Saturn bro wbu?
Sat Aug 29 06:40:40 PDT 2015 --  Grape pic.twitter.com/hIKzkFyCLN
Sat Aug 29 06:39:45 PDT 2015 --  damn another day of NOT hurting anybody and having fun
Sat Aug 29 06:38:52 PDT 2015 --  nigga suck a dick just let me smoke my b**
Sat Aug 29 06:35:30 PDT 2015 --  Luces cámaras y acción
Sat Aug 29 06:20:11 PDT 2015 --  Snapchat history in 5
Sat Aug 29 06:19:54 PDT 2015 --  Add me on snapchat. andresmartinezd
Sat Aug 29 06:13:23 PDT 2015 --  pic.twitter.com/VH3Q71tvFS
Sat Aug 29 06:11:37 PDT 2015 --  Clockwise.
Sat Aug 29 06:10:29 PDT 2015 --  Connosseur.
Sat Aug 29 06:09:39 PDT 2015 --  Joint operations by the lake pic.twitter.com/Yz0zwkxGmJ
Sat Aug 29 05:57:39 PDT 2015 --  Another right right here, right? Careful, stunt driver. pic.twitter.com/UyB6B1shWm
Sat Aug 29 05:38:02 PDT 2015 --  El tiempo es imaginario como sus opiniones sobre el estilo de vida 24/7 #420 -A
Sat Aug 29 05:34:45 PDT 2015 --  Parkour shit
Sat Aug 29 05:34:28 PDT 2015 --  Oh yes.
Sat Aug 29 05:23:39 PDT 2015 --  Breakfast In America. pic.twitter.com/sTZcbT2buG
Sat Aug 29 05:07:26 PDT 2015 --  James Bond shit. pic.twitter.com/NH0j1pesMz
Wed Aug 26 17:45:31 PDT 2015 --  I know my limit...I just like setting records
Fri Aug 28 11:43:35 PDT 2015 --  welcome to the 1% pic.twitter.com/hzcEWL24Sk
Fri Aug 28 10:20:06 PDT 2015 --  WHEN YOU PLAY TOO MUCH GTA pic.twitter.com/Wx19e2Gbv0
Sat Aug 29 03:27:23 PDT 2015 --  If you must lie, lie in the arms of your loved one. -Hitch
Thu May 21 17:28:30 PDT 2015 --  I want a girl with no titties so I can hear the sound of her heart beating
