Fri Aug 28 13:34:22 PDT 2015 --  Weed Firm 2: Back to College. Check out the famous weed growing game. Featuring shrooms and aliens! http://m.onelink.me/1e329fd3  #WeedFirm
Thu Aug 27 05:25:31 PDT 2015 --  GAMEDAY. 7:00. Be there, be loud. #BeatSweetwater
Fri Aug 21 09:53:33 PDT 2015 --  @jdeleon6286 You made the right choice, enjoy your #GalaxyNote5! #TheNextBigThing
Fri Aug 21 09:42:00 PDT 2015 --  “Yes! Yes! Yes!” Is how you’ll react to getting a new #GalaxyS6edgePlus, a $200 credit and Tab 4 for free. https://cards.twitter.com/cards/8pi2a/umsk …
Wed Aug 19 08:53:51 PDT 2015 --  Want an invite to get the new #OnePlus2? You have to find the #OnePlusQ tweet first. pic.twitter.com/FtAWMSqmZJ
Sat Jun 13 13:35:30 PDT 2015 --  RULE #33: SHE A HOE IF SHE EVER BUY YOU NEW VIDEO GAMES. A HOE SEES GIFTS AS A WAY TO DISTRACT YOU SO SHE CAN FUCK OTHER NIGGAS IN PEACE
Wed Aug 19 10:37:00 PDT 2015 --  School shopping finished
Sat Aug 15 00:21:58 PDT 2015 --  y'all this my last year of school.
Thu Aug 13 13:10:17 PDT 2015 --  Never forget when Ryan Seacrest tried to high five a blind guy https://vine.co/v/MD1pxzx1Uil 
Thu Aug 13 10:42:28 PDT 2015 --  Teen Shot and Killed by Police over a Joint https://greenrushinvestors.com/killed-by-police-over-a-joint/ …
Tue Aug 11 13:53:21 PDT 2015 --  Follow us, reply with why you need a new phone using #LGG4sweepstakes, enter to win. Rules: http://on.fb.me/1N1aSrn  pic.twitter.com/0rMHRdL3wK
Thu Aug 13 10:38:26 PDT 2015 --  @jdeleon6286 We're lucky to have you in the #GalaxyFamily, Josh.
Thu Aug 13 09:38:42 PDT 2015 --  One big decision, two great choices. But you’ll have to play favorites. #TheNextBigThing pic.twitter.com/4wnXFevw0B
Wed Aug 12 15:02:49 PDT 2015 --  2003 Cadillac CTS - Silver $5,000.00 #2003 #CadillacCTS #Cadillac #Silver #ThreeKingsMotors… http://www.threekingsmotors.com/main/2003-cadillac-cts-silver-5000-00/ … pic.twitter.com/aCGJ4Ezb8u
Thu Aug 13 08:41:32 PDT 2015 --  Don't care what anyone says, getting them damn KD MVP Suit joints
Wed Aug 12 08:09:04 PDT 2015 --  Drake's "Back to Back" is charting higher than any Meek Mill song. pic.twitter.com/Y64BCpsPuQ
Sat Aug 08 15:08:28 PDT 2015 --  I won an @8ballpool match - I'm pretty much unbeatable. Play me now! http://8bp.co/PIRV53 
Sat Aug 01 20:59:35 PDT 2015 --  i hate the cowboys only like dez bryant the reciever
