Tue Aug 11 00:20:25 PDT 2015 --  Все мы Саши из 3-го класса pic.twitter.com/Wcrixcr5Lt
Mon Jun 15 03:00:46 PDT 2015 --  Как же меня Заебал этот пух
Thu Jun 11 17:53:11 PDT 2015 --  Когда к утру уже становится скучно,пойте и несите чушь,как мы с Кириллом. 11.06.15 pic.twitter.com/aauLfDGPHK
Thu Jun 04 11:01:03 PDT 2015 --  Во 2 раз мы готовы пройти весь город полностью,устать как чурки на стройке,но гулять мы будем! pic.twitter.com/T6xBBwxror
Thu Jun 04 09:44:23 PDT 2015 --  мы очень мило сегодня вписались к детям, которые шли на подготовку к небеске
Wed Jun 03 04:35:18 PDT 2015 --  Лучше бы за коррупцией так следили, как за выпускниками на экзаменах.
Mon Jun 01 12:32:09 PDT 2015 --  Отличная прогулочка с мадам Тулиновой, даже дождик не испортил планов
Mon May 25 06:56:46 PDT 2015 --  Заболел
Sat May 23 02:04:01 PDT 2015 --  Трезвость Трезвост Трезвос Трезво Трезв Трез Тре Тр Т Текилу и вискарь, пожалуйста.
Tue May 19 21:39:06 PDT 2015 --  @mudakoff регулярно позволяю себе не ходить на пары
Sat May 09 05:22:57 PDT 2015 --  Бессмертный полк – отличная акция! Наконец вспомнили не о начальстве, а о простых солдатах, которые ценной своей жизни Победили!
Fri May 08 15:09:00 PDT 2015 --  С праздничком.
Thu May 07 10:56:06 PDT 2015 --  Хотя бы попытайтесь pic.twitter.com/Ra348ybD0f
Thu May 07 06:14:34 PDT 2015 --  главное эффектно появиться©
Mon Apr 20 01:20:29 PDT 2015 --  "В 2014 год Россия продала оружия на $9 млрд, а студия Уолт Дисней продала мультиков на $48 млрд" Радость и смех стоят дороже войны и горя
Sun Apr 19 05:25:25 PDT 2015 --  "Господь Бог" ну и самооценка у вас, Артем Мирасов.....
Sun Apr 19 06:07:44 PDT 2015 --  звизда спорта артем мирасов!!!!!!!!!!!!!!!!!
