Mon Aug 17 20:41:52 PDT 2015 --  -¿cual es el resultado de la mentira? -que no te crean cuando dices la verdad... #Aristoteles
Thu Mar 19 20:09:44 PDT 2015 --  “No escondas de mí tu rostro en el día de mi angustia; Inclina a mí tu oído; Apresúrate a responderme el http://bible.com/149/psa.102.2.rvr1960 …
Mon Jan 05 19:57:24 PST 2015 --  Temamos, pues, no sea que permaneciendo aún la promesa de entrar en su reposo, alguno de vosotros parezca no haberlo… http://bible.com/149/heb.4.1.rvr1960 …
Mon Jan 05 19:54:59 PST 2015 --  Por tanto, hermanos santos, participantes del llamamiento celestial, considerad al apóstol y sumo sacerdote de nuest… http://bible.com/149/heb.3.1.rvr1960 …
Mon Jan 05 14:44:30 PST 2015 --  HeyHey< Esplotare mi alegria y no me abergonzare asi sere yo para siempre http://hyhy.co/p/ZuH0.ZD 
Sun Jan 04 19:37:45 PST 2015 --  La blanda respuesta quita la ira; Mas la palabra áspera hace subir el furor. http://bible.com/149/pro.15.1.rvr1960 …
Wed Dec 31 10:14:52 PST 2014 --  HeyHey< Luchemos mis aldeanos juaaaa es hora de un misterio http://hyhy.co/p/zdWt.ZD 
Thu Dec 11 15:20:19 PST 2014 --  El amor no existe y los estereotipos sociales http://youtu.be/DUb0q5cwZWE 
Thu Dec 11 14:58:22 PST 2014 --  Shade Man Stage - Horror Fortress - Megaman 7 Music Extended http://youtu.be/4ZiZAIQW6H8 
Mon Dec 08 14:34:41 PST 2014 --  Si contara las estrellas supiera cual es la bendición que me tiene DIOS pic.twitter.com/kK7ICtKx7b
Sat Nov 29 07:26:21 PST 2014 --  DIOS mío hoy me siento muy preocupado y no me lo puedo quitar jaaaaaaaaaaaaaa DIOS mío tu sabrás pic.twitter.com/mAWhyxpCeT
Fri Nov 28 17:32:59 PST 2014 --  Hoy pensaré todo a mi buen objetivo y no a los malos pensamiento
Mon Oct 06 16:29:58 PDT 2014 --  Un mundo tan misterioso descúbranlo pic.twitter.com/2hbBAPy5nj
Sun Oct 05 14:37:02 PDT 2014 --  El DIOS MÁS GRANDE ME GUARDARA
Thu Oct 02 17:38:52 PDT 2014 --  Es bonito tener a DIOS en nuestras manos y en el corazon
