Thu Nov 06 15:47:42 PST 2014 --  https://www.facebook.com/stephanie.rojas.73/posts/10102983544195550 …
Sat Sep 20 08:41:56 PDT 2014 --  Bruh yes! pic.twitter.com/SQplnNMDv5
Sun Feb 06 22:21:02 PST 2011 --  [아이폰 위치추적어플 진돗개] 02월07일AM12시20분59초, 당신의 아이폰으로부터 현재위치 신호가 수신되었습니다. 현재 위치를 확인하시려면 아래 링크를 클릭하세요 http://maps.google.com/maps?q=33.0027,-97.057
Sun Jan 16 14:40:14 PST 2011 --  [아이폰 위치추적어플 진돗개] 01월16일PM04시40분10초, 당신의 아이폰으로부터 현재위치 신호가 수신되었습니다. 현재 위치를 확인하시려면 아래 링크를 클릭하세요 http://maps.google.com/maps?q=32.7707,-97.096
Fri Nov 05 10:13:10 PDT 2010 --  @polanco216 Hi, Minji... Happy Birthday!!! 계속 예쁘게 자라렴...
Wed Nov 03 18:37:47 PDT 2010 --  @polanco216 아니... 저 밑에 보면 이외수 선생이 올린글을 보고 답글을 한거지...
Wed Nov 03 17:15:34 PDT 2010 --  난 오히려 추운게 더 좋아... 겨울아 빨리 와다오!
Wed Nov 03 17:14:17 PDT 2010 --  선녀를 그리 빨리 알아보시다니... 아마 당신은 선남이 틀림이 없군요...
Wed Nov 03 17:11:49 PDT 2010 --  어제 하루종일 비가오더니 하늘이 깨끗하게 변했다. 마치 세차를 한것같이...
Thu Jul 15 17:14:14 PDT 2010 --  I wish I can type Korean on my iPad :( New firmware for iPad has been released today, but I don't think there will be a Korean support...
Fri Jun 26 13:11:11 PDT 2009 --  I wish every one have a wonderful weekend.
