Sat Aug 29 11:25:31 PDT 2015 --  Ice Cube's son>
Sat Aug 29 11:19:45 PDT 2015 --  Srsly. Mom said shutup cuz I sound so bad. https://twitter.com/isabella_150/status/637690128492707840 …
Thu Aug 27 13:10:07 PDT 2015 --  50cents corndog day>>
Thu Aug 27 09:08:55 PDT 2015 --  Hey @moorekiara23 so I'm just chillin in the office, and I found u THE PERFECT boyfriend ur welcome
Thu Aug 27 07:44:07 PDT 2015 --  Hey, yea you. I know youre probably beating yourself up cuz you disobeyed God. Jesus forgave you, now forgive yourself and follow Christ
Wed Aug 26 12:10:06 PDT 2015 --  Dude. Check yourself. "Ride or die" does not mean I stay by u while u try and run around. U ain't playing that card on me.
Wed Aug 26 11:46:13 PDT 2015 --  Chilllllllll pic.twitter.com/p5zPY6ge7j
Sat Jan 24 07:21:05 PST 2015 --  It Just Take One Second. pic.twitter.com/ZSCp1uegdz
Tue Aug 25 12:22:58 PDT 2015 --  Imagine if u were paid to be ugly...
Tue Aug 25 04:45:02 PDT 2015 --  Bout cried because I thought my new $200 straightener was already broken... Then I realized the switch was on OFF?
Mon Aug 24 18:38:42 PDT 2015 --  #HTGAWM 9.24.15
Mon Aug 24 15:26:52 PDT 2015 --  If u tell me to do something(even nicely), I'm still gonna b pissed cuz u tryna tell me what to do.
Mon Aug 24 15:22:32 PDT 2015 --  Playing for you Fluke. We love you. pic.twitter.com/lQfrqHGcce
Mon Aug 24 14:40:24 PDT 2015 --  Lol same https://twitter.com/thefunnyvine/status/635880114736140288 …
Sun Aug 23 19:24:48 PDT 2015 --  Why does this SoMo concert cost so freakin much!¡
Sun Aug 23 15:42:12 PDT 2015 --  Guys make me sad. Just leave me alone
Sun Aug 23 13:22:28 PDT 2015 --  Mom: "Katie you need to tell him to space chat you!"
Sun Aug 23 05:50:47 PDT 2015 --  Why is my mom seriously threatening me n gonna turn my phone off because I lost a pack of bobby pins, and wasn't up by 7:30??? Is this legal
Fri Aug 21 18:49:37 PDT 2015 --  People: are u excited to come back to school? Me: https://vine.co/v/eDWHhFz5F3t 
