Fri Aug 28 09:46:23 PDT 2015 --  See "white privilege" et al. https://twitter.com/tanehisicoates/status/637299823914450944 …
Fri Aug 28 09:30:24 PDT 2015 --  Sadly not. https://twitter.com/tanehisicoates/status/637300850138984448 …
Mon Aug 17 17:14:51 PDT 2015 --  #McDonalds is poppin in Taiwan tho. https://twitter.com/complexmag/status/633429198116397056 …
Mon Aug 03 13:58:55 PDT 2015 --  Pick a lane. #luxemeetstechfail https://twitter.com/mims/status/628291690005049344 …
Sat Aug 01 14:30:35 PDT 2015 --  The next Dylann Roof? #BlackLivesMatter #stonemountainpark #f@ckyoflag pic.twitter.com/6W2RsJFodn
Fri Jul 24 18:07:03 PDT 2015 --  Barry Bonds deserves to be in the Hall of Fame, @HarveyAraton writes http://nyti.ms/1HOmqtK  pic.twitter.com/DUQHVYoEAb
Mon Jul 20 02:19:33 PDT 2015 --  #MyUnpopularBlackOpinion Larry Elder is a self-hating sellout.
Sun Jul 19 16:16:48 PDT 2015 --  Kendrick Lamar's lyrics ain't deep. #MyUnpopularBlackOpinion
Sun Jul 19 11:59:44 PDT 2015 --  #BernieSoBlack He cares if people eat pic.twitter.com/pTXeYzT06f
Sun Jul 19 14:02:09 PDT 2015 --  #BernieSoBlack he on tht real like free college tuition, income inequality, single-payer healthcare, living wages ... #ready4revolution #fb
Sun Jul 19 13:16:03 PDT 2015 --  #BernieSoBlack on fleek. #Bernie2016 #fb
Mon Jul 13 13:18:03 PDT 2015 --  You gon' learn ... #cryinggame #dallasmavericks https://instagram.com/p/5FuY4elfmC/ 
Mon Jul 06 21:26:12 PDT 2015 --  "Bass Will Be Lakers' Best Glue Guy in a Long Time" via @TeamStream http://bleacherreport.com/articles/2516195-brandon-bass-will-be-best-glue-guy-la-lakers-have-had-in-a-long-while?utm_campaign=tsiphone&utm_medium=referral&utm_source=twitter.com …
Thu Jun 11 19:15:26 PDT 2015 --  If Delly commits tht foul against Steph he gets death threats. Bogut gets atta boys for a good hard foul. #callbullshit #NBAFinals
Thu May 28 21:31:34 PDT 2015 --  Respect The Beard. Monster season @JHarden13. #realmvp #nbastyle #alexandermcqueen pic.twitter.com/bjOTxT04MJ
Mon May 11 17:05:18 PDT 2015 --  El #JohnWall aka The Nubian Matador. Ole! https://twitter.com/dannysince94/status/597908885308080128 …
Mon Apr 13 07:11:30 PDT 2015 --  Can't talk direwolves & dragons now cause I'm still on this #fuckyourbreath sh#t listening to NWA. #BlackLivesMatter #GameofThrones #fb
Thu Mar 26 04:27:41 PDT 2015 --  Tweetin is for birds. Birds is some young ass hoe in a rap song. How u gon let yo son see u actin like a young ass hoe #TweetLikeDameDash
Sun Feb 08 13:12:28 PST 2015 --  The legs alone on this woman are the size of two chubby 4-year olds. #shitisay
Sun Feb 01 17:21:43 PST 2015 --  Katy Perry picked a horrible time to play dance dance revolution for the first time.
Sun Jan 11 16:00:24 PST 2015 --  Paris Is Marching. #JeSuisCharlie pic.twitter.com/WxDMVyRNNk
Wed Dec 03 11:05:00 PST 2014 --  “ @desusnice: Hov used to be a savage till Yonce threw that blessed golden creole cooch to tame him” #coochiesaves
Sat May 03 16:11:02 PDT 2014 --  My fav nicknames this season. Krazy Glue-Tony Allen. Furious Styles-Westbrook. Hustle & Flow-Wall/Beal. Phrase-Lance'll make em dance. #NBA
Sat Apr 26 16:32:33 PDT 2014 --  Sterling basically articulated Plantation Politics...Make money off the Bucks/Lay with the Women/No Association in Public good or bad
Sat Apr 26 18:42:43 PDT 2014 --  “ @pitchforkmedia: DJ Rashad has died http://p4k.in/QQcFFe ” Juke Master ... R.I.P.
Sat Apr 26 18:05:09 PDT 2014 --  “ @TMZ: Donald Sterling -- Ironically Slated to Receive NAACP Award Next Month http://tmz.me/1kgCOaE ” Lord help these Uncle Tom ass negro's
Sat Apr 26 06:30:03 PDT 2014 --  Breaking News: Donald Sterling has officially released Chris Paul from the Clippers and signed Cliven Bundy to play point guard.
Thu Apr 24 15:30:13 PDT 2014 --  Hips don't lie? One (small) study finds that women who predominantly engaged in one-night stands had wider hips. http://53eig.ht/1iiQnaY 
Sat Apr 19 22:01:11 PDT 2014 --  Questlove up in herr killin it at theJQ.
Tue Apr 15 07:33:51 PDT 2014 --  Armed #rightwingthugs brazenly appropriate federal land and punk the govt. Their punishment: take your shit & go home? #WhitePriviledge
Fri Jan 10 23:02:28 PST 2014 --  Give a man a compliment and he'll feel good for a day. Teach him to fish for compliments and he'll feel empty for life, on Twitter non-stop.
Sun Mar 30 19:08:52 PDT 2014 --  “ @killfukmary: i hope capitalism wrote me into its will” #metoo
