Thu Aug 27 16:51:40 PDT 2015 --  School these days care more about dress-code than education
Sat Aug 29 04:36:32 PDT 2015 --  Separating your needs from those of everyone around you can be... More for Pisces http://bit.ly/xHSyh0 
Fri Aug 28 04:27:41 PDT 2015 --  The stars in your eyes twinkle brightly as you step outside of... More for Pisces http://bit.ly/xHSyh0 
Thu Aug 27 04:27:32 PDT 2015 --  Your intuition continues to work its magic, but the positive i... More for Pisces http://bit.ly/xHSyh0 
Wed Aug 26 04:27:04 PDT 2015 --  Much to your delight, it appears as if people just want to mak... More for Pisces http://bit.ly/xHSyh0 
Tue Aug 25 04:26:59 PDT 2015 --  You can rely on your peers to cheer you along your path today ... More for Pisces http://bit.ly/xHSyh0 
Mon Aug 24 04:27:06 PDT 2015 --  Your intuition channel is wide open today, whether or not you ... More for Pisces http://bit.ly/xHSyh0 
Sun Aug 23 04:26:52 PDT 2015 --  Your world view is expanded through your relationships while t... More for Pisces http://bit.ly/xHSyh0 
Sat Aug 22 09:27:32 PDT 2015 --  girl in the purple dress definitely has a black boyfriend lmfao pic.twitter.com/A5b2x5gpnV
Thu Aug 20 20:27:08 PDT 2015 --  if your mom and dad are still together you don't understand how lucky you are
Fri Aug 21 17:09:21 PDT 2015 --  Feels pic.twitter.com/1nm1ybqkWN
Wed Aug 19 19:52:54 PDT 2015 --  4 moods pic.twitter.com/QhuRRdgG0U
Sat Aug 22 16:22:15 PDT 2015 --  I just wonder what happened to my boyfriend today
Fri Aug 21 18:40:09 PDT 2015 --  This school year rey be interesting
Sat Aug 22 04:26:37 PDT 2015 --  You want to take control of your day by making a schedule and ... More for Pisces http://bit.ly/xHSyh0 
Sat Aug 22 00:25:03 PDT 2015 --  Some crazy shot goin on outside my apartment building
Fri Aug 21 04:25:52 PDT 2015 --  You love swimming in open waters where there are no boundaries... More for Pisces http://bit.ly/xHSyh0 
Thu Aug 20 16:26:24 PDT 2015 --  I don't believe Lala cheated on Melo🏾
Thu Aug 20 13:10:23 PDT 2015 --  Caitlyn Jenner could face involuntary manslaughter charge for car crash. http://cnn.it/1HYqELM  pic.twitter.com/Qh3QWLI1jE
Fri Jul 03 09:30:18 PDT 2015 --  A man with dreams needs a woman with vision.
Thu Aug 20 11:05:08 PDT 2015 --  I'm gonna steam my face and apply a honey and cinnamon mask
Sun Aug 16 09:05:20 PDT 2015 --  Always check your cell signal when looking for new apartments or dorms to live in.
