Tue Aug 18 05:45:37 PDT 2015 --  Get handpicked outfits shipped to your door. $25 OFF @Bombfell with my invite link https://www.bombfell.com/?rc=177867TJGhO  And no, I didn't get hacked!
Thu Aug 06 19:15:45 PDT 2015 --  Real talk: if you actually support Donald Trump, I can't help you. Nor do I want to.
Mon Jul 20 23:59:01 PDT 2015 --  Everything you ever wanted to know about pork roll / Taylor ham, a #NJ classic http://www.eater.com/2015/7/16/8962643/pork-roll-taylor-ham-new-jersey?utm_medium=social&utm_source=twitter&utm_campaign=eater&utm_content=National … pic.twitter.com/aXC6MDUGJr
Thu Jun 18 12:42:01 PDT 2015 --  1970 Ford Mustang Mach 1. pic.twitter.com/jt5z4uwU4a
Thu Jun 18 04:29:53 PDT 2015 --  Stepped out of my door this morning and thought my house had been transported to the Amazon. #ItsNotTheJungleJustTheSouth #Humidity
Tue May 19 21:01:16 PDT 2015 --  Retweet for a chance to win a #GalaxyS6 w/ #GorillaGlass4 #sweeps http://bit.ly/1bSjO21  pic.twitter.com/bhnBxLN3Qg
Thu Apr 23 05:40:23 PDT 2015 --  RT @CNET: Set sail on Millennium Falcon? A Disney cruise ship snags a "Star Wars" upgrade http://cnet.co/1GiWMyM  pic.twitter.com/SlLHOVee7K
Fri Apr 10 08:34:36 PDT 2015 --  Can't stand the #Gators! #Jorts #Dawgs #UGA pic.twitter.com/FPKUa7tTYG
Thu Mar 19 13:07:56 PDT 2015 --  RJ Hunter game winning three #SCTop10 #GoState
Thu Mar 19 12:49:15 PDT 2015 --  HE FELL OUT OF HIS DANG CHAIR https://vine.co/v/OYuU2mwnaie 
Wed Mar 18 12:15:16 PDT 2015 --  1969 Ford Mustang Mach 1. pic.twitter.com/ZAmvMS4jfh
Sun Mar 08 07:08:35 PDT 2015 --  Sunday morning run with my brother. https://instagram.com/p/z-DJtHjU0h/ 
Wed Mar 04 04:50:28 PST 2015 --  I just entered to win $40k with #mortgagekickstart! Try your luck at http://rltor.cm/2hxvi 
Wed Feb 25 10:44:19 PST 2015 --  Watch a live stream of our show tomorrow night at 9:05pm ET on @YahooScreen! https://Yahoo.com/live  #YahooLive pic.twitter.com/LOeq3vmGei
Mon Feb 23 17:42:20 PST 2015 --  It's an honor to be recognized by Georgia State University and the J. Mack Robinson College of Business. https://lnkd.in/eUZpmCt 
Mon Feb 23 11:00:42 PST 2015 --  We are just under 300 followers away from becoming the first school with 200,000 followers! RT and help us get there! pic.twitter.com/REf7Z1Jfon
Thu Feb 19 14:30:19 PST 2015 --  Should Georgia teachers get raises for master's degrees -- or performance? The debate at 5:45. http://2wsb.tv/1z4bPTN  pic.twitter.com/l0YggeCD2e
Thu Jan 29 07:14:02 PST 2015 --  Celebrating success in math ...Ron Clark Academy style! #BravesCaravan https://vine.co/v/OtW51iWaJgQ 
Tue Jan 20 18:50:10 PST 2015 --  I hate to be so simple, but after 6 yrs all I hear this man say is, "just keep working so people who don't work get more free stuff" Tuneout
Mon Jul 06 17:55:49 PDT 2009 --  Now we have OnDemand again.
Mon Jul 06 17:53:13 PDT 2009 --  Waiting for Comcast technician to call me back. Two minutes late and counting...
Mon Jul 06 13:09:28 PDT 2009 --  I love you nope them words can explain.
Mon Jul 06 07:42:00 PDT 2009 --  Not surprised, nor shocked. Just disappointed.
Fri Jul 03 09:38:07 PDT 2009 --  Trying to figure out where I want to escape to for lunch.
Fri Jul 03 07:50:40 PDT 2009 --  After 2 failed delivery attempts, I now have my X Box back.
Tue Jun 30 16:12:50 PDT 2009 --  I love being ignored at home improvement stores.
Tue Jun 30 14:43:39 PDT 2009 --  My luck today sucks. I give up.
Tue Jun 30 14:25:11 PDT 2009 --  Going to Home Despot to find a ceiling fan bracket.
Tue Jun 30 12:16:18 PDT 2009 --  Comcast sucks. That is all.
Mon Jun 29 18:51:42 PDT 2009 --  Had a great evening me trivia at Starbucks and dinner with the wife and her mom.
Sun Jun 28 18:58:47 PDT 2009 --  Watching the Yankees and winding down after a long day. Looking forward to a day off of work on The 4th.
Fri Jun 26 18:01:30 PDT 2009 --  Had a flaming, gay waiter at dinner tonite. No, that is not redundant. If was actually on fire at one point. P.S. Life needs more fe ...
Thu Jun 25 16:10:28 PDT 2009 --  Michael Jackson died. There are a million jokes there, but I'm taking the high road tonight.
Thu Jun 25 10:19:00 PDT 2009 --  Getting ready to go to work for the second time today.
Wed Jun 24 19:01:59 PDT 2009 --  I wonder what I'm going to do with myself when I'm not working more than 60 hours a week.
Wed Jun 24 06:40:42 PDT 2009 --  Flying solo again at work today... sort of. At least Steph is here to help me out. Lets hunker down and see how today goes.
Tue Jun 23 19:14:26 PDT 2009 --  Lets try this again tomorrow Yanks.
Tue Jun 23 16:01:54 PDT 2009 --  Just got to our seats. More Yanks fans than Braves fans.
Tue Jun 23 12:48:05 PDT 2009 --  Can't wait to go to the Yankees game with Dad.
Tue Jun 23 06:56:23 PDT 2009 --  Just watched an old lady slam into a parked truck. Further proof that the elderly should take driving tests yearly.
Mon Jun 22 16:51:46 PDT 2009 --  Winding down after work, preparing myself for more work tomorrow. At least there's a Yankees game for me at the end of tomorrow.
Sun Jun 21 03:31:05 PDT 2009 --  Just proved that Monroe really is only 15 minutes from my house, provided there is no traffic and I catch all the lights.
Fri Jun 19 15:03:47 PDT 2009 --  Really, ESPN? Chris Berman calling the US Open? Well, it could be worse. At least he sounds like he has a pulse.
Fri Jun 19 10:05:04 PDT 2009 --  Reading Ender's Game for probably the fourth time km my life.
Fri Jun 19 04:11:17 PDT 2009 --  Hoping to survive another day of playing motorcycles.
Thu Jun 18 18:14:33 PDT 2009 --  Just got home from a great Japanese meal. Now digesting and waiting for Royal Pains to start. Surprisingly good show.
Thu Jun 18 09:51:43 PDT 2009 --  Waiting for this shift to end so I can go to my other job.
Wed Jun 17 18:11:13 PDT 2009 --  Just signed up for twitter. Lets see how this tweeting stuff goes...
