Mon Aug 24 17:28:33 PDT 2015 --  This lady said,"my name is heavenly...or he'll whichever side you want"
Sat Aug 22 15:10:28 PDT 2015 --  You fucked up when you tried to limit me by telling me what I "can't"do..now watch me show you what GOD and I can
Fri Aug 14 22:25:13 PDT 2015 --  Bills on Payday I feel as though they're yelling "Run me my money,Run me my money" in @Iam_kashdoll 's voice
Thu Aug 06 08:41:42 PDT 2015 --  any friend turned into a enemy been hating 🏾 #Period
Sun Aug 09 20:38:11 PDT 2015 --  How can you expose somebody you once was In love with
Fri Aug 07 22:03:21 PDT 2015 --  God gave you life. If you can't seem to wake up and realize that this is the last one you'll ever get then you don't deserve what you want.
Fri Aug 07 21:26:57 PDT 2015 --  I had to bring @Iam_kashdoll with me into Corporate Merica && blast her music so I could relax lol ..it's the thug in me
Fri Aug 07 21:25:32 PDT 2015 --  #RandomThought: Why does Future rap in cursive??
Fri Aug 07 09:09:04 PDT 2015 --  Friday Friday Friday
Sat Aug 01 15:20:24 PDT 2015 --  Childish Gambino - Sweatpants pic.twitter.com/orTeODJnvv
Tue Aug 04 13:08:27 PDT 2015 --  https://twitter.com/HipHopCult/status/624808586049273856 …
Sun Aug 02 21:51:23 PDT 2015 --  Moi pic.twitter.com/t0EewoBIsi
Sun Aug 02 21:13:08 PDT 2015 --  I love the South!
Fri Jul 31 18:54:21 PDT 2015 --  #DTE showed so much love http://instagram.com/p/50rGu8CRQq/  pic.twitter.com/L6vZYIOEO5
Fri Jul 31 19:01:10 PDT 2015 --  I've come to the conclusion that my man will not be from the city
Sun Aug 02 18:09:23 PDT 2015 --  #snapchat NiaAkilah. .what's yours?
Fri Jul 31 05:36:41 PDT 2015 --  I just got the "I can't wait to meet you"e-mail so it looks like the mtg is on
Fri Jul 31 05:32:34 PDT 2015 --  I really hope that this meeting is canceled I'm so unprepared
Thu Jul 30 22:12:42 PDT 2015 --  They Didn't Want Their Child To Sit Near Him, But They Are Shocked When They Learn Who He Is http://bit.ly/1CtFoXG  pic.twitter.com/vvTPE2PiCo
Thu Jul 30 19:29:48 PDT 2015 --  My aunt is really trying to marry me off to a marine that's a different kind of #craycray no thank you
Thu Jul 30 17:31:24 PDT 2015 --  Then she told me,"I'm Ray Charles to the bullshxt" who is this woman.??
Thu Jul 30 17:30:53 PDT 2015 --  Example,she walked into my house talking about someone while saying #BBHMM I can't
Thu Jul 30 17:30:14 PDT 2015 --  So lately my Mom has been saying some off the wall ish..
Thu Jul 30 10:46:37 PDT 2015 --  Random:what ever happened to Rich Boy??
Thu Jul 30 00:01:58 PDT 2015 --  just gotta keep it goin
Wed Jul 29 12:00:37 PDT 2015 --  Respect and Fear are not interchangeable
Wed Jul 29 12:00:14 PDT 2015 --  Dehydration sucks
Wed Jul 29 11:59:37 PDT 2015 --  #drakebelike if you're trying to come for me..it's too late
Wed Jul 29 10:49:42 PDT 2015 --  Smh yall better stop underestimating the yellow fellow @Drake
Wed Jul 29 10:28:07 PDT 2015 --  Twitter Is Out Of Control #BackToBack pic.twitter.com/xDtmPSCDgT
Tue May 05 15:49:05 PDT 2015 --  I like all my S's with two lines thru them shits.
Wed Jul 29 10:14:57 PDT 2015 --  I'm attracted to intelligence, ambition, and the kindness of their soul. Looks are bonus but it's exterior, what matters is on the inside.
Tue Jul 28 23:53:42 PDT 2015 --  I've been gone for too long,everything looks so different
Sat Dec 06 20:25:12 PST 2014 --  Guess who just remembered their Twitter password lol..What's up guys?
Sat Aug 16 04:12:45 PDT 2014 --  " @taaaaaurus: #Taurus meshes well with #Capricorn and #Cancer!"I've been tellin you to snatch that cancer lol @1chelschels9
Sat Aug 16 04:10:29 PDT 2014 --  " @taaaaaurus: #Taurus Dolls are picky when it comes to dating. She knows her worth." @1chelschels9
Wed Aug 13 14:19:49 PDT 2014 --  " @1chelschels9: " @BestOfTaurus: If you want to be really late, rush a #Taurus." Yes this is you @_LoveNiaAkilah"lmaooo really bro
