Sat Aug 29 03:50:44 PDT 2015 --  "My goal is to build a life I don't need a vacation from."
Sat Aug 29 09:08:26 PDT 2015 --  Pocahontas
Sat Aug 29 03:58:51 PDT 2015 --  Police say the ex-boyfriend later turned the gun on himself & is in critical condition. More next on #ActionNewsJax https://twitter.com/ericaanjax/status/637578515425181696 …
Fri Aug 28 05:30:52 PDT 2015 --  pic.twitter.com/2FYUShnFgJ
Fri Aug 28 19:57:25 PDT 2015 --  In the mood to take 30 shots and slap a bitch
Fri Aug 28 19:07:54 PDT 2015 --  I hate the jags, but always down for the after parties at mavs 🏽
Fri Aug 28 18:32:59 PDT 2015 --  pic.twitter.com/XSWhxDD4VU
Fri Aug 28 18:10:39 PDT 2015 --  In the mood to get rid of everything in my closet and start fresh
Fri Aug 28 16:05:43 PDT 2015 --  Life would be complete if I had a Louis
Fri Aug 28 14:23:45 PDT 2015 --  Here's Dodger right before our walk today. Watch it at 5:30! You'll be amazed by how much energy he has. @ClayHumane pic.twitter.com/lbKLuS18nq
Fri Aug 28 12:29:20 PDT 2015 --  will let u go with a warning if u give him biscuits pic.twitter.com/Z7wsabmO8G
Fri Aug 28 12:33:21 PDT 2015 --  ...live a life worthy of the Lord and plead him in every way. -Colossians 1:10
Fri Aug 28 08:31:50 PDT 2015 --  To go to the beaches or nahhh....
Fri Aug 28 06:29:06 PDT 2015 --  @heyyouknow no chance with... LaQuisha just entered the contest
Thu Aug 27 23:10:23 PDT 2015 --  When you watch someone get tased good job @JSOPIO !!
Thu Aug 27 22:25:47 PDT 2015 --  There's a difference between running away and avoiding someone. clearly you're a scared little piece of shit.
Thu Aug 27 19:49:23 PDT 2015 --  Where is @Jessicaleehall I have my can of whoop ass
Thu Aug 27 16:56:35 PDT 2015 --  Try avoiding us tonight and you will find yourself outside. I own that place
Thu Aug 27 15:44:02 PDT 2015 --  Ruben Ebron has been charged by #JSO with Attempted Escape from jail and 3 other new charges. #FINDLONZIE #JAX https://www.facebook.com/JacksonvilleSheriffsOffice/photos/a.103669232895.100082.27576742895/10153110984027896/?type=1&theater …
Thu Aug 20 14:46:01 PDT 2015 --  When will I be enough of an adult to stop having exclusively mac and cheese for dinner?
Thu Aug 20 14:36:01 PDT 2015 --  "But I'm only having one donut" pic.twitter.com/aObiTaZi7h
Sat Aug 08 14:18:13 PDT 2015 --  Sorry I haven't texted you in a while. I haven't been drunk enough.
Thu Aug 20 08:34:48 PDT 2015 --  Thursday. The most useless day. It only exists as a reminder that it's been a really long week...and its still not over.
