Fri Aug 28 20:20:51 PDT 2015 --  No matter what...marriage before ministry always
Wed Aug 26 03:54:40 PDT 2015 --  God I need you
Tue Aug 25 18:08:33 PDT 2015 --  God we need you to be the healer we know you are right now...
Sat Aug 22 17:10:42 PDT 2015 --  As a youth pastor I owe so much to this lady right here. She was one of my youth ministry directors… https://instagram.com/p/6tIz2tn_3m/ 
Fri Aug 21 22:16:20 PDT 2015 --  Woke up @7, worked 9:30-5:30, drove church bus picking up kids 6-7, youth explosion 7-9:30, drove kids home 9:30-10:30, back in @11 #Tired
Thu Aug 20 05:19:22 PDT 2015 --  Stop standing before it's too late. Take the first step! #WalkingInFaith pic.twitter.com/yBSbzSy4VO
Tue Aug 18 10:34:29 PDT 2015 --  "We've gotten so caught up in saving souls that we've forgotten to save lives."-Dean Rob Nash #McafeeSchoolOfTheologyFoundersDay
Sat Aug 15 15:04:38 PDT 2015 --  What the wife had on our itinerary today. First time getting a pedicure. Not bad at all. Feet feeling… https://instagram.com/p/6a40cZn_4L/ 
Sat Aug 15 07:31:47 PDT 2015 --  Long overdue much needed self-care day
Fri Aug 14 17:09:20 PDT 2015 --  A huge thank you to the Elkins family for an amazing meal and evening! We had a great time!! #FeedTheBears pic.twitter.com/URlzvbjkih
Thu Aug 13 06:32:52 PDT 2015 --  Don't give up in the wait. While we're WAITING...God is WORKING #ItsGonnaWorkOut pic.twitter.com/WiQNX9DTKp
Fri Aug 07 21:28:32 PDT 2015 --  One of my places to go eat whenever im home in Florence is Casa Mexicana. Glad I got my nachos tonight! Lol
Thu Aug 06 19:55:50 PDT 2015 --  Yea ask the Black man how to fix the racism and the racial Divide. #GopDebate
Thu Aug 06 19:57:32 PDT 2015 --  Carson responds make eloquent comment abt the absurdity of the existence of race; makes as absurd statement abt the existence of RACISM!
Thu Aug 06 18:36:42 PDT 2015 --  Will we hear #BlackLivesMatter or nahh
Thu Aug 06 18:40:11 PDT 2015 --  Shots fired between Christie and Paul #GOPDebate
Thu Aug 06 18:32:01 PDT 2015 --  FOX is going to do everything they can to try to move Donald Trump from the top of the polls #GOPDebate
Thu Aug 06 18:08:11 PDT 2015 --  This is already entertaining #GOPDebate
Thu Aug 06 05:37:49 PDT 2015 --  Don't let the challenge you see ahead make you RELUCTANT...but look at it and be even more READY to get it done pic.twitter.com/5KpnZaDiEM
