Sat Aug 29 10:16:04 PDT 2015 --  Благодарность pic.twitter.com/YF2HjK5kP1
Sat Aug 29 10:25:36 PDT 2015 --  Сегодня Майклу Джексону исполнилось бы всего 57. pic.twitter.com/XaP0Wki4zz
Sat Aug 29 10:29:02 PDT 2015 --  У зверей закон такой: Умрет она, умрет и он... А у людей закон иной Умрет она, а он к другой. pic.twitter.com/v1BlAVRU8V
Sat Aug 29 10:35:33 PDT 2015 --  Если не ретвитнешь, то твой телефон сломается pic.twitter.com/xTt6CVML6e
Sat Aug 29 08:26:21 PDT 2015 --  Дизайнер представил концепт iPhone 7 с изогнутым экраном и хромированным корпусом pic.twitter.com/6dx94xbuMV
Sat Aug 29 09:37:02 PDT 2015 --  И чтоб семья могла сложиться, Нам браки нужно создавать Не с тем, с кем хочется ложиться, А с тем, с кем хочется вставать! Аксенева
Sat Aug 29 09:23:02 PDT 2015 --  Мужчины, прежде чем копаться в женской "сучности", надо разобраться в своей "кобелючности"...
Fri Aug 28 11:03:16 PDT 2015 --  Благодаря родителям, у нас есть все. pic.twitter.com/G2Vn0CCOgv
Wed Aug 26 12:05:16 PDT 2015 --  Люди нашего времени pic.twitter.com/5sxfIdK74U
Wed Aug 26 09:56:03 PDT 2015 --  Иногда слишком страшно, когда все зависит только от тебя. pic.twitter.com/zC9R6F559e
Wed Aug 26 09:23:03 PDT 2015 --  pic.twitter.com/MZX8Eh4dvt
Wed Aug 26 08:24:31 PDT 2015 --  Чем больше вам пофиг, тем счастливее вы будете.
Tue Aug 25 11:16:11 PDT 2015 --  Собака - единственное животное, которое любит тебя больше, чем себя pic.twitter.com/wpbxUjGlYV
Wed Aug 26 00:03:28 PDT 2015 --  Счастье своё ...держать надо крепко. И людям его ...показывать редко... pic.twitter.com/2M2TDBUFQr
Wed Aug 26 00:03:55 PDT 2015 --  Правило трёх "с": с мужчиной не должно быть страшно, стыдно, скучно! pic.twitter.com/tB2Ke8aQsO
Sun Aug 23 12:20:03 PDT 2015 --  Женщина должна принять в жизни одно решение-с каким мужчиной идти по жизни. Остальные решения принимает мужчина. pic.twitter.com/n5xCdHd0ct
Sun Aug 23 12:15:02 PDT 2015 --  pic.twitter.com/of9J3F7H4L
Sun Aug 23 11:40:02 PDT 2015 --  Так будет всегда! pic.twitter.com/7K8zn25cLW
Sun Aug 23 11:38:02 PDT 2015 --  Вид с 121-го этажа Шанхайской башни, Китай. pic.twitter.com/UfG9zbQsCD
Sun Aug 23 11:35:15 PDT 2015 --  Коты-ниндзя pic.twitter.com/DSWe0sSjub
Fri Mar 23 15:00:59 PDT 2012 --  Худшая работа в мире ) это точно )) pic.twitter.com/yfQkCvaV
Sat Aug 22 17:15:02 PDT 2015 --  pic.twitter.com/u65H4R4lIx
Sat Aug 22 19:15:03 PDT 2015 --  pic.twitter.com/dSlbqJqBAF
Sat Aug 22 08:50:11 PDT 2015 --  Средство от депрессии и серых будней! pic.twitter.com/OIEzpzQVaa
Sat Aug 22 08:56:24 PDT 2015 --  Хорошо едем. pic.twitter.com/K5sE0hMAdc
Sat Aug 22 09:00:03 PDT 2015 --  Машина времени есть у каждого из нас: то, что переносит в прошлое — воспоминания; то, что уносит в будущее — мечты. Герберт Уэллс
Sat Aug 22 09:20:03 PDT 2015 --  Терпение — прекрасное качество, но жизнь слишком коротка, чтобы долго терпеть. Абу-ль-Фарадж pic.twitter.com/QU3UARAZUn
Sat Aug 22 09:23:09 PDT 2015 --  Крокодил Гена настолько крут, что у него пресс даже на носу! pic.twitter.com/CK78aLzBDM
Sat Aug 22 09:23:44 PDT 2015 --  Ретвитни, если у тебя зеленые глаза.
Sat Aug 22 09:31:16 PDT 2015 --  Бывает копишь деньги на Париж, а потом срываешься и уезжаешь в Джабык pic.twitter.com/omTjzXD96J
Sat Aug 22 07:57:03 PDT 2015 --  Изначально маленький карман на джинсах предназначался для презерватива. pic.twitter.com/OufA8G66ok
Sat Aug 22 03:11:34 PDT 2015 --  pic.twitter.com/UFciBc2jEm
Sat Aug 22 03:00:04 PDT 2015 --  Ты лучше голодай, чем что попало ешь и лучше будь один, чем вместе с кем попало! © Омар Хайям
Sat Aug 22 02:20:20 PDT 2015 --  Эх, знал бы Брежнев, какой модой и популярностью будут пользоваться его брови среди девушек в 2015 году.
Sat Aug 22 02:20:03 PDT 2015 --  Вот такая она, мечта... pic.twitter.com/8mMOtvHVBZ
Fri Aug 21 07:39:39 PDT 2015 --  Ретвит - отрезать пальцы тому, кто держит ножницы. Избранное - отрезать крыло. pic.twitter.com/9ob7uu3Bj9
Fri Aug 21 12:24:51 PDT 2015 --  Нашелся тот человек, который смог объяснить мужчинам, что такое месячные, на понятном им языке pic.twitter.com/2Hb9K6jOmX
Sat Aug 22 02:02:01 PDT 2015 --  Никогда не следите за мужчиной. Следите за собой - и тогда мужчина будет следить за вами. pic.twitter.com/kazFMnCmfU
Sat Aug 22 01:52:08 PDT 2015 --  Совершенно необязательно делать великие вещи. Можно делать и маленькие, но с великой любовью. Мать Тереза
Tue Jul 07 05:12:20 PDT 2015 --  Я: ”Надо записать пока не забыл” Мозг: “Надо забыть пока не записал”
Wed Jul 29 12:40:02 PDT 2015 --  Тот, кто ищет миллионы, весьма редко их находит, но тот, кто их не ищет, не находит никогда. Оноре де Бальзак
Wed Jul 29 12:40:55 PDT 2015 --  pic.twitter.com/BkDJqriLWI
Wed Aug 19 23:16:06 PDT 2015 --  Всегда волнуюсь возле табличек посторонним вход воспрещён. Откуда мне знать, посторонний я или нет? Может, меня там всю жизнь ждут.
Wed Aug 19 23:27:10 PDT 2015 --  А ты думал в сказку попал pic.twitter.com/cZZrC0iXeN
Wed Aug 19 20:15:03 PDT 2015 --  pic.twitter.com/fEEvxvyPl2
Wed Aug 19 20:30:02 PDT 2015 --  Не делайте выводов не поговорив с человеком один на один, ведь только тогда можно понять суть этого человека.
Wed Aug 19 20:45:03 PDT 2015 --  В человеческом теле 75 триллионов клеток.
Wed Aug 19 20:53:02 PDT 2015 --  Почему доча хочет научиться драться как Венцеслав? Это что какая то школа боевых искусств?
Wed Aug 19 20:59:52 PDT 2015 --  #новости pic.twitter.com/2KUlKBC0N7
Wed Aug 19 21:00:04 PDT 2015 --  Пойду потрачу всю зарплату, полную телегу наберу pic.twitter.com/ghuVCqxjKW
Wed Aug 19 21:30:21 PDT 2015 --  Каким же идеальным бывает мужчина, когда женщина ему нужна. И в какое-же дерьмо он превращается, когда ему становится все равно.
Wed Aug 19 21:38:03 PDT 2015 --  pic.twitter.com/b9wH4Aw3LP
Wed Aug 19 22:00:20 PDT 2015 --  Дорогие студенты! Помните, что деньги решают все! Даже сложные дифференциальные уравнения третьего порядка.
Wed Aug 19 22:07:55 PDT 2015 --  20 августа Скорпионы — Вы вызываете сильные чувства и эмоции у окружающих!
Wed Aug 19 22:17:02 PDT 2015 --  – Мне холодно, дай пиджак. – Нет, ты мне уже один растянула.
Wed Aug 19 05:33:28 PDT 2015 --  pic.twitter.com/3iq3k5nZ8p
Wed Aug 19 05:35:18 PDT 2015 --  pic.twitter.com/zbyqrPZgLK
Wed Aug 19 06:57:48 PDT 2015 --  pic.twitter.com/fB4T0fG6LX
Wed Aug 19 03:10:03 PDT 2015 --  Современный образ Санта-Клауса придумали рекламщики «Coca-Cola».
Wed Aug 19 03:15:02 PDT 2015 --  pic.twitter.com/i3D3bTjZ4r
Wed Aug 19 03:16:02 PDT 2015 --  Извержение подводного вулкана возле архипелага Тонга. pic.twitter.com/sAqxhQ4vJu
Wed Aug 19 01:03:18 PDT 2015 --  pic.twitter.com/wWf0CJxFH0
Wed Aug 19 03:21:15 PDT 2015 --  Что человеку надо в жизни? Чтобы его любили. Всё. С остальным он справится. pic.twitter.com/CWOxaGRfHM
Wed Aug 19 03:25:14 PDT 2015 --  "Когда я спросил об этом, моя 6-летняя племянница сказала, что они пытаются вернуть маму к жизни" pic.twitter.com/FmNyCj2X7Q
Wed Aug 19 03:27:11 PDT 2015 --  Я нашел свой бокал pic.twitter.com/1dqGO5odBi
Wed Aug 19 03:31:25 PDT 2015 --  согласитесь, лето устроено так, что ждёшь его целый год, а потом оно приходит и ничего не случается
Tue Aug 18 23:38:04 PDT 2015 --  Мать-героиня среди собак pic.twitter.com/8xEzEgxjka
Sun Aug 16 10:15:02 PDT 2015 --  pic.twitter.com/7Xl6pOUtav
Sun Aug 16 12:15:02 PDT 2015 --  pic.twitter.com/XOpKB32z25
Mon Aug 17 11:35:18 PDT 2015 --  Запомните это! pic.twitter.com/bAZKNvpDXq
Mon Aug 17 12:00:04 PDT 2015 --  Даже сажей можно нарисовать счастье. /Баста/ pic.twitter.com/e1H7GevP1C
Mon Aug 17 09:40:49 PDT 2015 --  Такая умненькая, а не закусываешь.
Mon Aug 17 09:45:03 PDT 2015 --  Не пересекайте океаны ради людей, которые не пересекли бы ради вас и лужи.
Mon Aug 17 09:49:02 PDT 2015 --  Бывает, соскучился по человеку, а потом понимаешь, что соскучился по тому, каким он был раньше.
Mon Aug 17 10:00:04 PDT 2015 --  Стихи из цифр. pic.twitter.com/7mnL2WqgUu
Mon Aug 17 10:00:53 PDT 2015 --  На земле бесконечное множество красивых мест, но самое притягательное то, где тебя просто ждут.
Mon Aug 17 10:20:37 PDT 2015 --  ретвитни, если очень пошленькая
Mon Aug 17 06:00:13 PDT 2015 --  Отец за сыном в детсад приходит. У него спрашивают: - Который ваш? - А какая разница? Все равно завтра обратно вести
Mon Aug 17 06:04:16 PDT 2015 --  Зомби апокалипсис давно наступил pic.twitter.com/ydL01Hgwi2
Mon Aug 17 06:04:27 PDT 2015 --  Иногда просто уже не знаешь, где взять эти силы что бы все выдержать. pic.twitter.com/uvcgL4wOur
Mon Aug 17 03:46:15 PDT 2015 --  81-летний дедушка вышел из дома и попросил компанию из 8-ми молодых людей не бросать в его окна огрызки от яблок pic.twitter.com/2H1bBfyyxU
Sun Aug 16 23:26:08 PDT 2015 --  - Официант, всем шампанского за мой счёт! - Но вы здесь один. - Я знаю.
Sun Aug 16 23:00:14 PDT 2015 --  Главное в жизни не богатство и деньги,а чтобы родные и близкие люди всегда были рядом здоровые и счастливые!
Sun Aug 16 10:16:12 PDT 2015 --  Вот это тортик! pic.twitter.com/IqVfPiGLCW
Sun Aug 16 10:20:22 PDT 2015 --  pic.twitter.com/rg5pcEVDW5
Sun Aug 16 10:27:03 PDT 2015 --  В Норвегии есть город, название которого состоит из одной буквы Å. pic.twitter.com/nx3lD9TBvQ
Sat Aug 15 07:44:17 PDT 2015 --  Мы нужны только своим родителям, остальным мы просто интересны.. pic.twitter.com/hHH3uxaNS3
Sat Aug 15 11:04:51 PDT 2015 --  - Почему ты его отпустила? - Потому что тот, кому я по-настоящему буду нужна, никогда от меня не уйдет. pic.twitter.com/o08tslx6Au
Sat Aug 15 13:47:05 PDT 2015 --  Мужчины умные натуры, но миром правят бабы-дуры.
Sat Aug 15 21:50:08 PDT 2015 --  pic.twitter.com/ctanDmdxEc
Sat Aug 15 22:56:19 PDT 2015 --  pic.twitter.com/ruLj4PWWNu
Sat Aug 15 23:29:09 PDT 2015 --  pic.twitter.com/wHshZRzOZq
Sun Aug 16 01:08:13 PDT 2015 --  Чтобы стресса избежать, надо выпить и поржать. pic.twitter.com/Z356ZVxCFJ
Sun Aug 16 01:41:10 PDT 2015 --  Девушка может выпить бутылку виски, избить мужика сумочкой и идти домой по темной улице одна, но в туалет она пойдет с подружкой.
Sun Aug 16 02:47:18 PDT 2015 --  Пусть скромность украшает тех, кого и украшать-то больше нечем. pic.twitter.com/tLBwlVLTFJ
