Sun Nov 16 13:30:55 PST 2014 --  A virtuous, ordinary life, striving for wisdom but never far from folly, is achievement enough.
Sat Aug 29 06:42:11 PDT 2015 --  Your methodical approach to life often empowers you to develop... More for Capricorn http://bit.ly/A5KmeJ 
Sat Aug 29 00:10:19 PDT 2015 --  Me looking at your default just now https://twitter.com/Advil/status/637500945140551680 …
Fri Aug 28 21:49:22 PDT 2015 --  Just saw this on my TL but honestly I think everyone needs to see this #Bernie2016 pic.twitter.com/qpjnO4EIgY
Fri Aug 28 20:46:18 PDT 2015 --  I miss him https://twitter.com/xicanxfag/status/637462712448974848 …
Mon May 25 18:51:46 PDT 2015 --  my idea of romance pic.twitter.com/Vvkmx71rG5
Fri Aug 28 18:58:27 PDT 2015 --  Or you could further investigate the fucking incident. https://twitter.com/ajplus/status/636955379914698752 …
Fri Aug 28 08:25:04 PDT 2015 --  GW Bush returning to New Orleans for the Katrina anniversary just adds insult to injury. Just fly over the site, Dubya, as you did in 2005.
Fri Aug 28 18:39:03 PDT 2015 --  Just discovered @smallpools on Spotify and I'm already in love! Gonna listen to all their songs. pic.twitter.com/PDYa1Le1N1
Fri Aug 28 16:49:27 PDT 2015 --  I didn't tweet this wtf
Fri Aug 28 16:32:33 PDT 2015 --  Save me from work pic.twitter.com/mWh0sB48AR
Fri Aug 28 16:30:00 PDT 2015 --  The #NoKissClubContest MVP is going to the @NoKissList premiere starring @VictoriaJustice! - http://sot.ag/4dJzz  pic.twitter.com/vzNwgv2Auo
Fri Aug 28 16:06:27 PDT 2015 --  Today is #NationalBowTieDay, yesterday was #NationalJustBecause day, the day before was #NationalDogDay. STOPPPPPPP STOP ALREADY STOP IT
Thu Aug 27 21:27:51 PDT 2015 --  #ThePeopleWantToKnow #PidgeonPanic pic.twitter.com/vOwmPF3966
Fri Aug 28 09:47:46 PDT 2015 --  So excited to be joining the @FOXTV family! A sincere thank you to all of you for supporting me on the journey. xo https://twitter.com/Variety/status/637294222933016576 …
Thu Aug 27 20:19:02 PDT 2015 --  A Jewish woman and a Palestinian woman protesting together in 1973, 1992, and 2001. pic.twitter.com/HuF0dWrNfz
Fri Aug 28 13:44:02 PDT 2015 --  I finally had the guts to watch Ann Coulters speech vid & I have no words. How can someone be allowed to be openly racist like that?
Fri Aug 28 09:18:00 PDT 2015 --  Can't lie, this song is a bop! Nice comeback. #WhatDoYouMean @justinbieber pic.twitter.com/MQYxweWTtC
Fri Aug 28 06:40:23 PDT 2015 --  Your heightened expectations drive you to take every moment of... More for Capricorn http://bit.ly/A5KmeJ 
Thu Aug 27 20:48:51 PDT 2015 --  See, @Wesamh96 never lies pic.twitter.com/2K4Ob2M4Yq
Thu Aug 27 20:06:26 PDT 2015 --  If she wears a choker she sucks dick for sure
Thu Aug 27 20:06:17 PDT 2015 --  This is sickening. That fact that there are people out there who think like this.. https://twitter.com/lexi4prez/status/637064688354766848 …
Wed Aug 26 13:27:53 PDT 2015 --  WHAT THE FUCK IS THIS SOMEONE PLEASE EXPLAIN pic.twitter.com/knvGtD2XbK
Thu Aug 27 13:02:55 PDT 2015 --  what if donald trump was actually being paid by democrats to be ridiculous and make republicans look bad
Tue Aug 25 18:01:57 PDT 2015 --  When an old man wants you to suck his dick https://vine.co/v/ejJnVHpqv9j 
Thu Aug 27 17:31:07 PDT 2015 --  Who let him impregnate them? https://twitter.com/ABC7Chicago/status/636944243785879552 …
Thu Aug 27 14:58:43 PDT 2015 --  . @DDLovato's #Confident release date has kept the title track at No. 1 for nearly 24 hours: http://blbrd.cm/JGn1g7  pic.twitter.com/QMF7XFVNCb
