Fri Aug 28 08:03:52 PDT 2015 --  Dijo el #PAPAFRANCISCO. "Hay una sola #manera de #ganar una #guerra: no hacerla"
Fri Aug 21 07:05:25 PDT 2015 --  A los pies de la Virgen para invocar la paz para África y el mundo... - http://www.news.va/to/BIPP 
Fri Aug 28 03:49:40 PDT 2015 --  Testimoniar la fe con palabras y gestos de misericordia, pidió el Papa... - http://www.news.va/to/BI1e 
Fri Aug 28 07:35:35 PDT 2015 --  #BuenViernes pic.twitter.com/n6U4IMnpx9
Thu Aug 27 19:27:51 PDT 2015 --  #Agradecimiento #Gratitud #Memoria #Corazon pic.twitter.com/cBWykWp4il
Thu Aug 27 19:17:32 PDT 2015 --  #Tomar #Agua #Vida #Conciencia pic.twitter.com/dEx4zgNuMG
Wed Aug 26 17:37:30 PDT 2015 --  #Atencion #Cuerpo #Enermedad #Alma #Sanacion #Cura pic.twitter.com/XhqYvAhU7H
Wed Aug 26 15:56:47 PDT 2015 --  La #Fe te conecta con #Energias de #Elevadas de #Luz y #Proteccion #Amen pic.twitter.com/JdiLyzERns
Wed Aug 26 15:53:13 PDT 2015 --  #Buda el #Arte de la #libertad del #ser pic.twitter.com/KA5WrCM1iP
Wed Aug 26 15:51:50 PDT 2015 --  #Paz en el #Mundo pic.twitter.com/u2nh8uq2rc
Wed Aug 26 15:51:09 PDT 2015 --  El #Sol y la #Energia en el #Planeta pic.twitter.com/ndh29DdEWY
Wed Aug 26 15:48:31 PDT 2015 --  #Cruz de #SanBenito #Protector pic.twitter.com/WK8F6J2wvv
Wed Aug 26 14:01:57 PDT 2015 --  #Reiki #Tecnica de #Armonizacion #Natural pic.twitter.com/wlEE83D72c
Wed Aug 26 13:36:06 PDT 2015 --  #Delfines #seres de una #inteligencia #suprema https://www.youtube.com/watch?v=wDiWA_uG5jg …
Wed Aug 26 13:23:05 PDT 2015 --  En su #Natalicio #MadreTeresadeCalcuta pic.twitter.com/6XUSXxp7L9
Tue Aug 25 21:15:39 PDT 2015 --  Gracias @gabyrabi por dedicarte a la investigacion y a colaborar con la humanidad Dios te Bendiga
Tue Aug 25 20:34:53 PDT 2015 --  Félix Díaz: “El mensaje de Carlos Tevez es la realidad" @animalesoficial --> http://bit.ly/1PRIBSN  pic.twitter.com/S0o75qtwAW
Tue Aug 25 21:06:37 PDT 2015 --  Gracias @fantinofantino @animalesoficial x tus entrevistas, cumplir mision de vida de eso se trata. Namaste
Tue Aug 25 19:37:37 PDT 2015 --  #Jesus siempre camina a nuestro lado. Amen pic.twitter.com/1BBCOtLGr8
Tue Aug 25 19:35:56 PDT 2015 --  En Argentina 144 es la linea telefonica en emergencias de #ViolenciadeGenero pic.twitter.com/9qI41akqV5
Tue Aug 25 16:40:46 PDT 2015 --  #Reiki #Reikista #Canalizador #Armonia #Armonizacion #Vibra #Energia #Prana pic.twitter.com/C5m24yjlNK
Tue Aug 25 16:37:45 PDT 2015 --  #PiedrasPreciosas #Gemas #ColorRosa #Amor #Energia pic.twitter.com/zoHCT5xxy8
