Sat Aug 15 07:46:39 PDT 2015 --  "Please don't have a war on cargos. If there's a war on cargos I'll have nothing to wear" @GPete13
Sun Feb 15 19:47:26 PST 2015 --  Not only is Kanye West an unattractive human but his singing sucks
Sun Jun 15 10:25:24 PDT 2014 --  happy Father's Day daddy!! @davidcroutch pic.twitter.com/DjdUe3mpAv
Fri Apr 25 13:40:38 PDT 2014 --  Idiot (n.) - a person who uses a 21st century mobile device to tweet about how much better off we'd be without capitalism.
Sun Mar 23 20:35:57 PDT 2014 --  If there were ever 2 guys that need smacked it's Jim Loboy and Len Rome. #channel33
Fri Oct 18 19:00:03 PDT 2013 --  Tough loss for the football team to Jackson tonight, 35-28. Be proud though, it was a great game!
Mon Sep 16 10:21:41 PDT 2013 --  V
Sun Feb 24 11:56:21 PST 2013 --  Some people need to check facts before they make assumptions about others. I lost respect for some people over the last few weeks.
Mon Feb 04 17:09:40 PST 2013 --  Time to think about
Sun Dec 30 17:46:35 PST 2012 --  Steak @ Gallaghers NYC
Fri Dec 07 13:07:36 PST 2012 --  It's a damn shame when a coach can't do a little preparation for a decent speech for a top notch group. No justice whatsoever. #pissmeoff
Tue Nov 06 21:06:36 PST 2012 --  I am 52, own a business, have worked for what I have, a traditional thinker. I guess it doesn't mean so much these days. #goodluckusa
Wed Oct 03 19:18:41 PDT 2012 --  I have no doubt Barack Obama is a decent man, but he should be President no more than I should do brain surgery.
Mon Aug 06 18:32:53 PDT 2012 --  Lovin the grill room salad with cajun chicken at stonebridge
Mon Jul 23 08:37:24 PDT 2012 --  Holmes first trial apperance, hit him across the face with a bat to wake his ass up
Fri Jul 20 17:20:50 PDT 2012 --  Emilee croutch is a sports time ohio star, and zach too
Fri Jul 20 06:22:52 PDT 2012 --  Another coward
Thu Jul 19 17:47:46 PDT 2012 --  Dark clouds gathering
Mon Jul 09 18:28:22 PDT 2012 --  To re-elect President Obama would be like the Titanic backing up and hitting the iceberg again.
