Fri Aug 28 14:11:32 PDT 2015 --  Milestones x pic.twitter.com/ctOJ3FsQxD
Thu Aug 27 21:11:43 PDT 2015 --  I love when a guy calls me "my girl". Like "how's my girl?" I'm freaking good. I'm freaking way good. Call me that again.
Tue Aug 25 10:27:35 PDT 2015 --  And when Zayn left the band for the same reason, you people were so nasty https://twitter.com/OTRADaily/status/635794739812413441 …
Tue Aug 25 18:33:08 PDT 2015 --  Dear Facebook people, by the time you'll understand Twitter we'll be on somewhere else.
Tue Aug 25 21:32:16 PDT 2015 --  "I wanna shade the world until the sun becomes a myth" -EM3
Tue Aug 25 16:58:17 PDT 2015 --  #5monthswithoutzayn I'm not gonna be sad if he's doing a solo act. His voice is all i need to feel better.
Tue Aug 25 11:25:17 PDT 2015 --  What do you think about Egypt ? - I don't. http://kiw.im/12Rc9nBQbi8 
Tue Aug 25 11:24:17 PDT 2015 --  What is your idea of a romantic evening? - Drive in theatre with Chinese food rrrr http://kiw.im/12Rc88v9Vpg 
Tue Aug 25 11:20:23 PDT 2015 --  Are you a good liar? - Sometimes. If I plan it from beforehand http://kiw.im/12Rc1cZnucy 
Tue Aug 25 04:12:16 PDT 2015 --  1 more month would make it 6 months = half a year. Time goes by so fast. #5monthswithoutzayn
Sat Aug 22 17:30:08 PDT 2015 --  weird how i’m clingy but i still never text back
Sat Aug 22 20:25:54 PDT 2015 --  It's weird how everyone on Twitter has an American accent.
Mon Aug 24 13:04:18 PDT 2015 --  Don't waste your words on people that deserve your silence.
Sun Aug 23 17:26:01 PDT 2015 --  So jealous for everyone who's going back to school tomorrow like OMG!!! Just kidding, that sucks for you
Fri Aug 14 00:36:45 PDT 2015 --  @carterreynolds love raping them too
Fri Aug 14 00:36:45 PDT 2015 --  @carterreynolds rape
Fri Aug 14 00:36:43 PDT 2015 --  @carterreynolds rapist
Fri Aug 14 00:36:41 PDT 2015 --  @carterreynolds hate u too
Sun Aug 23 12:57:40 PDT 2015 --  i can't see myself without you
Sun Aug 23 12:44:34 PDT 2015 --  Happy bitrthday in advance @kaarishmapall
Sun Aug 23 12:40:53 PDT 2015 --  @kaarishmapall ulinitoa rangi jana.. Nakupeleka kwa mganga kutoka afghanistan
Sun Aug 23 12:39:46 PDT 2015 --  PICKING FROM SPAM <3
Sun Aug 23 12:24:24 PDT 2015 --  rt/fav if you want a solo dm with zayn ♤ | tweet me proof you have my notifs on pic.twitter.com/gW65mXcZRK
Sat Aug 22 18:32:10 PDT 2015 --  Spread this! pic.twitter.com/al7tO6FcM4
Sat Aug 22 04:30:44 PDT 2015 --  #BeforeWeGetInARelationship u shld know me inside out. Si kushtuka ukiona natafuna karatasi ya queen cake!
Sun Aug 23 05:43:23 PDT 2015 --  Birthday in exactly 7 days k I mean a week. So excited
Sat Aug 22 23:08:12 PDT 2015 --  @EM3_Music fergie is the only reason i can spell glamorous
Wed Aug 19 12:48:14 PDT 2015 --  It's been 2 weeks already https://twitter.com/zaynmalik/status/629067391671013376 …
Wed Aug 19 12:48:23 PDT 2015 --  " @zaynmalik: Got something exciting coming soon :)!" pic.twitter.com/RPQm8OoJBe
Sat Aug 22 12:31:23 PDT 2015 --  im so horny... shit pic.twitter.com/J6T2HYpBvc
Sat Aug 22 09:04:28 PDT 2015 --  LIVE @MikeCleaver_ on #YouNow - http://www.younow.com/Mike_Cleaver/64300137/10611701/hQbd4Gz9Qp/b … pic.twitter.com/Mcgw61PMKh
Sat Aug 22 04:25:47 PDT 2015 --  SMH " @naffmacharia: #BeforeWeGetInARelationship u shld know when i said i was a millionaire, I meant sperm-wise. not cash
Sat Aug 22 02:24:14 PDT 2015 --  #BeforeWeGetInARelationship must prove you are not this tweep.. via @Elijahkyama pic.twitter.com/XwZyVbohnQ
Sat Aug 22 05:01:48 PDT 2015 --  @onedirection did you miss our #refreshnotreplay campaign?? lol
Sat Aug 22 05:01:45 PDT 2015 --  @onedirection REFRESH NOT REPLAY BOYS
Sun Jul 05 19:55:42 PDT 2015 --  ZAYN FAVED THIS WHAT A FUCK HOW DID HE FOUND THIS ITS AN OLD TWEET WTF
Thu Aug 20 06:53:12 PDT 2015 --  @zaynmalik do something legendary today please.
Wed Aug 19 12:16:21 PDT 2015 --  What would you like to change about yourself? - It's personal :/ http://kiw.im/12MPRCdGeWH 
Wed Aug 19 12:16:04 PDT 2015 --  Who makes you laugh? - The most? Guraj and Rajvir http://kiw.im/12MPQhqeU5J 
Tue Aug 18 14:32:58 PDT 2015 --  @Louis_Tomlinson @Real_Liam_Payne @NiallOfficial @Harry_Styles i know it's late, i'm inactive af :( but congrats on winning 8 awards +
Tue Aug 18 14:31:21 PDT 2015 --  literally me pic.twitter.com/x5raBxe1zQ
Tue Aug 18 14:28:00 PDT 2015 --  LM was holding the "zayn is irrelevant" sign buuuut they weren't saying that when he was promoting them but
Mon Aug 17 12:47:12 PDT 2015 --  Oh and I write my own shit too dickhead
Tue Aug 18 14:26:31 PDT 2015 --  Time to sleep zzzzzzzz
Tue Aug 18 14:23:54 PDT 2015 --  He literally thanked everyone my baby
Mon Aug 17 02:30:29 PDT 2015 --  pic.twitter.com/siHr9ewJ0W
Sun Aug 16 20:21:42 PDT 2015 --  Meth and red man tonight pic.twitter.com/77SVBlL5pX
Sat Aug 15 15:23:51 PDT 2015 --  pic.twitter.com/cF8srQsGXD
Tue Aug 18 14:10:16 PDT 2015 --  crushes are great until you realize that they’ll never be interested in you
Tue Aug 18 14:00:07 PDT 2015 --  Don't miss it! @EyeCon3000 is having their last #TVD/ #TO Con & @JosephMorgan & @ChristophrWood confirmed! http://eyeconfla.com/vampirediaries 
Fri Jul 31 09:55:37 PDT 2015 --  Me pic.twitter.com/UOi7Bz8LlW
Sun Aug 16 07:32:55 PDT 2015 --  I can't wait too long for a text back. Conversations automatically delete after 24hrs. My phone is not playing with y'all.
Tue Aug 18 13:20:13 PDT 2015 --  R.I.P to my sleeping schedule
Tue Aug 18 14:00:41 PDT 2015 --  things that are enjoyable: • showers things that are not enjoyable: • getting in the shower • getting out of the shower
Tue Aug 18 14:10:00 PDT 2015 --  everyone should read this pic.twitter.com/LVmvIibrAs
Tue Aug 18 14:20:17 PDT 2015 --  This is load with so much bullshit! So LM holding the sign ISNT shady? look up the word before you mention it https://twitter.com/novacanezayn/status/633659034541948928 …
Tue Aug 18 14:31:59 PDT 2015 --  Zayns becoming so shady it's hilarious.
Tue Aug 18 14:31:49 PDT 2015 --  I wanna get this done so bad pic.twitter.com/VIJa3gLNjB
Tue Aug 18 10:41:28 PDT 2015 --  We are really close guys don't give up faith we got this. @5SOS #ShesKindaHotVMA pic.twitter.com/ZSQpuLZroN
Tue Aug 18 10:41:56 PDT 2015 --  Rt this because Ashton got VERY excited while accepting this award! #ShesKindaHotVMA pic.twitter.com/rxwDOffP4l
Tue Aug 18 12:58:53 PDT 2015 --  It's sad how you're okay with someone for a minute but the next you're not.
Tue Aug 18 12:49:38 PDT 2015 --  Shout it from the rooftops !!
Tue Aug 18 10:32:37 PDT 2015 --  don't even get me started on how unprofessional and mad this article is pic.twitter.com/Q2vT6dAUfM
Tue Aug 18 02:25:57 PDT 2015 --  🏽 https://twitter.com/banterjabi/status/633030714934579201 …
Tue Aug 18 05:50:37 PDT 2015 --  i pray my daughter never lays in bed late at night crying over a low life boy & wondering what she did so wrong
Sun Aug 16 14:40:58 PDT 2015 --  bro, @BradfordUni if i get 100 rts will you offer me a place @ your uni
Tue Aug 18 05:49:27 PDT 2015 --  Confirmed ? https://twitter.com/solozaynalert/status/633616233665986561 …
Sun Aug 16 10:03:02 PDT 2015 --  hi @zaynmalik i made this header with your tattoos please just notice it and i won't spam you thank you so much pic.twitter.com/XDVqi7duGW
Tue Aug 18 04:17:22 PDT 2015 --  @zaynmalik send me your nudes so i can frame them for decorations
Mon Aug 17 13:49:58 PDT 2015 --  Perfect cat eye did it in one go! So proud to the boys that go all "wtf" trust me it's hard af. pic.twitter.com/SnSuraMEhU
Mon Aug 17 11:40:07 PDT 2015 --  Nothing changed you just never knew ,
Sat Aug 15 00:43:55 PDT 2015 --  Naughty boy: *tries to attack zayn* 1D Fandom & Zquad: *slays him* *makes jokes* *roasts his ass* Naughty boy: oh shit :(
Mon Aug 17 06:18:00 PDT 2015 --  I can't believe I thought I can eat a whole large pizza by myself :p my bad :p sorry mum
Sun Aug 16 12:42:03 PDT 2015 --  @musicnews_shade @zaynmalik IM SCREAMING YOU HAVE NO CHILL
Sun Aug 16 12:35:40 PDT 2015 --  @musicnews_shade @zaynmalik holy shit ive just seen this
Fri Aug 14 08:11:14 PDT 2015 --  Which is the better single? Retweet – 'Worth It' by Fifth Harmony. Favorite – 'Black Magic' by Little Mix. pic.twitter.com/UinDKDgvtu
