Sat Aug 29 03:14:29 PDT 2015 --  The Wall https://instagram.com/p/69qK0HwCGc/  pic.twitter.com/5cDOetYqHv
Fri Aug 28 15:04:29 PDT 2015 --  Algún Día... #Tomorrowland https://vine.co/v/ej0IKmtPU1d 
Sat Aug 29 03:37:03 PDT 2015 --  BOLD & YOUNG
Sat Aug 29 04:31:33 PDT 2015 --  VALENDYRO TRASH https://twitter.com/ValentinoKhan/status/637581023673384961 …
Sat Aug 29 02:08:33 PDT 2015 --  I'm so use to being alone. Like I only find comfort and some type of happiness when I'm alone.
Sat Aug 29 02:07:54 PDT 2015 --  @iduitmann @Ookayx pic.twitter.com/WOUmlCWBo5
Sat Aug 29 02:03:19 PDT 2015 --  Shout outs to the couple fingerbanging during my set
Fri Aug 28 13:08:47 PDT 2015 --  So excited for @NocturnalWland next weekend OMG
Fri Aug 28 17:52:57 PDT 2015 --  Watching @YELLOWCLAW snapchat from encore last night and I'm literally dancing while laying in bed I'm too excited to see them next week
Fri Aug 28 23:36:29 PDT 2015 --  No ragrets.
Fri Aug 28 23:43:04 PDT 2015 --  @PasqualeRotella set times for Nocturnal?
Fri Aug 28 23:43:39 PDT 2015 --  7 days to go.
Thu Aug 27 12:31:11 PDT 2015 --  Watch #DancingInTheDark: 20 Years of #NocturnalWonderland in its entirety NOW ➙ http://www.youtube.com/watch?v=CY-9C9mzDK8 … pic.twitter.com/dTWkBWpFWK
Fri Aug 28 22:55:01 PDT 2015 --  #lavecindad homie g pic.twitter.com/X6dQB62IbW
Fri Aug 28 22:44:23 PDT 2015 --  It sucks ill be missing out though
Fri Aug 28 22:42:22 PDT 2015 --  Im glad im not going to Exchange tonight. Im not even trying to run into fake ass people *cough cough* my ex's friends
Fri Aug 28 22:02:19 PDT 2015 --  I still can't believe this happen thank you @insomniacevents @PasqualeRotella this means a lot to us pic.twitter.com/qcp427GadK
Fri Aug 28 21:56:54 PDT 2015 --  if you remember them all you have lived pic.twitter.com/QmN8hQgkJ3
Fri Aug 28 21:57:27 PDT 2015 --  If you guys havent read this article, go read it btw, thats my aunt. https://www.insomniac.com/media/memory-jose-perla-meraz-returns-nocturnal-wonderland-19-years-after-losing-her-boyfriend …
