Fri Jul 11 14:45:45 PDT 2014 --  NFL Releases New Study On Dangers Of Concussions In Youth Soccer http://onion.com/1m1IH9e  pic.twitter.com/cpEZrmlXDy
Sun Jun 15 00:05:01 PDT 2014 --  Happy #fathersday pic.twitter.com/sIARKS7bfU
Mon Mar 03 16:21:33 PST 2014 --  We updated our Twitter background earlier today. RT if you dig it. #gostanford pic.twitter.com/yGN35nivzH
Sat Mar 01 08:00:42 PST 2014 --  This Week's Top Story: American Airlines To Phase Out Complimentary Cabin Pressurization http://onion.com/1fP7Nt9 
Tue Feb 11 12:50:19 PST 2014 --  “ @GoStanford_Tix: Next up: @ryandmaynard of Palo Alto wins sideline passes for a preseason practice! Congrats! #GoStanford” wooohoooo!
Sun Oct 27 17:35:36 PDT 2013 --  Stanford (.792) has risen to No. 5 in the newest #BCS Standings. Last week the Cardinal debuted at No. 6 with a .741 rating. #gostanford
Sat Oct 05 20:39:13 PDT 2013 --  Let's do this! #fearthetree
Mon Sep 30 09:47:13 PDT 2013 --  5-Year-Old Figures He Has A Year Left Of Peeing At Urinals With His Pants All The Way Down http://onion.com/18G6vfX 
Sat Sep 07 13:02:26 PDT 2013 --  Good luck to all my Stanford homies in their first game. Gonna be weird watching them but I'll be the loudest cheerleader #NerdNation
Fri Aug 30 14:01:31 PDT 2013 --  Man With 2-Dollar-Sign Salary Recklessly Walks Into 3-Dollar-Sign Restaurant | More Local News: http://onion.com/12hq37u 
Mon Aug 19 13:03:52 PDT 2013 --  Oddsmakers Say Oakland Raiders A Longshot To Finish Season http://onion.com/14vgi3x 
Sat Aug 17 07:05:03 PDT 2013 --  Stanford is No. 4 in the new @AP_Top25, our highest ever ranking in the preseason poll. School-record 48th straight week ranked. #gostanford
Fri Aug 16 18:09:49 PDT 2013 --  Raiders won't sell any season tickets tonight. #embarrassed. @RAIDERS
Thu Aug 15 17:09:56 PDT 2013 --  Yeeeehaw! Tickets have arrived and I can not wait! @StanfordFball pic.twitter.com/9zXmu23Zyo
Fri Jul 12 11:52:36 PDT 2013 --  Egyptians Concerned About Direction Government Is Toppling In http://onion.com/11JmWYa 
Thu May 16 16:36:17 PDT 2013 --  "That’s another reason why I chose Oakland. They are a diehard fan base. They’re all about their team, win or lose." - @JoshCribbs16
Thu May 09 17:27:26 PDT 2013 --  #TDSBreakingNews Sen. Graham calls Mexico "hell-hole". Montezuma preparing extra-spectacular revenge. #repaintbathroom
